celltype,condition,wo_condition,allcells,veronika
Cardiomyocyte,F1_Aged,2886.0,2872.0,3212.0
Cardiomyocyte,F1_Young,2691.0,2683.0,3015.0
Coronary_EC,F1_Aged,114.0,101.0,225.0
Coronary_EC,F1_Young,98.0,97.0,183.0
Endocardial_EC,F1_Aged,100.0,103.0,254.0
Endocardial_EC,F1_Young,86.0,81.0,181.0
Fibroblast,F1_Aged,449.0,432.0,749.0
Fibroblast,F1_Young,319.0,312.0,558.0
Lymphatic_EC,F1_Aged,,,26.0
Lymphatic_EC,F1_Young,,,21.0
M1,F1_Aged,,,12.0
M1,F1_Young,,,1.0
M2,F1_Aged,95.0,92.0,153.0
M2,F1_Young,80.0,74.0,141.0
MacFib,F1_Aged,110.0,100.0,244.0
MacFib,F1_Young,54.0,58.0,108.0
Mesothelial,F1_Aged,59.0,57.0,132.0
Mesothelial,F1_Young,53.0,51.0,112.0
Myeloid,F1_Aged,19.0,15.0,37.0
Myeloid,F1_Young,3.0,4.0,26.0
Pericytes,F1_Aged,181.0,177.0,335.0
Pericytes,F1_Young,182.0,181.0,280.0
Smooth_Muscle,F1_Aged,,,29.0
Smooth_Muscle,F1_Young,,,37.0
Unknown_1,F1_Aged,30.0,28.0,48.0
Unknown_1,F1_Young,9.0,9.0,12.0
