"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N","phi","phi_trend","phi_shrunk"
"0610005C13Rik",0.224,0.220588235294424,998.999999999999,888.815548667037,689.99343546071,0.0233476394849785,125,1.12148996246831,1.02103345304858,1.02103345304858
"0610040B10Rik",0.66030534351145,0.645390070921588,998.999999999999,896.472500304649,709.922598780215,0.024206008583691,131,1.35132245679948,1.0379026840591,1.0379026840591
"0610040J01Rik",0.687878787878788,0.689839572192478,998.999999999999,939.437439457265,821.749776214515,0.0321030042918455,165,1.29351412880917,1.17969665923964,1.17969665923964
"0610043K17Rik",0.527050610820244,0.538812785387798,998.999999999999,950.709464898193,851.088088193709,0.0375965665236052,191,1.37346011551916,1.25995886741982,1.25995886741982
"1110002E22Rik",0.510825780463243,0.502487562188698,998.999999999999,988.407419812132,949.206600083062,0.138025751072961,662,1.5344880438986,1.37477724794573,1.37477724794573
"1110002L01Rik",0.950520833333333,0.953703703166358,1e-06,1e-06,849.576352212275,0.0370815450643777,192,0.411488939347368,1.25465041171509,1.25465041171509
"1110004F10Rik",0.440251572327044,0.443627451360618,998.999999999999,962.385240354494,881.477262236223,0.0700429184549356,371,1.39428605549588,1.36067208886133,1.36067208886133
"1110019D14Rik",0.540962441314554,0.536016949152542,998.999999999999,987.907086485422,947.904355396911,0.16206008583691,710,1.61452381575158,1.37958581371036,1.37958581371036
"1110059E24Rik",0.442928039702233,0.443722944265547,998.999999999999,962.758377277349,882.448445943271,0.07931330472103,403,1.46839424303925,1.36589806665254,1.36589806665254
"1200007C13Rik",0.422535211267606,0.418604651162793,998.999999999999,778.070211936628,401.750541025738,0.0147639484978541,71,1.60078123698561,0.823744617955968,0.823744617955968
"1500002F19Rik",0.624537037037037,0.630434782608693,998.999999999999,962.474003161919,881.708290009361,0.0710729613733906,360,1.43979678841393,1.36119568248024,1.36119568248024
"1500004A13Rik",0.454098360655738,0.44428969381554,998.999999999999,976.42822804362,918.027707948279,0.123261802575107,610,1.49754075757819,1.37647488152661,1.37647488152661
"1500009L16Rik",0.554907677356657,0.550228310502283,998.999999999999,962.707865736725,882.31697681688,0.0751931330472103,343,1.57401370620142,1.36346167266488,1.36346167266488
"1500026H17Rik",0.291970802919708,0.304054054057858,998.999999999999,906.109553702544,735.00548034656,0.0254077253218884,137,1.29905401943879,1.06053157135954,1.06053157135954
"1600010M07Rik",0.476684515841142,0.466891133558323,998.999999999999,991.814307748543,958.07389209552,0.152961373390558,747,1.45175234354208,1.37724254448501,1.37724254448501
"1600014C10Rik",0.446127946127946,0.451713395638629,998.999999999999,959.576030654954,874.165579787314,0.0551072961373391,297,1.41054910819723,1.35250858958912,1.35250858958912
"1600020E01Rik",0.300226537216828,0.302034428795035,998.999999999999,964.332965436022,886.546711945242,0.109699570815451,515,1.32280575153049,1.3781062957362,1.3781062957362
"1700017G19Rik",0,9.64382069580981e-13,1e-06,1e-06,864.993044994802,0.0441201716738197,210,2.38324744554477e-12,1.31658839025012,1.31658839025012
"1700025G04Rik",0.574480803498109,0.567905294311082,5.11100043034103,19.0601874416673,41.3036079280014,0.52206008583691,1618,1.7434911650466,1.51633589875249,1.51633589875249
"1700037F03Rik",0.575129533678757,0.599999998933447,998.999999999999,950.930666559821,851.663821755807,0.0377682403433476,193,1.46167698589734,1.26160160062814,1.26160160062814
"1700081N11Rik",0.603703703703704,0.601659751037344,998.999999999999,954.413495855448,860.728770462751,0.0413733905579399,225,1.33629226697963,1.29414264834207,1.29414264834207
"1700086O06Rik",0.622747747747748,0.6280487804878,998.999999999999,923.581457714967,780.480552548386,0.0281545064377682,148,1.435377467946,1.1080176446801,1.1080176446801
"1700087I21Rik",0.10653073286052,0.104827586206906,1e-06,1e-06,921.215336918161,0.124463519313305,564,0.781666164232562,1.37626648025281,1.37626648025281
"1700096K18Rik",0.401606425702811,0.425742574289186,1.40726585623386,194.344854251591,503.545085882094,0.0173390557939914,83,1.12657243805609,0.887532482594523,0.887532482594523
"1700109H08Rik",0.401736111111111,0.398843930635838,998.999999999999,962.221882800644,881.052082670745,0.0890987124463519,480,1.39211977483419,1.37170740854483,1.37170740854483
"1700120C14Rik",0.754777070063694,0.760115606936056,998.999999999999,960.691923047772,877.069973441078,0.0593991416309013,314,1.16748516847228,1.35515885550112,1.35515885550112
"1700123M08Rik",0.663865546218487,0.677536231884027,998.999999999999,957.274339685032,868.174843862422,0.047381974248927,238,1.41815928412065,1.33708386504253,1.33708386504253
"1700123O12Rik",0.0169491525423729,0.0187500001591287,1e-06,1e-06,771.884835368002,0.0274678111587983,118,0.256222526108215,1.09662844501451,1.09662844501451
"1810024B03Rik",0.593220338983051,0.587786259541981,998.999999999999,880.505039399242,668.363222249935,0.0224892703862661,118,1.45730456370527,1.00358261119606,1.00358261119606
"1810037I17Rik",0.108614232209738,0.110000000041988,1e-06,1e-06,837.113873579888,0.0343347639484979,178,0.76571832940153,1.2177357372717,1.2177357372717
"1810062O18Rik",0.57168458781362,0.566878980209483,998.999999999999,959.216054540372,873.228650429763,0.0539055793991416,279,1.39319162273141,1.35166808023287,1.35166808023287
"2010001K21Rik",0.926666666666667,0.915584415584411,1e-06,1e-06,754.92566650212,0.0264377682403433,125,0.608111064580405,1.07900551059219,1.07900551059219
"2210408F21Rik",0.492955118829191,0.494474802671524,0.587609855240525,0.839640476326035,1.23051179279036,1.4137339055794,3232,1.57288087669944,1.6678425037901,1.6678425037901
"2210408I21Rik",0.566443452380952,0.563380281690141,998.999999999999,957.699177230091,869.280591582981,0.048755364806867,224,1.65488727392063,1.34310332233684,1.34310332233684
"2310002L09Rik",0.432507987220447,0.434954008263212,998.999999999999,983.119204641533,935.442675640093,0.130643776824034,626,1.42589007244989,1.37520580016908,1.37520580016908
"2310014F06Rik",0.364048964218456,0.349320543565148,998.999999999999,894.708368627321,705.330997581918,0.214763948497854,885,1.49735486058125,1.39663877406095,1.39663877406095
"2310015A10Rik",0.545977011494253,0.544186046476661,998.999999999999,962.650973878554,882.168901291958,0.0738197424892704,377,1.39880386026195,1.36268020050504,1.36268020050504
"2310016D03Rik",0.698056801195815,0.689655172403291,998.999999999999,957.999580803511,870.062468256597,0.0497854077253219,223,1.51699867837528,1.34647244280111,1.34647244280111
