"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N","phi","phi_trend","phi_shrunk"
"0610043K17Rik",0.6,0.7,998.999999999999,851.266675169051,592.262945858433,0.0248501302921649,20,2.71378447257583,1.1519218935903,1.38779625439815
"1110002E22Rik",0.453271028037383,0.436619718309859,998.999999999999,964.534469926331,887.071178611225,0.111033509311991,107,2.70026798671078,2.4288503339319,2.58762665038628
"1110002L01Rik",0.962962962962963,0.979166666463755,1e-06,1e-06,673.413909707601,0.0298998695007184,27,0.288196878188273,1.6388732728012,1.02017699764728
"1110004F10Rik",0.46,0.391752577324201,998.999999999999,942.706255680877,830.257701491438,0.0545696157601978,50,2.4698517815249,2.43736190185541,2.45062541760848
"1110019D14Rik",0.410493827160494,0.471428571428578,998.999999999999,963.911836899895,885.450617863394,0.107937333185183,108,2.59276054034202,2.43343620308145,2.52781584070456
"1110038F14Rik",0.228571428571429,0.255319148936171,998.999999999999,927.529121847938,790.755352097866,0.0440077452117016,35,3.22772529804201,2.34916070178394,2.60643937431639
"1110059E24Rik",0.333333333333333,0.434782608695652,998.999999999999,947.139685200727,841.796828959946,0.0600100788617366,51,3.09260227464247,2.4244142181946,2.68188902763163
"1500002F19Rik",0.587719298245614,0.507042253521882,998.999999999999,951.197116732889,852.357326072787,0.0675057982821078,57,3.4732326940123,2.41813799556312,2.83768951906951
"1500004A13Rik",0.476851851851852,0.488095238242117,998.999999999999,962.935489186752,882.909424715943,0.103550149480565,108,2.16514106608449,2.4385383006872,2.27061525271359
"1500009L16Rik",0.538461538461538,0.372881355932166,998.999999999999,902.607932635606,725.891621277208,0.0345962667512832,26,3.14180361480657,1.99642464377687,2.2516382908378
"1600010M07Rik",0.397759103641457,0.4903474903475,998.999999999999,967.265194627814,894.178583898877,0.12899083245391,119,2.83929739585481,2.39656786149098,2.66353499744921
"1600014C10Rik",0.466666666666667,0.320512820512821,998.999999999999,927.254002189488,790.039283241072,0.0438656030479246,35,2.77652244989102,2.34630087040767,2.47913762723035
