"gene","statistic","df","p_intercept","p_sex","pvalue","phi_raw","phi_used","padj"
"0610043K17Rik",NA,153,0.0163277689037057,0.320940330300176,0.0163277689037057,0.987302067762261,1.18273658901621,0.0575294231380278
"1110002E22Rik",NA,582,0.87546452890953,0.862717965148975,0.862717965148975,1.08159412598417,1.34098606109232,0.875726545310028
"1110002L01Rik",NA,175,1.30408377490885e-06,0.551417494919008,1.30408377490885e-06,1.05040938641461,1.26251095347409,1.47625082783957e-05
"1110004F10Rik",NA,317,0.880281704292061,0.401191038805397,0.401191038805397,1.05455349435666,1.33362222650671,0.513935603694103
"1110019D14Rik",NA,552,0.85603788453334,0.0447872510880923,0.0447872510880923,1.18020171582812,1.34158083089913,0.121898376294816
"1110038F14Rik",NA,227,0.777268973195369,0.254891715465722,0.254891715465722,1.03882210115148,1.31948947283446,0.392541926373105
"1110059E24Rik",NA,319,0.0317402796233644,0.643672501044325,0.0317402796233644,1.0582948298662,1.33506786645673,0.0952358887893077
"1500002F19Rik",NA,342,0.11073364127101,0.416272048614671,0.11073364127101,1.13940504946774,1.32485699436424,0.230122325767801
"1500004A13Rik",NA,607,0.195217526451924,0.37625898275821,0.195217526451924,1.10486059479538,1.34459208914516,0.334495938930112
"1500009L16Rik",NA,205,0.91269471881461,0.888253777963908,0.888253777963908,1.13167186707223,1.31707721523875,0.89890770941238
"1600010M07Rik",NA,649,0.716078276894603,0.236822814849255,0.236822814849255,1.04338441870644,1.34552602070748,0.376335406773762
"1600014C10Rik",NA,246,0.321127275744601,0.780772918627203,0.321127275744601,1.01948076255926,1.34350905504664,0.448684787130015
"1600020E01Rik",NA,419,7.21759335247991e-06,0.689692067676346,7.21759335247991e-06,1.09077001887357,1.32112650833243,7.05918558492935e-05
"1700017G19Rik",NA,194,3.27193545220809e-06,0.997035075649337,3.27193545220809e-06,0.257628866244978,1.30659862490286,3.43933680092572e-05
"1700025G04Rik",NA,1444,0.000197506474271945,0.749945634757869,0.000197506474271945,1.32934309323663,1.47155159881896,0.00133813808264761
"1700037C18Rik",NA,127,0.164079365085736,0.516332305874602,0.164079365085736,1.08650665247493,1.10787394643582,0.300793279412014
"1700037F03Rik",NA,198,0.829172159914541,0.740423827994823,0.740423827994823,1.10098269366689,1.29801556281846,0.775600394562364
"1700081N11Rik",NA,252,0.293435190584452,0.706798312108542,0.293435190584452,1.00869993392054,1.34332735040741,0.425299561616677
"1700087I21Rik",NA,383,3.80396225513029e-14,0.712213625864223,3.80396225513029e-14,1.09578607568649,1.32157189527961,1.10928447697993e-12
"1700109H08Rik",NA,384,0.0114685626002017,0.859140736462883,0.0114685626002017,1.05847893553355,1.3240172158511,0.0436136202728825
"1700120C14Rik",NA,230,2.14178738070666e-05,0.815896899201019,2.14178738070666e-05,1.06595797517788,1.33964449537535,0.000189835286909024
"1700123M08Rik",NA,186,0.28456020792816,0.064833799166652,0.064833799166652,1.07282960192664,1.27040324726546,0.159824028487173
"1700123O12Rik",NA,94,0.000995012801464724,0.875586815332438,0.000995012801464724,1.04509719960587,1.04584289006405,0.00555241711434636
