"gene","phi_hat","phi_trend","df","statistic","p_over","p_under","p_two","padj_over","padj_two"
"0610043K17Rik",1.31871361525338,1.18273658901621,153,170.590125483132,0.156921841079798,0.843078158920202,0.313843682159596,0.278307570166189,0.4733085845343
"1110002E22Rik",1.49551755353356,1.34098606109232,582,649.068056268638,0.0277876518915394,0.972212348108461,0.0555753037830788,0.149841015124544,0.212237363543693
"1110002L01Rik",0.454528509443198,1.26251095347409,175,63.0034051852619,1,2.07688296136368e-16,4.15376592272736e-16,1,1.46027948661215e-14
"1110004F10Rik",1.45200014579271,1.33362222650671,317,345.138253598214,0.132993622270064,0.867006377729936,0.265987244540129,0.257709416537965,0.435109386992005
"1110019D14Rik",1.61535153628392,1.34158083089913,552,664.644296856215,0.00067905708438201,0.999320942915618,0.00135811416876402,0.0205601589950687,0.0147160042122238
"1110038F14Rik",1.41000555027202,1.31948947283446,227,242.572045098767,0.227870255179845,0.772129744820155,0.455740510359691,0.336121905542672,0.580150060260737
"1110059E24Rik",1.42937658095121,1.33506786645673,319,341.534045406682,0.184540627955162,0.815459372044838,0.369081255910324,0.301594290728374,0.515914775215492
"1500002F19Rik",1.52792613720388,1.32485699436424,342,394.420485491328,0.0264702362339898,0.97352976376601,0.0529404724679796,0.149198503865597,0.209197524014872
"1500004A13Rik",1.52627142462467,1.34459208914516,607,689.016960776688,0.0114683688086101,0.98853163119139,0.0229367376172201,0.107284293145864,0.129699047249554
"1500009L16Rik",1.56745126697498,1.31707721523875,205,243.970137826446,0.0323704206056005,0.9676295793944,0.0647408412112009,0.158246375936302,0.229227132927865
"1600010M07Rik",1.43896075561375,1.34552602070748,649,694.067239147322,0.107216428565582,0.892783571434418,0.214432857131164,0.236894399428422,0.393427405023486
"1600014C10Rik",1.40417123130043,1.34350905504664,246,257.107402143943,0.300359740793641,0.699640259206359,0.600719481587282,0.399229666826393,0.690532935897611
"1600020E01Rik",1.33113892224094,1.32112650833243,419,422.17547290226,0.447319423897238,0.552680576102762,0.894638847794475,0.540404221920909,0.918888918818932
"1700017G19Rik",0.0729002607400218,1.30659862490286,194,10.8240207160908,1,6.71264847706701e-84,1.3425296954134e-83,1,2.123881978144e-81
