"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N","phi","phi_trend","phi_shrunk"
"1700025G04Rik",0.429487179487179,0.421568627450982,998.999999999999,958.400127820714,871.104993702856,0.19101705484966,78,1.76108309767778,1.88689908822234,1.82039186155461
"2210408F21Rik",0.318181818181818,0.322580645168706,998.999999999999,957.322222287023,868.299470507644,0.0980066474758732,33,2.4183323795968,1.94915847345887,2.08586371191931
"2210408I21Rik",0.45,0.4375,998.999999999999,882.870148804424,674.519020775922,0.02610029530767,10,1.93409888132921,0.668803066399269,0.761271848442955
"2610307P16Rik",0.413461538461538,0.423280423280423,998.999999999999,917.574405875583,764.845672919819,0.326031261427847,130,1.70198475673985,1.86858014515731,1.75958922077069
"2900026A02Rik",0.481481481481481,0.448275862185342,998.999999999999,937.717075539572,817.272091738063,0.0778786032415518,27,1.58988681186308,1.90586668114866,1.81393493740358
"4732440D04Rik",0.3,0.215384615385859,998.999999999999,959.82497735149,874.813526856581,0.102560652001879,40,1.78237888691728,1.93230077229744,1.87736211447785
"4732471J01Rik",0.454545454545455,0.518518518518524,998.999999999999,943.78617762152,833.068472898385,0.0824674934292692,22,1.85431330071751,1.94243707349252,1.92144412875902
"4930523C07Rik",0.434782608695652,0.344827586206897,998.999999999999,932.510637659499,803.721013484524,0.0745112491986863,23,1.77881526622343,1.86366633394489,1.84275925159937
"5031425E22Rik",0.59047619047619,0.558823527532582,998.999999999999,965.292537394989,889.044241927425,0.118979227113655,35,2.64030711287027,1.86526000655252,2.08979709011177
"5330438D12Rik",0.391304347826087,0.514285714285714,998.999999999999,907.360457834363,738.261276376092,0.06155759246116,23,2.1306133025137,1.72309459281209,1.8139701613661
"9530026P05Rik",0.439392179636082,0.429844098117654,998.999999999999,700.460291686315,199.750992238643,0.59290926406392,246,1.99602598393474,1.85036218529859,1.96207224871238
"9630014M24Rik",0.420454545454545,0.418181818182105,998.999999999999,962.749332903675,882.424905661367,0.10957427872029,44,1.55185179630408,1.90242011970507,1.7609786211012
"AU020206",0.666666666666667,0.628571428568192,998.999999999999,927.573979072379,790.872104428852,0.0716284420437785,27,1.84638329439732,1.82249157018923,1.82897666563817
"AW554918",0.522727272727273,0.537037036894265,998.999999999999,966.425406274633,891.99282120421,0.12615070463401,44,1.64030677119878,1.84134656801067,1.76234199490575
"Aak1",0.391891891891892,0.41818181818193,998.999999999999,964.169619945466,886.121563777555,0.114196709382075,37,2.05324119567802,1.88353236715714,1.93950633921466
