"gene","phi_hat","phi_trend","df","statistic","p_over","p_under","p_two","padj_over","padj_two"
"1700025G04Rik",1.51968345028316,1.50993266080471,213,214.375503830616,0.460652303514444,0.539347696485556,0.921304607028889,0.733033582556208,0.998351121080565
"2210408F21Rik",1.52781129578334,1.39212959976857,95,104.259023817571,0.242254556362906,0.757745443637094,0.484509112725812,0.733033582556208,0.998351121080565
"2210408I21Rik",2.13090726784864,0.777974640685223,24,65.7370713052071,9.48374300588382e-06,0.999990516256994,1.89674860117676e-05,0.00284132940456279,0.00236777450380233
"2610307P16Rik",1.64028149116223,1.56651647553632,310,324.597455693023,0.272933296280521,0.727066703719479,0.545866592561042,0.733033582556208,0.998351121080565
"2900026A02Rik",1.3635663403904,1.43750868874113,110,104.341837108684,0.6342218233914,0.3657781766086,0.731556353217199,0.75820707108864,0.998351121080565
"4732440D04Rik",1.45540244794626,1.39664348222214,94,97.9547263481155,0.369582964958268,0.630417035041732,0.739165929916535,0.733033582556208,0.998351121080565
"4732471J01Rik",1.29900014001674,1.4331908341837,112,101.513359011077,0.751397613444632,0.248602386555368,0.497204773110735,0.820083482225172,0.998351121080565
"4930523C07Rik",1.42069621992577,1.40404457669012,100,101.185976820971,0.44802665017355,0.55197334982645,0.8960533003471,0.733033582556208,0.998351121080565
"5031425E22Rik",1.50565674733932,1.44423500351282,118,123.018411653158,0.357401296091705,0.642598703908295,0.714802592183409,0.733033582556208,0.998351121080565
"5330438D12Rik",1.5084128638343,1.36315955355328,65,71.9261629305654,0.25941513822904,0.74058486177096,0.51883027645808,0.733033582556208,0.998351121080565
"9530026P05Rik",1.78812441279335,1.6139735128465,401,444.268684599118,0.0668752456081399,0.93312475439186,0.13375049121628,0.733033582556208,0.998351121080565
"9630014M24Rik",1.6642632374121,1.47065807328654,128,144.850593253599,0.146527235670934,0.853472764329066,0.293054471341869,0.733033582556208,0.998351121080565
"AU020206",1.42857656619107,1.38325398320491,86,88.8178065518948,0.396168564826075,0.603831435173925,0.79233712965215,0.733033582556208,0.998351121080565
"AW554918",1.56521328489033,1.47108811580065,152,161.725471607011,0.279485343883002,0.720514656116997,0.558970687766005,0.733033582556208,0.998351121080565
"Aak1",1.52261874419958,1.456530304546,130,135.898605149615,0.343977691763903,0.656022308236097,0.687955383527806,0.733033582556208,0.998351121080565
"Abca8a",1.38334370137231,1.12190913747402,37,45.6219806409775,0.156306477008742,0.843693522991258,0.312612954017484,0.733033582556208,0.998351121080565
"Abcb1a",1.46524201528311,1.39271865225598,77,81.0096389490034,0.355248800887631,0.644751199112369,0.710497601775263,0.733033582556208,0.998351121080565
"Abcc4",1.24018924608398,1.39306165070144,89,79.2332793354102,0.761214217477802,0.238785782522198,0.477571565044395,0.825690801899047,0.998351121080565
"Abcc5",1.48798048282784,1.38664267232077,90,96.5773274742596,0.298677313131211,0.701322686868789,0.597354626262421,0.733033582556208,0.998351121080565
"Abcg2",1.47989784914782,1.43750868874113,105,108.096233001973,0.398392885201574,0.601607114798426,0.796785770403148,0.733033582556208,0.998351121080565
"Abhd17b",1.58440072547447,1.19369823842664,51,67.692515912315,0.0587845470782244,0.941215452921776,0.117569094156449,0.733033582556208,0.998351121080565
"Abi1",1.40852316172396,1.51750902020093,252,233.901632233751,0.787109772635473,0.212890227364527,0.425780454729054,0.838895607345087,0.998351121080565
"Abi2",1.55905152543085,1.22659656487206,54,68.6360819721093,0.0867635280884581,0.913236471911542,0.173527056176916,0.733033582556208,0.998351121080565
"Ablim1",1.54856466070335,1.70463084122805,733,665.890742348534,0.963411432874116,0.0365885671258837,0.0731771342517673,0.976168759749597,0.998351121080565
"Ablim3",1.64128645032631,1.59264068494834,368,379.240226265898,0.331893571937461,0.668106428062539,0.663787143874922,0.733033582556208,0.998351121080565
"Acer2",1.42948031133936,1.51868607797395,230,216.490080719428,0.729543291560956,0.270456708439044,0.540913416878088,0.803570478498759,0.998351121080565
"Acer3",1.5215097576561,1.35072362246101,58,65.3335474975019,0.237157767193652,0.762842232806348,0.474315534387303,0.733033582556208,0.998351121080565
"Ackr3",1.6690169045793,1.46541154739538,122,138.950769645967,0.139883305684292,0.860116694315708,0.279766611368584,0.733033582556208,0.998351121080565
"Actn1",1.31706651144375,1.39528598725685,73,68.9076334267626,0.613999990477674,0.386000009522326,0.772000019044653,0.748191633359637,0.998351121080565
"Actn4",1.39115105895423,1.39051468396938,93,93.0425618472593,0.479254039465696,0.520745960534304,0.958508078931393,0.733033582556208,0.998351121080565
"Actr2",1.30324346815332,1.45367062359774,129,115.650962922877,0.793811436893181,0.206188563106819,0.412377126213638,0.841604636886428,0.998351121080565
"Actr3",1.4813069113059,1.39817249028189,101,107.005393885079,0.322347892430038,0.677652107569962,0.644695784860076,0.733033582556208,0.998351121080565
"Acvr2a",1.6061519797557,1.45691619910707,126,138.906513341846,0.203697196879569,0.796302803120431,0.407394393759137,0.733033582556208,0.998351121080565
"Acyp2",1.69059786331089,1.53292497261081,262,288.948675311265,0.121394674705512,0.878605325294488,0.242789349411024,0.733033582556208,0.998351121080565
"Adam10",1.45583640673992,1.48018508905046,159,156.384488929112,0.543809236055772,0.456190763944228,0.912381527888457,0.733033582556208,0.998351121080565
"Adamts1",1.78059686894838,1.38361160519797,63,81.075933681329,0.0622691588692453,0.937730841130755,0.124538317738491,0.733033582556208,0.998351121080565
"Adamts9",2.15784269712671,1.68403487232822,450,576.608732789807,4.79554506207035e-05,0.999952044549379,9.5910901241407e-05,0.00999097459976189,0.0102624664328305
"Adamtsl1",1.98447122001283,0.920107384705582,29,62.5466835034553,0.000294722795499125,0.999705277204501,0.00058944559099825,0.0367912289714741,0.0441494747657689
"Adamtsl3",1.56100285504345,1.46291348232446,128,136.58248957285,0.28558832780095,0.71441167219905,0.5711766556019,0.733033582556208,0.998351121080565
"Adarb1",1.44649461368954,1.46814650033299,139,136.950059995541,0.53327691984514,0.46672308015486,0.933446160309721,0.733033582556208,0.998351121080565
"Adcy9",1.48885943710195,1.39036284349833,80,85.6673892898801,0.31195539372072,0.68804460627928,0.623910787441441,0.733033582556208,0.998351121080565
"Adgrf5",1.44382973441043,1.58206763155904,397,362.310936098277,0.893440088789016,0.106559911210984,0.213119822421967,0.922168696757985,0.998351121080565
"Adgrl2",1.63999040184909,1.55514465853996,313,330.076686409796,0.242895036366668,0.757104963633332,0.485790072733336,0.733033582556208,0.998351121080565
"Adgrl4",1.6571505675654,1.66587005253904,572,569.006041739379,0.527486272689749,0.472513727310251,0.945027454620502,0.733033582556208,0.998351121080565
"Adh1",1.44514730183844,1.12190913747402,46,59.2532618410085,0.0908196428598444,0.909180357140156,0.181639285719689,0.733033582556208,0.998351121080565
"Adipor2",1.56203338150852,1.49645433963768,207,216.071350396532,0.318414826201469,0.681585173798531,0.636829652402938,0.733033582556208,0.998351121080565
"Adk",1.59329322114242,1.40649129819825,94,106.484528542229,0.178470714586102,0.821529285413898,0.356941429172204,0.733033582556208,0.998351121080565
"Afap1",1.50425013877119,1.38564826518427,86,93.3610030660405,0.275413598986295,0.724586401013705,0.550827197972591,0.733033582556208,0.998351121080565
"Afap1l1",1.4346769304174,1.49645433963768,203,194.61964803099,0.651201372954668,0.348798627045332,0.697597254090664,0.763760545217339,0.998351121080565
"Afdn",1.47432238954933,1.43076155282267,107,110.257712314506,0.395138734755049,0.604861265244951,0.790277469510098,0.733033582556208,0.998351121080565
"Aff1",1.55279144118707,1.49865992379769,184,190.646070293523,0.353078267116595,0.646921732883405,0.70615653423319,0.733033582556208,0.998351121080565
"Afg1l",1.58240947454802,1.45451517751326,128,139.25493241565,0.234165228559156,0.765834771440844,0.468330457118313,0.733033582556208,0.998351121080565
"Afg2a",1.36800995303689,1.39212959976857,98,96.3020795045965,0.529604787230821,0.470395212769179,0.940790425538357,0.733033582556208,0.998351121080565
"Agap1",1.46453163094422,1.49608422105062,198,193.824156987179,0.570547829642198,0.429452170357802,0.858904340715604,0.733617766946693,0.998351121080565
"Agmo",1.13028001101264,1.48342199360874,150,114.291147348739,0.986559534289924,0.013440465710076,0.0268809314201521,0.995196082401553,0.856758197178464
