"gene","phi_hat","phi_trend","df","statistic","p_over","p_under","p_two","padj_over","padj_two"
"1700025G04Rik",1.48147810696836,1.50895043509095,147,144.323681321728,0.547002156629387,0.452997843370613,0.905995686741226,0.710945632883563,0.997714470089837
"2210408F21Rik",1.61814999463992,1.44182724704462,55,61.7260146023869,0.248291770846509,0.751708229153491,0.496583541693017,0.70214715146432,0.997714470089837
"2610037D02Rik",1.29634322686259,1.40882411363441,64,58.8902232125868,0.657219896253455,0.342780103746545,0.685560207493091,0.745591097442913,0.997714470089837
"2610307P16Rik",1.66514338370608,1.54206492498501,214,231.080208322984,0.201400277569711,0.798599722430289,0.402800555139423,0.70214715146432,0.997714470089837
"4632427E13Rik",1.42066146805156,1.34546692799949,71,74.967999682932,0.350968852362386,0.649031147637614,0.701937704724772,0.70214715146432,0.997714470089837
"4732440D04Rik",1.24872692610206,1.36034794048604,72,66.0921636322137,0.673820702368418,0.326179297631582,0.652358595263164,0.751696160624513,0.997714470089837
"4732471J01Rik",1.41680114087354,1.34546692799949,72,75.8173092329874,0.356434230886783,0.643565769113217,0.712868461773565,0.70214715146432,0.997714470089837
"4930523C07Rik",1.57890635602021,1.29813645094163,77,93.6540910821582,0.0953098830935809,0.904690116906419,0.190619766187162,0.70214715146432,0.997714470089837
"5031425E22Rik",1.55723608739784,1.2852855523478,83,100.561774010392,0.0920559425616114,0.907944057438389,0.184111885123223,0.70214715146432,0.997714470089837
"9530026P05Rik",1.80679046437763,1.55179970117659,225,261.971860270842,0.0458351118482525,0.954164888151747,0.091670223696505,0.70214715146432,0.997714470089837
"9630014M24Rik",1.75929049532657,1.30566144919357,78,105.099724526774,0.0221300818439788,0.977869918156021,0.0442601636879575,0.70214715146432,0.997714470089837
"AW554918",1.46860950847296,1.33633934056507,96,105.502029711845,0.238201524250083,0.761798475749917,0.476403048500165,0.70214715146432,0.997714470089837
"Aak1",1.42804741979743,1.35204663250301,101,106.677377785799,0.330358475450105,0.669641524549895,0.66071695090021,0.70214715146432,0.997714470089837
"Abca8a",1.50947034320161,1.49495807362871,34,34.3300541829116,0.451929530644349,0.548070469355651,0.903859061288699,0.70214715146432,0.997714470089837
"Abcc4",1.1900976865919,1.39235989361698,68,58.1219288628197,0.797857867621209,0.202142132378791,0.404284264757582,0.839889197061513,0.997714470089837
"Abcc5",1.38109088193576,1.2852855523478,77,82.7395886577869,0.306806816162497,0.693193183837503,0.613613632324994,0.70214715146432,0.997714470089837
"Abcg2",1.62788201133389,1.33841149229937,67,81.4907040076246,0.109698335745613,0.890301664254387,0.219396671491226,0.70214715146432,0.997714470089837
"Abi1",1.47050225752764,1.5011196359352,154,150.858960364057,0.556517385890918,0.443482614109082,0.886965228218164,0.713018338053718,0.997714470089837
"Ablim1",1.59317180570134,1.63059780083349,450,439.671458037746,0.627291100124224,0.372708899875776,0.745417799751553,0.739238534802985,0.997714470089837
"Ablim3",1.4154760453048,1.53936935624441,225,206.891288891563,0.801235894045472,0.198764105954528,0.397528211909056,0.842666374254656,0.997714470089837
"Acer2",1.62922516187405,1.42048388725156,99,113.548131360794,0.150559751418909,0.849440248581091,0.301119502837817,0.70214715146432,0.997714470089837
"Ackr3",1.54515729606349,1.2938698993231,72,85.983393983254,0.124633781969119,0.875366218030881,0.249267563938237,0.70214715146432,0.997714470089837
"Actn1",1.3927709784537,1.43350904770614,60,58.2948945044625,0.538280438328639,0.461719561671361,0.923439123342721,0.706669102797773,0.997714470089837
