"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N","phi","phi_trend","phi_shrunk"
"1700025G04Rik",0.7,0.678571428571429,998.999999999999,864.057555170861,625.554462981787,0.146528848299583,20,1.92947523367256,1.62384875456536,1.68588055250419
"2210408F21Rik",0.483974358974359,0.444444444444444,998.999999999999,884.513776556021,678.796979870915,0.208009538287688,26,2.18296863318601,1.76275953366266,1.86564032027624
"2610037D02Rik",0.25,0.304347826104771,998.999999999999,847.405583319251,582.213472685805,0.128148612404119,20,1.524770794402,1.61953309884043,1.59844383033269
"2610307P16Rik",0.390625,0.402061855679569,1.4818294859522,62.5867836821394,160.490043512252,0.697540385766866,120,1.37030804458777,1.69413777567406,1.48377193389675
"4632427E13Rik",0.625,0.54285714285713,998.999999999999,879.398340247053,665.482756342172,0.176434179952813,28,1.70843952420426,1.72286216818737,1.71881159886819
"4732440D04Rik",0.111111111111111,0.0789473684210534,1e-06,1e-06,671.405727739927,0.185524215186001,27,0.661522444825648,1.74250641144366,1.33800324387466
"4930523C07Rik",0.44047619047619,0.428571428571432,998.999999999999,853.426001408299,597.883141377322,0.134066809326572,21,1.65127864500263,1.61846038429337,1.62581347907544
"5031425E22Rik",0.5625,0.653846153855,998.999999999999,881.561197229323,671.112141517424,0.252263344400413,40,1.63046332262822,1.77726195285875,1.72337531803929
"9530026P05Rik",0.41656976744186,0.411111111111139,5.25785171331847,12.4515067650803,23.8642029592921,1.11703015427101,172,1.91959948843769,1.78017182194033,1.87735789674621
"A930015D03Rik",0.472222222222222,0.523809521784904,0.393692957693107,195.662220317737,508.620921952945,0.10666499995642,18,1.02017727572742,1.44133832518075,1.34507926170198
"AW554918",0.345959595959596,0.32183908045977,13.8994974768807,233.701827212845,585.68173764028,0.332437426643565,55,1.52436305178203,1.77720260459352,1.66292784536839
"Aak1",0.435555555555556,0.431034482758621,998.999999999999,871.838764085542,645.807037455699,0.280090943178711,45,1.54647381398318,1.77901691497175,1.6857029092012
"Abca1",0.321428571428571,0.329113924051034,998.999999999999,856.707518228423,606.424123185632,0.314506528049567,49,1.68138605935,1.7779523096671,1.73819613675949
"Abca6",0.648484848484848,0.699999999991273,2.18314671878184,159.093267916928,410.533063776781,0.086171595309921,11,1.5611462837045,1.18363267977955,1.22786494351694
"Abca8a",0.55077519379845,0.628571426917361,13.1188558761673,235.450687105711,591.502132738021,0.327345518997306,43,2.37163591236334,1.77739905195499,1.97980511224449
"Abca8b",0.444444444444444,0.470588235294118,998.999999999999,791.161961620253,435.825147988308,0.0909717757705919,12,1.78991469356483,1.26366238298138,1.32810141601554
