"gene","statistic","df","p_intercept","p_sex","pvalue","phi_raw","phi_used","padj_intercept","padj_sex","padj"
"1700025G04Rik",NA,62,0.428082717151031,0.348224518365714,0.428082717151031,1.21719144268537,1.56618070168254,0.839007810368154,0.999999999999999,0.839007810368154
"2210408F21Rik",NA,83,0.206720550103404,0.619244864385061,0.206720550103404,1.10253333100134,1.49323026430012,0.677881877632214,0.999999999999999,0.677881877632214
"2610037D02Rik",NA,61,0.960224712163114,0.460827559478634,0.960224712163114,1.0788446539165,1.4850215780725,0.999999999999999,0.999999999999999,0.999999999999999
"2610307P16Rik",NA,195,0.161088187519979,0.248757802510825,0.161088187519979,1.0718325669703,1.44860709727532,0.639124735880483,0.999999999999999,0.639124735880483
"4632427E13Rik",NA,74,0.531411328875898,0.716195454808879,0.531411328875898,1.10728255440289,1.50826791958331,0.895017301336278,0.999999999999999,0.895017301336278
"4732440D04Rik",NA,75,0.00141335639838109,0.903629029681183,0.00141335639838109,1.12727810372767,1.37610055181036,0.0418867441702033,0.999999999999999,0.0418867441702033
"4930523C07Rik",NA,60,0.409374431851334,0.898694178739904,0.409374431851334,1.03437719595055,1.45726331762299,0.827084220851824,0.999999999999999,0.827084220851824
"5031425E22Rik",NA,107,0.207268259617334,0.876371019120696,0.207268259617334,1.06203489829332,1.4689710716226,0.677881877632214,0.999999999999999,0.677881877632214
"9530026P05Rik",NA,235,0.440412850323016,0.779533716904133,0.440412850323016,1.26509444252219,1.66745740435439,0.847597029897688,0.999999999999999,0.847597029897688
"A930015D03Rik",NA,46,0.031964132845782,0.0732641544865356,0.031964132845782,1.04130525132181,1.39588131222201,0.314180119830902,0.999999999999999,0.314180119830902
"AW554918",NA,112,0.276685716902179,0.756612474393096,0.276685716902179,1.10519380516371,1.51041705642744,0.742383075803378,0.999999999999999,0.742383075803378
"Aak1",NA,113,0.777939558995619,0.245454464983631,0.777939558995619,1.16725087748631,1.56560014071279,0.956469707939128,0.999999999999999,0.956469707939128
"Abca1",NA,107,0.0956764647551737,0.135414104848295,0.0956764647551737,1.12505913461983,1.51065973287289,0.511805064120775,0.999999999999999,0.511805064120775
"Abca6",NA,34,0.993153703069264,0.993655403115505,0.993153703069264,1.5815431578503,1.64964351064816,0.999999999999999,0.999999999999999,0.999999999999999
"Abca8a",NA,69,0.991444137684126,0.992096650634624,0.991444137684126,1.30990847977418,1.5711074705253,0.999999999999999,0.999999999999999,0.999999999999999
"Abca8b",NA,38,0.618818184009092,0.70836610779992,0.618818184009092,1.26213705260926,1.5903913242731,0.91628188336244,0.999999999999999,0.91628188336244
"Abca9",NA,51,0.992978663006897,0.993310595270388,0.992978663006897,1.07301317349307,1.46579698344023,0.999999999999999,0.999999999999999,0.999999999999999
"Abcc4",NA,61,0.726879323995015,0.0810382067777428,0.726879323995015,1.2084369701758,1.52956538096748,0.938465978702474,0.999999999999999,0.938465978702474
