"gene","phi_hat","phi_trend","df","statistic","p_over","p_under","p_two","padj_over","padj_two"
"1700025G04Rik",1.65711169911779,1.48955065614127,62,68.9744420048503,0.253459831075096,0.746540168924904,0.506919662150192,0.783704491870532,0.998492022805404
"2210408F21Rik",1.49232707213174,1.49429723644824,83,82.8905681986955,0.482738599976311,0.517261400023689,0.965477199952623,0.783704491870532,0.998492022805404
"2610037D02Rik",1.47878873982887,1.49049685763812,61,60.5208341549303,0.493239141025074,0.506760858974926,0.986478282050148,0.783704491870532,0.998492022805404
"2610307P16Rik",1.43687721706303,1.48119309898681,195,189.165786364352,0.604331392401555,0.395668607598445,0.79133721519689,0.783704491870532,0.998492022805404
"4632427E13Rik",1.52802252677323,1.48769283631041,74,76.0060573133166,0.413659070776127,0.586340929223873,0.827318141552255,0.783704491870532,0.998492022805404
"4732440D04Rik",1.27748025908889,1.49000908380173,75,64.3023055854175,0.806120623021223,0.193879376978777,0.387758753957555,0.835154628511394,0.998492022805404
"4930523C07Rik",1.42106898592433,1.48916849293156,60,57.2562067759102,0.57662061291657,0.42337938708343,0.846758774166859,0.783704491870532,0.998492022805404
"5031425E22Rik",1.44168704559368,1.51126178645008,107,102.073985633474,0.616490548692161,0.383509451307839,0.767018902615677,0.783704491870532,0.998492022805404
"9530026P05Rik",1.69784236018377,1.57122894191039,235,253.936866869361,0.188988333741536,0.811011666258464,0.377976667483071,0.783704491870532,0.998492022805404
"A930015D03Rik",1.2185636046242,1.52820642037278,46,36.6795513128651,0.835363721367609,0.164636278632391,0.329272557264783,0.858629237517101,0.998492022805404
"AW554918",1.5052534515878,1.51862901414412,112,111.013542483151,0.508580477371999,0.491419522628001,0.982839045256002,0.783704491870532,0.998492022805404
"Aak1",1.59684499147544,1.51695827812583,113,118.950854903972,0.332407201576872,0.667592798423128,0.664814403153744,0.783704491870532,0.998492022805404
"Abca1",1.50316086843767,1.52208342738613,107,105.669774750151,0.518214115068598,0.481785884931402,0.963571769862803,0.783704491870532,0.998492022805404
"Abca6",2.00936126480234,1.49470725138111,34,45.7067983982506,0.0865854191186547,0.913414580881345,0.173170838237309,0.783704491870532,0.998492022805404
"Abca8a",1.64116593499161,1.50495127990032,69,75.2452594491442,0.283402390628984,0.716597609371016,0.566804781257968,0.783704491870532,0.998492022805404
"Abca8b",1.72862712111182,1.51842859287328,38,43.2604015167746,0.256767591416156,0.743232408583844,0.513535182832313,0.783704491870532,0.998492022805404
"Abca9",1.4351418253882,1.48878021608351,51,49.1625508614987,0.546925000092044,0.453074999907956,0.906149999815913,0.783704491870532,0.998492022805404
"Abcc4",1.57547062222994,1.49049685763812,61,64.4776320483594,0.355996233263734,0.644003766736266,0.711992466527467,0.783704491870532,0.998492022805404
"Abcc5",1.51708207964794,1.50283894371704,90,90.8529737927941,0.454993540838089,0.545006459161911,0.909987081676177,0.783704491870532,0.998492022805404
"Abcg2",1.46390202080623,1.51120469204862,50,48.4349350061155,0.536359176489305,0.463640823510695,0.927281647021389,0.783704491870532,0.998492022805404
"Abhd17b",1.34970060609135,1.48955065614127,68,61.6156562623858,0.694246964631625,0.305753035368375,0.611506070736751,0.787672310220103,0.998492022805404
"Abi1",1.39871656813963,1.49827440533069,205,191.378091655605,0.743806860306786,0.256193139693214,0.512386279386427,0.799827497943966,0.998492022805404
"Ablim1",1.55806046750462,1.670107630163,297,277.074333708485,0.790765381203349,0.209234618796651,0.418469237593302,0.827132131354947,0.998492022805404
"Ablim3",1.78977408884465,1.48759002058543,48,57.7505596809088,0.158217093237918,0.841782906762082,0.316434186475837,0.783704491870532,0.998492022805404
"Abtb2",1.9130081102034,1.49000908380173,55,70.6139628308384,0.0764119990090311,0.923588000990969,0.152823998018062,0.783704491870532,0.998492022805404
"Acap2",1.45213516300916,1.49220972128179,80,77.8515321163731,0.547180688275868,0.452819311724132,0.905638623448264,0.783704491870532,0.998492022805404
"Acbd6",1.4475080976212,1.53389940793981,43,40.5781812519966,0.576878019412479,0.423121980587521,0.846243961175041,0.783704491870532,0.998492022805404
"Acer2",1.97080571537293,1.55251740618734,212,269.118278477223,0.00480500795558096,0.995194992044419,0.00961001591116193,0.335664127182727,0.55285856241861
"Acer3",1.45943556142148,1.48856428129409,66,64.7084900962951,0.521927081344498,0.478072918655502,0.956145837311004,0.783704491870532,0.998492022805404
"Ackr3",1.73599417774899,1.49669655709035,109,126.427340584319,0.121543039739674,0.878456960260326,0.243086079479349,0.783704491870532,0.998492022805404
"Actn1",1.50828827784588,1.45187030426195,132,137.129364855261,0.362191917518884,0.637808082481116,0.724383835037768,0.783704491870532,0.998492022805404
