"gene","statistic","df","p_intercept","p_sex","pvalue","phi_raw","phi_used","padj_intercept","padj_sex","padj"
"0610043K17Rik",NA,109,0.131297478570071,0.967514509575637,0.131297478570071,0.989337490488145,1.32833126636533,0.38411378717496,1,0.38411378717496
"1110059E24Rik",NA,128,0.618609386623928,0.446168800811794,0.618609386623928,1.07983843316011,1.44627281725859,0.842940263091945,0.958356391031612,0.842940263091945
"1500002F19Rik",NA,58,0.0252902848276502,0.15133012719297,0.0252902848276502,1.24137978448173,1.37695327673726,0.134966887130852,0.808391074845469,0.134966887130852
"1500004A13Rik",NA,208,0.0631232860585779,0.668223758750581,0.0631232860585779,1.08089483230376,1.43741922217883,0.246414605576819,0.978132574561022,0.246414605576819
"1600010M07Rik",NA,226,0.799080714281375,0.799080714281375,0.799080714281375,1.0293878447869,1.42503552752358,0.931156520566687,0.988279054986209,0.931156520566687
"1600020E01Rik",NA,137,0.000900462865907636,0.148718872715701,0.000900462865907636,1.14155670061223,1.43839732448885,0.00991214475892061,0.803658870737307,0.00991214475892061
"1700025G04Rik",NA,422,0.841296759997192,0.870305039766167,0.841296759997192,1.10603890920088,1.52179110872422,0.947709090173792,0.995377460600512,0.947709090173792
"2210408F21Rik",NA,764,0.204998067107117,0.278574492002943,0.204998067107117,1.11373736766034,1.5351245283226,0.4921821474508,0.895541272744468,0.4921821474508
"2210408I21Rik",NA,176,0.00144508896931374,0.35797713009308,0.00144508896931374,1.3677736876063,1.68241639013428,0.014932586016242,0.929858952480443,0.014932586016242
"2610035D17Rik",NA,325,3.42113684656421e-06,0.0125805997043474,3.42113684656421e-06,1.29281387553147,1.62860754669427,7.59132260269195e-05,0.2537187930805,7.59132260269195e-05
"2610037D02Rik",NA,334,0.658735993019003,0.537178168909685,0.658735993019003,1.08456482077341,1.49269632306501,0.867071790998476,0.964723469090039,0.867071790998476
"2610307P16Rik",NA,109,0.187619231644513,0.553452396104801,0.187619231644513,1.14188280194006,1.49890975615791,0.467495674121316,0.965433203235104,0.467495674121316
"2700049A03Rik",NA,115,0.0187221367852367,0.347813729338662,0.0187221367852367,1.05429030451159,1.374912689611,0.109476461423797,0.929858952480443,0.109476461423797
"2700097O09Rik",NA,125,0.00539982625886988,0.128031181572799,0.00539982625886988,1.10400010399435,1.40700020672193,0.0435183655585019,0.777333127151249,0.0435183655585019
"2900026A02Rik",NA,112,0.549013714967281,0.995335532034746,0.549013714967281,0.999121341092929,1.38142805113758,0.800452526826908,1,0.800452526826908
"2900093K20Rik",NA,61,0.300208262357366,0.562560782223467,0.300208262357366,1.0178262047549,1.31093330818442,0.605587576123759,0.96659220262358,0.605587576123759
"3110056K07Rik",NA,171,0.277216184233544,0.939578918209882,0.277216184233544,1.02847604687131,1.41956412627778,0.582326157811345,1,0.582326157811345
"3110082I17Rik",NA,120,0.878568066831661,0.958777438183675,0.878568066831661,1.03330887892746,1.41651031734751,0.960209027619139,1,0.960209027619139
"4632427E13Rik",NA,519,0.925675293340324,0.624133956110045,0.925675293340324,1.04613767035246,1.45405164351303,0.976969582434999,0.971619303523062,0.976969582434999
"4732440D04Rik",NA,458,2.46054977515002e-13,0.130902378407886,2.46054977515002e-13,1.15056671070034,1.4363209068749,2.0747355704065e-11,0.781445496568101,2.0747355704065e-11
"4732471J01Rik",NA,130,0.0310036006893379,0.351603882728219,0.0310036006893379,1.11039603476059,1.44274567825467,0.155054781146202,0.929858952480443,0.155054781146202
"4833420G17Rik",NA,166,0.00175441437516045,0.0778421380680955,0.00175441437516045,1.03050823569113,1.34713935477437,0.0174448372775389,0.651001214200442,0.0174448372775389
"4930438E09Rik",NA,153,0.0148159781482809,0.42709314260803,0.0148159781482809,1.04617166833259,1.39505751359288,0.0921948437004946,0.958169118301255,0.0921948437004946
"4930503L19Rik",NA,156,0.319068883158991,0.0287700628798377,0.319068883158991,1.06162178668524,1.42610683823374,0.623930617531682,0.426760334736412,0.623930617531682
"4930523C07Rik",NA,335,0.0619100534686397,0.489232624416666,0.0619100534686397,1.13553991517879,1.54114098340492,0.243569123352504,0.958356391031612,0.243569123352504
"4930578G10Rik",NA,357,2.34183996040089e-22,0.104175287770087,2.34183996040089e-22,1.12128635002609,1.16853531144387,4.11383219710423e-20,0.733048605973331,4.11383219710423e-20
"4930599N23Rik",NA,117,0.463436141696271,0.409189343313873,0.463436141696271,1.07691987743644,1.44562576422325,0.737311452769796,0.956958049655087,0.737311452769796
"4933406I18Rik",NA,203,1.77657569826973e-06,0.173063944265997,1.77657569826973e-06,1.10099028109388,1.37288783379096,4.3546762464565e-05,0.828299257281748,4.3546762464565e-05
"5031425E22Rik",NA,683,9.25407545271706e-05,0.459403416685715,9.25407545271706e-05,1.0712940843353,1.4565384877346,0.001445006744765,0.958356391031612,0.001445006744765
"5033421B08Rik",NA,47,0.616212149072681,0.219982547603166,0.616212149072681,1.1617881455268,1.31970617284921,0.841942428041431,0.850048742275818,0.841942428041431
"5330438D12Rik",NA,211,0.529480613474013,0.796879065115779,0.529480613474013,1.09462697366062,1.49145072656204,0.78636245646182,0.988279054986209,0.78636245646182
"5430405H02Rik",NA,130,0.127010936128322,0.547634425449257,0.127010936128322,1.10725301519646,1.46815623851689,0.37793027886475,0.964865582429007,0.37793027886475
"6030458C11Rik",NA,148,0.000521956165010909,0.00998811543059063,0.000521956165010909,1.04639971105097,1.3345579089357,0.00636002078521963,0.221578455473366,0.00636002078521963
"6720427I07Rik",NA,183,0.493678958670263,0.493678958670263,0.493678958670263,1.01575325452822,1.40857767442143,0.762635825029771,0.958356391031612,0.762635825029771
"6820431F20Rik",NA,250,5.0450779452623e-10,0.0186715065071456,5.0450779452623e-10,0.990595269467861,1.21880796794472,2.72692930990075e-08,0.329290376266187,2.72692930990075e-08
"9330159M07Rik",NA,119,2.79793665028611e-06,0.129004083478604,2.79793665028611e-06,1.1335685809088,1.26217110797727,6.51718282740676e-05,0.779510757323781,6.51718282740676e-05
"9330162G02Rik",NA,84,0.0036869071268252,0.386800480320627,0.0036869071268252,1.16666704335018,1.39776515182549,0.0318524599317521,0.942545944158897,0.0318524599317521
"9330188P03Rik",NA,30,0.76650617225542,0.427315449427543,0.76650617225542,1.51978559008011,1.36354752721296,0.922059904545693,0.958169118301255,0.922059904545693
"9530026P05Rik",NA,1123,0.000165979772994464,0.259378694083078,0.000165979772994464,1.31935900161354,1.77014963004327,0.00240471038812598,0.88234658568464,0.00240471038812598
"9630014M24Rik",NA,90,0.246229821799952,0.0559768772252438,0.246229821799952,1.15157723020389,1.4412260655161,0.548771190332679,0.584794525402509,0.548771190332679
"A230001M10Rik",NA,51,0.506953301743847,0.930835313252243,0.506953301743847,1.29928920014982,1.45351779440443,0.773268856784391,1,0.773268856784391
"A4galt",NA,173,0.0294336909431148,0.787704200683101,0.0294336909431148,0.986131486216715,1.36193461823124,0.149870097845618,0.987265300588544,0.149870097845618
"A730049H05Rik",NA,99,0.818351519229397,0.595968864290231,0.818351519229397,1.33469317878219,1.63312416598179,0.938527557891311,0.969592902235413,0.938527557891311
"A830012C17Rik",NA,235,0.000108319099852704,0.569673779041227,0.000108319099852704,1.14297583975973,1.45471907066622,0.00163224771429422,0.96659220262358,0.00163224771429422
"A830019P07Rik",NA,60,0.991652074616979,0.992658194329611,0.991652074616979,1.06091997178891,1.22270230195075,0.998609850627988,1,0.998609850627988
"A930015D03Rik",NA,155,0.0144962880974059,0.730125030420733,0.0144962880974059,1.08965528631388,1.43468806131019,0.0908118136978654,0.980166037198585,0.0908118136978654
"AU040320",NA,205,0.0317349211872834,0.912059155183504,0.0317349211872834,1.05568875382877,1.41854809700099,0.157035713292942,1,0.157035713292942
"AW554918",NA,452,0.960561571147662,0.784258828346076,0.960561571147662,1.11351933778751,1.53586583742254,0.991634738536057,0.986461520979912,0.991634738536057
"Aak1",NA,417,0.653263249779529,0.129856150178056,0.653263249779529,1.07003762641087,1.47718412327286,0.8646183016673,0.779691841881064,0.8646183016673
"Aamdc",NA,99,0.0658880616609173,0.488147578175909,0.0658880616609173,1.10884785693471,1.40730985519043,0.253332955103635,0.958356391031612,0.253332955103635
"Aatf",NA,246,3.95165613353896e-05,0.724321859601639,3.95165613353896e-05,1.07301819079692,1.40564364843291,0.000688437283429763,0.980166037198585,0.000688437283429763
"Abca1",NA,678,0.790729218750954,0.458740295292392,0.790729218750954,1.12697187372216,1.54711604247781,0.927906671000319,0.958356391031612,0.927906671000319
"Abca5",NA,99,0.763520274673375,0.983972705020094,0.763520274673375,1.16158388123894,1.50794200880662,0.920767013164459,1,0.920767013164459
"Abca6",NA,978,0.259077929098604,0.478069078560282,0.259077929098604,1.26546709506296,1.70251957664842,0.56360812646012,0.958356391031612,0.56360812646012
"Abca8a",NA,1752,3.94847346536142e-08,1.68289821137706e-05,3.94847346536142e-08,1.57775738288562,1.97594859748931,1.46024246754068e-06,0.0012444589405183,1.46024246754068e-06
"Abca8b",NA,966,0.566402752167873,0.779559129069743,0.566402752167873,1.390851201248,1.87024174964661,0.810575018037933,0.985555407627165,0.810575018037933
"Abca9",NA,734,0.122664924938875,0.362890560474758,0.122664924938875,1.27692835932695,1.73122385459104,0.371252924294543,0.929858952480443,0.371252924294543
"Abcb1b",NA,161,0.462949949034693,0.00584543320063501,0.462949949034693,1.30432855164748,1.61203228115806,0.737311452769796,0.153034167333395,0.737311452769796
