"gene","phi_hat","phi_trend","df","statistic","p_over","p_under","p_two","padj_over","padj_two"
"0610043K17Rik",1.32085604803796,1.22815256457762,70,75.283744079837,0.311420156009054,0.688579843990946,0.622840312018108,0.585093269616763,0.999980877151408
"1110059E24Rik",1.48318618646446,1.41608489202784,117,122.544054239462,0.344473420362954,0.655526579637046,0.688946840725907,0.585093269616763,0.999980877151408
"1500004A13Rik",1.52985789616313,1.48707456963124,140,144.027817997015,0.390430268802443,0.609569731197557,0.780860537604886,0.585093269616763,0.999980877151408
"1600010M07Rik",1.54200753151709,1.51949174382555,194,196.874686769381,0.428954282207938,0.571045717792062,0.857908564415875,0.585093269616763,0.999980877151408
"1600020E01Rik",1.41615691562317,1.34313707053209,102,107.545245055547,0.334356695128779,0.665643304871221,0.668713390257559,0.585093269616763,0.999980877151408
"1700025G04Rik",1.54391664435074,1.52289820778433,323,327.457917788759,0.420428464668199,0.579571535331801,0.840856929336399,0.585093269616763,0.999980877151408
"2210408F21Rik",1.52209399680257,1.51343699555301,443,445.534001458154,0.457252270208755,0.542747729791245,0.91450454041751,0.585093269616763,0.999980877151408
"2210408I21Rik",1.63866824923038,1.49073140876025,98,107.725300131786,0.235703684174121,0.764296315825879,0.471407368348242,0.585093269616763,0.999980877151408
"2610035D17Rik",1.48155229142239,1.47728316376429,231,231.667555491873,0.47526439455954,0.52473560544046,0.950528789119081,0.585093269616763,0.999980877151408
"2610037D02Rik",1.46643582247061,1.46578145960137,261,261.116517170927,0.486325921678218,0.513674078321782,0.972651843356437,0.585093269616763,0.999980877151408
"2610307P16Rik",1.6374745840314,1.57096390234249,133,138.630887286102,0.351510762148779,0.648489237851221,0.703021524297558,0.585093269616763,0.999980877151408
"2700097O09Rik",1.50662867441367,1.35286967195463,84,93.5469330670253,0.223218973029725,0.776781026970275,0.446437946059451,0.585093269616763,0.999980877151408
"2900093K20Rik",1.0972683973341,1.12133056133697,68,66.5408164116704,0.527394407138908,0.472605592861092,0.945211185722184,0.585093269616763,0.999980877151408
"3110056K07Rik",1.3443475000303,1.32611254160909,112,113.540076938491,0.441587867554524,0.558412132445476,0.883175735109047,0.585093269616763,0.999980877151408
"4632427E13Rik",1.45071806515255,1.4476996546126,379,379.790203680021,0.478907840952387,0.521092159047613,0.957815681904775,0.585093269616763,0.999980877151408
"4732440D04Rik",1.37045482807862,1.38148608804141,404,400.774032642424,0.535983912403473,0.464016087596527,0.928032175193054,0.585093269616763,0.999980877151408
"4732471J01Rik",1.52926713025616,1.36015342747967,83,93.3197455866859,0.205752806668818,0.794247193331182,0.411505613337636,0.585093269616763,0.999980877151408
"4833420G17Rik",1.18414459373257,1.23639623184769,119,113.970912418257,0.613063023660251,0.386936976339749,0.773873952679497,0.632586161616099,0.999980877151408
"4930438E09Rik",1.36341776184812,1.30661292248514,99,103.304013070863,0.363626797090991,0.636373202909009,0.727253594181982,0.585093269616763,0.999980877151408
"4930503L19Rik",1.4636312714747,1.42642887332272,125,128.260099298303,0.402643677992873,0.597356322007127,0.805287355985746,0.585093269616763,0.999980877151408
"4930523C07Rik",1.49951249000437,1.48826920753743,196,197.480702115155,0.456895476699848,0.543104523300152,0.913790953399696,0.585093269616763,0.999980877151408
"4930578G10Rik",1.26997824615996,1.3165214657827,211,203.540479137148,0.631163578817632,0.368836421182368,0.737672842364735,0.649523338605144,0.999980877151408
"4930590L20Rik",1.38969791719097,1.2886075589554,83,89.511291723567,0.293160161498397,0.706839838501603,0.586320322996793,0.585093269616763,0.999980877151408
"4930599N23Rik",1.47785177758367,1.39547288279669,108,114.37555967348,0.318923800457511,0.681076199542489,0.637847600915022,0.585093269616763,0.999980877151408
"4933406I18Rik",1.40272657231849,1.3379951032572,91,95.4025300767074,0.355518047802043,0.644481952197957,0.711036095604087,0.585093269616763,0.999980877151408
"5031425E22Rik",1.43624164161219,1.44358453171806,594,590.978578928318,0.527289335596294,0.472710664403706,0.945421328807412,0.585093269616763,0.999980877151408
"5330438D12Rik",1.46115764965021,1.45608347551273,161,161.561054396863,0.472740672714237,0.527259327285763,0.945481345428475,0.585093269616763,0.999980877151408
"5430405H02Rik",1.54859641634484,1.37531744274683,86,96.835310646294,0.199283954489275,0.800716045510725,0.39856790897855,0.585093269616763,0.999980877151408
"6720427I07Rik",1.40480971694163,1.41794810033249,181,179.322895320931,0.521271407285384,0.478728592714616,0.957457185429231,0.585093269616763,0.999980877151408
"6820431F20Rik",1.23603882234597,1.28620316166869,232,222.951564208742,0.653428925836236,0.346571074163764,0.693142148327528,0.670644785634763,0.999980877151408
"9330159M07Rik",1.06978384846148,1.1060486297968,67,64.8032246648025,0.553336935090933,0.446663064909067,0.893326129818134,0.588793979441718,0.999980877151408
"9530026P05Rik",1.7828971121334,1.76165956808335,705,713.499070323546,0.403935048799758,0.596064951200242,0.807870097599516,0.585093269616763,0.999980877151408
