"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N","phi","phi_trend","phi_shrunk"
"1700025G04Rik",0.48989898989899,0.545454545454545,998.999999999999,702.745297516798,205.698300846158,0.469042954910637,22,1.59598443777143,1.78041869887605,1.73542819128105
"5031425E22Rik",0.543478260869565,0.666666666664014,998.999999999999,679.225303643309,144.481537130946,0.569080460615798,23,2.06777769215877,1.77983189220559,1.84563601458436
"9530026P05Rik",0.602666666666667,0.553571428317605,998.999999999999,670.924272605661,122.875993423845,0.621998934253429,25,2.29667969428593,1.78956337564958,1.90841667948861
"AW554918",0.529411764705882,0.482758620669207,998.999999999999,728.395224629379,272.45875732456,0.394119494831789,17,2.60870125322652,1.79877173194494,1.93114325645827
"Aak1",0.333333333333333,0.315789473685206,998.999999999999,695.97621020725,188.080030168659,0.491957594825964,21,1.88458588237308,1.77537828182957,1.79947137292511
"Abca1",0.460215053763441,0.551020408163265,998.999999999999,676.332383858694,136.951977903403,0.586557193277698,31,1.70147416449267,1.78240237294279,1.75764855430693
"Abca8a",0.573809523809524,0.6,0.261043100089268,91.3849190468909,237.428290235883,0.432711425269578,14,1.31360742622165,1.79973364605779,1.70980981573061
"Abhd17b",0.536231884057971,0.511111111114395,998.999999999999,674.633474107653,132.53013335011,0.597329997391822,23,2.49820378283384,1.78433944281268,1.93580342235639
"Abi1",0.659333333333333,0.666666665869968,998.999999999999,669.518661142864,119.217532233069,0.631710210953957,25,1.99521248873161,1.79185687803711,1.84219564019133
"Abi3bp",0.398717948717949,0.380165289256198,1.4387984678742,4.27130257827073,8.7791033740383,1.31350170088831,52,1.77654198059819,1.8870741527314,1.83990843999537
"Ablim1",0.166666666666667,0.187500000000106,1e-06,1e-06,296.263141390188,0.283246267706204,11,0.93220109421736,1.68505726222128,1.55790330926786
"Ablim2",0.222222222222222,0.294117647708658,1e-06,1e-06,288.085578011176,0.258445577800929,12,0.795897707062752,1.55814280220234,1.41556131566925
"Ablim3",0.5,0.470588235294117,998.999999999999,740.569238427942,304.144723323575,0.331827695476516,15,1.48228293212266,1.76114387117003,1.7095716075046
