"gene","phi_hat","phi_trend","df","statistic","p_over","p_under","p_two","padj_over","padj_two"
"1700025G04Rik",1.55533110674014,1.54767242965839,41,41.2028890315125,0.461742889801266,0.538257110198734,0.923485779602531,0.718524970453683,0.99899253806093
"5031425E22Rik",1.56662017941365,1.5498772169396,41,41.4429134475512,0.451300483693228,0.548699516306772,0.902600967386456,0.718524970453683,0.99899253806093
"9530026P05Rik",1.5744780578973,1.57077194618879,38,38.0896579833026,0.465404182077213,0.534595817922787,0.930808364154427,0.718524970453683,0.99899253806093
"AW554918",1.68010323291497,1.58545060128147,37,39.2089287219725,0.371053684228148,0.628946315771852,0.742107368456295,0.718524970453683,0.99899253806093
"Aak1",1.43160263877508,1.49600859493063,41,39.2348736422201,0.549272540637376,0.450727459362624,0.901454918725247,0.718524970453683,0.99899253806093
"Abca1",1.75804023246062,1.64748638091793,46,49.0868098394418,0.3504559015573,0.649544098442699,0.700911803114601,0.718524970453683,0.99899253806093
"Abca8a",1.65171564687842,1.57660762017584,19,19.905141196254,0.400306428866878,0.599693571133122,0.800612857733757,0.718524970453683,0.99899253806093
"Abhd17b",2.0559263785548,1.73306314075263,45,53.3833331627998,0.183154100430634,0.816845899569366,0.366308200861268,0.718524970453683,0.99899253806093
"Abi1",1.80174284274045,1.69315797104115,50,53.2065782861516,0.351812982181628,0.648187017818372,0.703625964363255,0.718524970453683,0.99899253806093
"Abi3bp",1.63196746738019,1.64595604760651,72,71.3880895071529,0.498207229294741,0.501792770705259,0.996414458589481,0.718524970453683,0.99899253806093
"Ablim1",1.58901265804631,1.55840942476332,30,30.5891243879181,0.435800786707475,0.564199213292525,0.87160157341495,0.718524970453683,0.99899253806093
"Ablim2",1.45905561794814,1.51686458679689,28,26.9328967517246,0.521903501156927,0.478096498843073,0.956192997686145,0.718524970453683,0.99899253806093
"Ablim3",1.55495142071749,1.54263321995996,38,38.3034367617198,0.455716871842374,0.544283128157626,0.911433743684748,0.718524970453683,0.99899253806093
"Ackr3",1.65645132049164,1.57428776255238,33,34.7223010154126,0.385812815466171,0.614187184533829,0.771625630932342,0.718524970453683,0.99899253806093
"Adam10",1.50825083873103,1.52861032701765,49,48.347371329101,0.499496269030465,0.500503730969535,0.99899253806093,0.718524970453683,0.99899253806093
"Adam12",1.69888171436214,1.59150593438238,33,35.2264451943167,0.363224461028972,0.636775538971028,0.726448922057943,0.718524970453683,0.99899253806093
"Adam19",1.41768385891288,1.52057327346732,26,24.2407130093011,0.562203081083722,0.437796918916278,0.875593837832555,0.718524970453683,0.99899253806093
"Adamts5",1.75288762395091,1.59494146554953,26,28.5747654112315,0.330770232811383,0.669229767188616,0.661540465622767,0.718524970453683,0.99899253806093
"Adamts9",1.71409021051638,1.57396078451046,19,20.6915663467057,0.354090914382896,0.645909085617104,0.708181828765791,0.718524970453683,0.99899253806093
"Adamtsl1",1.82235610808154,1.736079939503,59,61.9320619576948,0.371930860761033,0.628069139238967,0.743861721522066,0.718524970453683,0.99899253806093
"Adgrl4",1.57468507261232,1.54730597201833,30,30.5308407210167,0.438723695739746,0.561276304260254,0.877447391479491,0.718524970453683,0.99899253806093
"Adk",1.85332373825487,1.62973745739507,27,30.7041730591771,0.283458403004874,0.716541596995126,0.566916806009748,0.718524970453683,0.99899253806093
"Afap1l1",1.43833549014383,1.5009424080896,39,37.3732421798962,0.54418346934757,0.45581653065243,0.91163306130486,0.718524970453683,0.99899253806093
"Aff1",1.15420579680025,1.40768641042445,31,25.4178625550694,0.748721456927457,0.251278543072543,0.502557086145086,0.769102126958434,0.99899253806093
"Agap1",1.43562807154088,1.50465422924152,47,44.8438704727759,0.562293504615942,0.437706495384058,0.875412990768116,0.718524970453683,0.99899253806093
"Agfg1",1.36419283916532,1.47698826345924,33,30.4798384700893,0.593194544743845,0.406805455256155,0.813610910512311,0.718524970453683,0.99899253806093
"Ago3",1.61538446886646,1.56240101162809,36,37.2208161966011,0.412650942447602,0.587349057552398,0.825301884895204,0.718524970453683,0.99899253806093
"Agps",1.43055077672135,1.51556758675641,24,22.6537034318553,0.540309986859911,0.459690013140089,0.919380026280178,0.718524970453683,0.99899253806093
"Ahnak",1.45793468892223,1.50936821668832,43,41.5347235555321,0.534927988810241,0.465072011189759,0.930144022379518,0.718524970453683,0.99899253806093
