"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N","phi","phi_trend","phi_shrunk"
"1700025G04Rik",0.543478260869565,0.499999999999998,998.999999999999,671.7474925317,125.018632574565,0.558542406911539,23,1.6622568378483,1.70944008714898,1.69789532147074
"5031425E22Rik",0.590909090909091,0.571428571428301,998.999999999999,726.688867155305,268.017528178587,0.312441885732592,11,1.71856614592886,0.720290347429383,0.808274248090317
"9530026P05Rik",0.5,0.461538461538462,998.999999999999,686.327962025474,162.968011331134,0.446276137378914,18,2.23179746496719,1.65305974301808,1.75534220773113
"AW554918",0.535714285714286,0.559999999999936,998.999999999999,686.2999385467,162.895073103012,0.446415450105715,14,2.56356193979729,1.65310505687319,1.77549372210212
"Abca1",0.317543859649123,0.411764705882368,2.00697839980538,49.9210567379544,126.670902054929,0.551861581622098,19,1.52498852370267,1.70826960748017,1.6682653486721
"Abca8a",0.654761904761905,0.729729729655532,998.999999999999,673.178528219706,128.743266775232,0.54371060865817,14,2.80037641060497,1.7064661676136,1.84976692720741
"Abhd17b",0.486111111111111,0.62962962962963,998.999999999999,676.898926254466,138.426548524603,0.50881072380835,18,1.94210887866659,1.69351904262358,1.74055111685943
"Abi1",0.455555555555556,0.441860465116279,998.999999999999,658.948000486828,91.7047004196369,0.72025164708642,30,1.69840474653788,1.68929855367396,1.69197176570931
"Abi3bp",0.421215127465127,0.446969696969697,4.69867369224829,4.11554985273755,3.07642006807975,1.73499490919538,48,2.43398074072141,1.86928118510043,2.07745505046839
"Ablim1",0.214285714285714,0.21052631605498,998.999999999999,714.941191180459,237.441214756769,0.356185289260371,14,1.44058382935091,1.32112952944035,1.33987786525756
"Acyp2",0.270833333333333,0.428571429041396,998.999999999999,716.342292161629,241.087936272378,0.352055157832559,12,2.21346166665661,1.28366641195321,1.38757034704662
"Adam12",0.59375,0.624999999999999,998.999999999999,701.204194891004,201.687189456777,0.394013737831279,16,2.01105915889342,1.6353754655639,1.6980328603263
"Adamtsl1",0.554166666666667,0.430107526881721,998.999999999999,628.25876875212,11.8281724830096,1.23954136907978,32,2.95749327248083,1.77848027606321,2.07974698330921
"Adgrf5",0.385416666666667,0.380952380952381,0.815726466060104,70.0147688386659,180.905680760239,0.417669942282467,16,1.13582165745831,1.64914527921835,1.54103919552627
"Agap1",0.317460317460317,0.343750000018296,15.1915730722521,54.0426381823058,115.973399280816,0.602651758642493,21,1.52281599981854,1.70964460677001,1.66554805449322
"Agfg1",0.523076923076923,0.565217391272829,998.999999999999,680.931295348968,148.921814271627,0.47778852116656,13,2.24331023854457,1.67310578905393,1.74985836553902
"Ago3",0.2,0.192307692307693,1e-06,1e-06,135.095739462969,0.520211907609775,20,0.975224014866515,1.69877331894794,1.50569628285861
"Ahnak",0.4,0.451612903225807,0.207485459277741,47.7704697893917,123.997628790258,0.562877655400604,20,1.0972707579249,1.71002009240704,1.55278971703375
"Airn",0.827586206896552,0.818181817209226,7.25758630575195,25.5152349436216,54.6163081180664,0.859767866037064,29,1.86330012902681,1.69123819477375,1.73894797997861
"Akap13",0.413888888888889,0.425925925925926,998.999999999999,645.171568073493,55.8480325811166,0.854478193929944,36,1.66226530296303,1.69028329708009,1.68089188253332
"Akt3",0.316666666666667,0.235294117647018,11.9177743124166,51.2473647110221,114.017912393786,0.613360702234497,20,1.64295704547204,1.70814552923369,1.69375756118314
"Ambra1",0.633333333333333,0.666666666666549,998.999999999999,702.818142777844,205.887899158013,0.389639514148612,15,1.47134086458076,1.61578322562642,1.58990458221196
"Ank2",0.275,0.357142857939734,2.34353326412875,97.0766906601516,248.85852640341,0.257936023370454,10,1.35045759561173,0.21016543740777,0.263686613897115
"Ankrd11",0.411764705882353,0.388888888889009,998.999999999999,697.413145434825,191.820019420939,0.404439636861736,17,1.46000133078597,1.6489923106821,1.6110935136397
"Ankrd17",0.425925925925926,0.35555555555556,998.999999999999,653.791809116659,78.2844014826622,0.769691602203859,27,1.85449453276355,1.68517018298943,1.72975364604602
"Ano6",0.4,0.357142857142762,998.999999999999,681.228079324077,149.6942700204,0.475780422632409,20,1.37329979544592,1.6714349220939,1.60155091859376
"Anxa2",0.654761904761905,0.611111109189585,0.204954593793711,90.7789264914976,235.942184367299,0.357854177077071,14,1.06803728273706,1.33694329514734,1.28895147694471
"Aopep",0.263888888888889,0.237288135593268,23.1698856176379,28.9353202130905,37.6604631632487,0.94655269236255,36,1.6175378563161,1.71142813832387,1.67954094797099
"Ap3b1",0.538461538461538,0.624999998888421,998.999999999999,712.543948584929,231.201781433445,0.363043237989123,13,1.92454760191413,1.38771846699913,1.45889215343874
"Apaf1",0.431372549019608,0.370370370370405,998.999999999999,679.097303168457,144.148383352648,0.491013537795591,17,2.09738222850641,1.6829957371043,1.75526483601073
"Apba1",0.375,0.312500000000001,998.999999999999,726.638316290713,267.88595670157,0.312762872050126,12,1.6094379124341,0.726251058647129,0.813685194923565
"Apbb2",0.576923076923077,0.588235294117593,998.999999999999,720.525835088822,251.976670353006,0.338841800993763,13,1.69000745185572,1.1844445490808,1.25061852471143
"Apc",0.4,0.478260869765442,998.999999999999,688.831443969896,169.483959569954,0.434667627701403,20,1.70673541164596,1.65035402189457,1.66245024304211
"App",0.397569444444444,0.486238532110092,17.8536289098049,12.8660722309775,4.47507703799895,1.56692122933486,48,2.20321432201686,1.84759745606685,1.98238093243581
"Arb2a",0.325268817204301,0.395833333333338,998.999999999999,650.009290946088,68.4394362865899,0.804881262576959,31,1.62117861013666,1.68444555698955,1.66514862364976
"Arhgap21",0.444444444444444,0.363636363636416,998.999999999999,727.985387347401,271.392051602296,0.300926022571763,9,1.90311291458589,0.537125266192656,0.618185481726984
"Arhgap24",0.212121212121212,0.176470588251265,0.599828432205135,102.645245155601,266.185625563887,0.316570147933969,11,1.22870541091708,0.799435221136593,0.846295333111757
"Arhgap26",0.37037037037037,0.410256410715277,2.44128861164205,39.2600551009516,98.2171807762492,0.693118331630806,27,1.31712183054633,1.69183898867664,1.58017269291477
"Arhgap29",0.431159420289855,0.457142857142857,998.999999999999,666.297094957724,110.832587193992,0.630853240253802,23,1.58459674075352,1.7047715708486,1.67486563976238
"Arhgap32",0.455555555555556,0.416666666666667,0.980188243090563,73.4093947913963,189.473807455042,0.407079381440449,15,1.2858436306191,1.64904591325083,1.57980822309941
"Arhgap42",0.391666666666667,0.400000000000189,998.999999999999,726.191149621319,266.722091758031,0.315428262870759,12,1.80489287613153,0.777059123184516,0.876474735201237
"Arhgef12",0.367816091954023,0.348837209302387,998.999999999999,660.609445537551,96.0290335654287,0.702551883065017,29,1.52891511625032,1.69082927016406,1.64265942031419
"Arhgef3",0.659090909090909,0.639999999984056,998.999999999999,677.519675493355,140.042206236414,0.503565737635867,22,1.4568581502317,1.69072614319666,1.6328301565662
"Arid1b",0.479166666666667,0.44,998.999999999999,646.280971835573,58.735537923734,0.842437696519746,32,1.79177064881789,1.68831119838545,1.719492032782
"Arid2",0.615384615384615,0.642857142857141,998.999999999999,725.44081177702,264.769146754385,0.319387958056715,13,1.65339742721811,0.855708115952405,0.946399975307581
"Arid4b",0.5,0.5,998.999999999999,726.464493428792,267.433538511169,0.313833668128683,12,1.63808444000789,0.746394691465872,0.835093998108899
"Arih1",0.396551724137931,0.36363636363638,998.999999999999,655.257657921122,82.0996456697013,0.756250868624549,29,1.66043518075397,1.68647795382109,1.67895880144579
"Arl13b",0.3125,0.300000000004267,998.999999999999,704.956129349257,211.452552766024,0.383856515449817,16,1.74457573237018,1.57894648465974,1.60784512669048
"Arl15",0.446608946608947,0.4875,2.19535253511109,7.50111438983333,15.9561093929662,1.15900511854204,33,1.97844090891829,1.75847267183857,1.82483293616238
"Asap1",0.390454545454545,0.370689655172414,0.829460014638492,1.97669541347767,3.79697983946949,1.63736169717579,55,1.51135950345807,1.85752630361287,1.69881478202711
