"gene","phi_hat","phi_trend","df","statistic","p_over","p_under","p_two","padj_over","padj_two"
"1700025G04Rik",1.82629694731977,1.64046092640252,34,37.8516154877537,0.297798025894745,0.702201974105255,0.595596051789489,0.726687550456449,0.999912566988752
"5031425E22Rik",1.69090787700099,1.54787938004089,23,25.1252660074814,0.343859079520968,0.656140920479032,0.687718159041936,0.726687550456449,0.999912566988752
"9530026P05Rik",1.68531870575992,1.58898717677416,26,27.5762366054547,0.379620459147928,0.620379540852072,0.759240918295855,0.726687550456449,0.999912566988752
"AW554918",1.57086543489448,1.52792031780819,30,30.8432072651779,0.423144408381707,0.576855591618293,0.846288816763413,0.726687550456449,0.999912566988752
"Abca1",1.39178321977879,1.49717798473061,31,28.8177359359888,0.578725376296226,0.421274623703774,0.842549247407549,0.726687550456449,0.999912566988752
"Abca8a",2.55193163718998,1.77485226584624,19,27.3187250790653,0.0974453634200192,0.902554636579981,0.194890726840038,0.726687550456449,0.999912566988752
"Abhd17b",1.56848935672167,1.54833961515638,31,31.4034269887622,0.446022068381153,0.553977931618846,0.892044136762307,0.726687550456449,0.999912566988752
"Abi1",1.53431103817967,1.57444505464139,45,43.8529096423827,0.520520811741234,0.479479188258766,0.958958376517532,0.726687550456449,0.999912566988752
"Abi3bp",2.05393413750475,1.81097481643984,57,64.647086627038,0.227138590084163,0.772861409915837,0.454277180168327,0.726687550456449,0.999912566988752
"Ablim1",2.0199061898564,1.63880745731332,21,25.8834738624666,0.210927076611466,0.789072923388534,0.421854153222933,0.726687550456449,0.999912566988752
"Acyp2",1.69320130377908,1.57575539850084,20,21.490661626671,0.368775346502863,0.631224653497137,0.737550693005727,0.726687550456449,0.999912566988752
"Adam12",1.90438831205743,1.60569100852245,22,26.0925312796117,0.247730406064318,0.752269593935682,0.495460812128637,0.726687550456449,0.999912566988752
"Adamtsl1",2.47569865366789,1.91461779922174,43,55.6011973517592,0.0941961247256084,0.905803875274392,0.188392249451217,0.726687550456449,0.999912566988752
"Adgrf5",1.47237547890501,1.51450776805993,32,31.1097878258593,0.511438908235595,0.488561091764405,0.97712218352881,0.726687550456449,0.999912566988752
"Agap1",1.54312647057155,1.55565490869272,39,38.6859142191528,0.484059556327944,0.515940443672056,0.968119112655888,0.726687550456449,0.999912566988752
"Agfg1",1.41926880206204,1.48679139754588,32,30.5467207712868,0.540110690655584,0.459889309344416,0.919778618688831,0.726687550456449,0.999912566988752
"Ago3",1.58157958359053,1.56443751566261,39,39.4273361144154,0.450769110487756,0.549230889512244,0.901538220975513,0.726687550456449,0.999912566988752
"Ahnak",1.40193943543523,1.49537986227119,38,35.6255289312418,0.579764012934119,0.420235987065881,0.840471974131761,0.726687550456449,0.999912566988752
"Airn",1.96001156547878,1.74890152293098,44,49.3112435150357,0.269166125952328,0.730833874047672,0.538332251904655,0.726687550456449,0.999912566988752
"Akap13",1.64950118535515,1.63078207865873,47,47.5394945322523,0.450579126506428,0.549420873493572,0.901158253012857,0.726687550456449,0.999912566988752
"Akt3",1.55058634875091,1.57286374472384,38,37.4617836097939,0.494165707144905,0.505834292855095,0.988331414289809,0.726687550456449,0.999912566988752
"Ambra1",1.68096599437236,1.56302639944249,31,33.339133519517,0.354132045935636,0.645867954064364,0.708264091871271,0.726687550456449,0.999912566988752
