"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N","phi","phi_trend","phi_shrunk"
"1700025G04Rik",0.542424242424242,0.529411764705882,1.40509636928319,56.5048221701421,144.784883730465,0.590322697926785,28,1.47943257715046,1.11265544363388,1.20505356430662
"2010001K21Rik",0.412698412698413,0.5405405403696,3.728420855486,101.489705781474,258.094077873694,0.460814841418221,21,1.52335951889889,1.29146745710822,1.3405347216647
"2610035D17Rik",0.595238095238095,0.52380952378246,998.999999999999,711.972799434854,229.715220562965,0.285377663130945,14,1.90156667142997,1.14265302808406,1.24143280781279
"2610307P16Rik",0.315887188208617,0.330708661417344,1.22807211324441,2.58403298650003,4.7299856208831,1.34004676355605,56,1.70543961624402,1.592212001504,1.64079341447108
"4732440D04Rik",0.258333333333333,0.315789473684759,2.07965904562911,85.0125761375685,217.887396815689,0.517622782999471,24,1.42409669171643,1.15942137428487,1.22057886666831
"5031425E22Rik",0.597222222222222,0.545454545446402,3.25088934966017,96.5203490903713,245.936052386296,0.483765283758733,24,1.28632178193926,1.23324243667195,1.2463033186407
"9530026P05Rik",0.544774322899323,0.58695652173913,0.889077648243915,0.752718216448541,0.514389348949046,3.07587164943969,104,1.98580699203059,1.01425883254343,1.50858269056977
"Aak1",0.333333333333333,0.285714285714319,998.999999999999,724.868696249004,263.280070639623,0.331574750679199,18,1.5453025811184,1.26718967239242,1.31848746663864
"Abca8a",0.763888888888889,0.772727271548154,1e-06,1e-06,197.012853767269,0.251272983211642,12,0.976384573014949,1.06903119174186,1.05527625797242
"Abcb1b",1,0.999999999997371,1e-06,1e-06,21.8272937948901,0.921630552525926,17,3.47020486419952e-11,1.3354351227098,0.037457392466403
"Abcc5",0.555555555555556,0.55,998.999999999999,719.954341358037,250.489212623622,0.312063141139546,18,1.72021947657739,1.21426629828815,1.30187091702772
"Abi1",0.895715363818812,0.902208201892744,0.0132564410162513,0.210632334009361,0.526682483201346,3.03636740464974,87,1.03145686566778,1.01953192247043,1.0260397087481
"Abi3bp",0.34469696969697,0.30952380952381,1.54245370587672,94.0522790042644,242.288480432906,0.489316810147562,22,1.54185869171202,1.21805774682931,1.28714768916201
"Ablim1",0.502032520325203,0.552238805970149,998.999999999999,638.273760490482,37.8947346664358,0.812910957596106,41,1.86010309211046,1.2316333917528,1.43037040700332
"Ablim3",0.346153846153846,0.333333333333476,998.999999999999,730.832841546843,278.803275085375,0.402041474839826,26,1.56470786111562,1.35459953321758,1.40742419459495
"Acap2",0.666666666666667,0.652173911222233,998.999999999999,718.329602146707,246.260415756845,0.306151315664679,15,1.80831897867379,1.19884738343873,1.28689075995888
"Ackr3",0.375,0.300000001190709,998.999999999999,712.07454877043,229.980049077275,0.285683124721391,16,1.51214454776313,1.14353320624849,1.20312685745302
"Acss3",0.501960784313725,0.423076920619531,998.999999999999,729.369319226374,274.99408616441,0.354382531879371,17,1.6551649488731,1.32868445850236,1.38563242468019
"Adamts9",0.321428571428571,0.291666666666667,998.999999999999,716.716051029372,242.06073874912,0.300534453316348,14,1.96233442453689,1.18414072980623,1.28562605798154
"Adamtsl1",0.492616445485298,0.536231884057971,5.67108394986365,3.99027780646057,1.17020105019362,2.07849447342269,61,3.03492563887525,1.3243329908242,1.93722100686219
"Adcy9",0.640625,0.611111111111106,998.999999999999,653.844366503393,78.4211954436848,0.688700847935273,32,1.86634924999554,1.14482155489852,1.33059860902584
"Adgrd1",0.354166666666667,0.471698113208166,998.999999999999,656.426329316158,85.1414100951292,0.674833407910841,32,2.0137273780507,1.14009552397235,1.3581868710161
"Adgrg6",0.64375,0.592592592591855,998.999999999999,727.829684016035,270.986794096821,0.34500082795779,16,2.03940099356573,1.30602485400443,1.41625862023081
"Adgrl3",0.315384615384615,0.320754716996003,9.36261666777428,52.5221945638664,121.488112367642,0.617901187182954,26,1.95810763425971,1.118513654632,1.29766468098832
"Adk",0.330590717299578,0.34,1.4796687751081,1.88829277041869,2.51030024989712,1.60275408378312,79,1.53675255996866,1.61694151952371,1.57447982728292
"Aebp1",0.609126984126984,0.582278481012352,6.34682710679932,13.9385350477304,25.9649871085207,0.883983925586834,42,1.76743992910796,1.2991455638787,1.45516038728568
"Aebp2",0.596774193548387,0.638297872340425,998.999999999999,674.662445213495,132.6055380186,0.604188253239114,31,1.9344687327448,1.11475896658707,1.31591429524495
"Aff1",0.442929292929293,0.416666666666667,6.6158708438299,42.3379955615817,99.4446072249695,0.649486584327843,33,1.39586953472651,1.13040480044084,1.20788606241478
"Agap1",0.391617790811339,0.406779661325162,4.06434434746509,4.67022204658637,5.55088065619838,1.28543392978621,62,1.72389409549492,1.56370870657386,1.63588517967814
"Agfg1",0.379310344827586,0.393939393939406,998.999999999999,721.296562963206,253.982685593856,0.468952120583261,29,1.24741681402282,1.27416529509928,1.26642687082294
"Ago3",0.538461538461538,0.499999999038931,998.999999999999,720.432262509759,251.733123926355,0.313852362091035,13,2.18593137733753,1.21895152456363,1.33284601525961
"Ahnak",0.344407530454042,0.373333333333358,4.10193107797109,13.9338175549111,29.6006646809416,0.858464193593272,43,1.60370068638578,1.27445701941412,1.38880417357551
"Airn",0.116987179487179,0.118811881192944,0.357583368338988,3.72747232012486,9.12062140202837,1.13578653984986,52,1.24683655179093,1.49004056560826,1.38275367743981
"Akap13",0.333333333333333,0.375000000000028,998.999999999999,720.76198470164,252.5913097584,0.471624849225944,27,1.46161176668278,1.26764072684199,1.31783338564446
"Akt3",0.427083333333333,0.506849315068493,998.999999999999,636.187654500388,32.4651134612873,0.841085144528836,48,1.72417337795666,1.25783897653388,1.4269455546947
"Aldh1a1",0.611309523809524,0.606060606060603,998.999999999999,647.448455317345,61.7742105028781,0.728773899809846,28,2.49034557914778,1.16520513730068,1.44132664132524
"Aldh1a2",0.637254901960784,0.647058821650229,998.999999999999,721.516392588307,254.554848082067,0.467842203071219,17,2.163221879499,1.27674918034213,1.41203771663746
