"gene","statistic","df","p_intercept","p_sex","pvalue","phi_raw","phi_used","padj_intercept","padj_sex","padj"
"1700025G04Rik",NA,33,0.856586843936508,0.856586843936507,0.856586843936508,1.61763362181933,1.59658427881596,0.978315899419542,0.99999999999997,0.978315899419542
"2010001K21Rik",NA,45,0.0830756790933759,0.49109665292731,0.0830756790933759,1.40210770161069,1.59225583614583,0.431508355172304,0.99999999999997,0.431508355172304
"2610037D02Rik",NA,47,0.0562786123516885,0.269530601256478,0.0562786123516885,1.03579639945519,1.21495533382237,0.360982341948108,0.972018218345121,0.360982341948108
"2610307P16Rik",NA,74,0.100275912988237,0.03054660715947,0.100275912988237,1.31497610078426,1.53729672284122,0.46360099040205,0.865369951113746,0.46360099040205
"4732440D04Rik",NA,49,0.0213644825640286,0.956038314886957,0.0213644825640286,1.31566924727297,1.48511758121218,0.188619554554545,0.99999999999997,0.188619554554545
"5031425E22Rik",NA,53,0.0409629511521955,0.0950926384125856,0.0409629511521955,1.0887478771759,1.41339725712138,0.296025593659866,0.972018218345121,0.296025593659866
"9530026P05Rik",NA,117,0.480566584284769,0.442415495089304,0.480566584284769,1.31636513544582,1.49438547783808,0.840216415104337,0.99999999999997,0.840216415104337
"Aak1",NA,49,0.828207091036296,0.943981220988695,0.828207091036296,1.24477172640732,1.37973620539798,0.977319653695135,0.99999999999997,0.977319653695135
"Abca1",NA,34,0.964619102621071,0.111531474716376,0.964619102621071,1.15540246069358,1.26137248112961,0.999678052846285,0.972018218345121,0.999678052846285
"Abca8a",NA,16,0.0341101742165165,0.296717565444582,0.0341101742165165,1.81988934262224,1.33665458858907,0.261405350908238,0.972018218345121,0.261405350908238
"Abcb1b",NA,17,0.997648080788992,0.999999844203028,0.997648080788992,3.73314916226898e-11,0.0255206031737153,0.999678052846285,0.99999999999997,0.999678052846285
"Abi1",NA,119,5.37483248290401e-22,0.253867758800487,5.37483248290401e-22,1.43186130374462,1.05493851071421,2.91315920573397e-19,0.972018218345121,2.91315920573397e-19
"Abi3bp",NA,27,0.971624602177567,0.287547376816129,0.971624602177567,1.20284003021139,1.28512865423745,0.999678052846285,0.972018218345121,0.999678052846285
"Ablim1",NA,72,0.431226020005235,0.894778956872543,0.431226020005235,0.880881291612611,1.27369454992064,0.808281340755523,0.99999999999997,0.808281340755523
"Ablim3",NA,39,0.0790170355385427,0.403222185207681,0.0790170355385427,1.00163049038707,1.2084904877115,0.418676657090714,0.99999999999997,0.418676657090714
"Acaca",NA,28,0.259389044705152,0.78048514937299,0.259389044705152,1.20129875592516,1.19882497040252,0.682470205000933,0.99999999999997,0.682470205000933
"Ackr3",NA,23,0.54278653703014,0.383928607841561,0.54278653703014,1.79134334178989,1.46352373197392,0.872236621781567,0.99999999999997,0.872236621781567
