"gene","statistic","df","p_intercept","p_sex","pvalue","phi_raw","phi_used","padj_intercept","padj_sex","padj"
"1700025G04Rik",NA,33,0.702364805058596,0.785443277793541,0.702364805058596,1.27631125335454,1.33993866184228,0.901774844028853,0.972582111448817,0.901774844028853
"2010001K21Rik",NA,45,0.0506206662561918,0.76686565967023,0.0506206662561918,1.18449433927326,1.49108351128985,0.254470164275323,0.969988096098919,0.254470164275323
"2610037D02Rik",NA,47,0.0507062319958208,0.26590606807152,0.0507062319958208,0.877220389627335,1.03774347040713,0.254470164275323,0.886496307746259,0.254470164275323
"2610307P16Rik",NA,74,0.0646029766924886,0.0196476722290291,0.0646029766924886,1.16701872220812,1.42021038173844,0.293821357601783,0.530978341989512,0.293821357601783
"4732440D04Rik",NA,49,0.00823994228288306,0.774375325562782,0.00823994228288306,1.06488265865227,1.29812194206456,0.0823486608073078,0.969988096098919,0.0823486608073078
"5031425E22Rik",NA,53,0.0528222888983163,0.401087857935038,0.0528222888983163,0.926575240283283,1.39805922755534,0.260269823480795,0.912628147223062,0.260269823480795
"9530026P05Rik",NA,117,0.505571348825139,0.853942840227382,0.505571348825139,1.44266350426041,1.65336097258471,0.809934416904904,0.993138378619915,0.809934416904904
"Aak1",NA,49,0.720913896743615,0.657095652239702,0.720913896743615,1.06687233275567,1.2653543160073,0.908686818686138,0.945422968610258,0.908686818686138
"Abca1",NA,34,0.264587516310215,0.460525842676558,0.264587516310215,1.08934604746869,1.10108831621092,0.615478256824621,0.920599414187944,0.615478256824621
"Abca8a",NA,16,0.0195873153157319,0.538124627042492,0.0195873153157319,1.01465426350457,1.04564804313854,0.146300295719417,0.920599414187944,0.146300295719417
"Abcb1b",NA,17,0.998608425332506,0.999997388423869,0.998608425332506,3.56321435533231e-11,0.0718864768925586,0.999435759457708,0.999997388423869,0.999435759457708
"Abi1",NA,119,1.87829976203148e-21,0.298152746586442,1.87829976203148e-21,1.51386842742656,1.14731642139366,4.07215388408425e-19,0.894722251771312,4.07215388408425e-19
"Abi3bp",NA,27,0.529798868072369,0.349049258518965,0.529798868072369,0.776760845127957,1.05264198391092,0.82608276332964,0.911600971629529,0.82608276332964
"Ablim1",NA,72,0.381922299734605,0.733337672233298,0.381922299734605,0.777061890517245,1.20082899501056,0.72180286647284,0.962676593444347,0.72180286647284
"Ablim3",NA,39,0.0162273391346359,0.682437906509693,0.0162273391346359,0.920014966078727,1.05116477359819,0.130299523125521,0.953290073856709,0.130299523125521
"Acaca",NA,28,0.328026368651145,0.851045120068317,0.328026368651145,1.1026967868634,0.961950782413885,0.679886393150747,0.993138378619915,0.679886393150747
"Ackr3",NA,23,0.977206587965691,0.0300201139579621,0.977206587965691,1.576310620672,1.11846454228315,0.999435759457708,0.641299159508651,0.999435759457708
"Acss3",NA,28,0.395472053379636,0.505194313168657,0.395472053379636,1.31019623838527,1.32662279138417,0.730309550023042,0.920599414187944,0.730309550023042
"Acyp2",NA,24,0.000639859983559861,0.966655508308063,0.000639859983559861,0.956810360623195,0.472215310950619,0.0133386196572863,0.999997388423869,0.0133386196572863
"Adam10",NA,50,0.496822174960583,0.545309529453198,0.496822174960583,1.19063043173025,1.60704534014873,0.802615853438557,0.920599414187944,0.802615853438557
"Adamts9",NA,23,0.346110595876028,0.819721290590661,0.346110595876028,1.58007747244419,1.23490313078576,0.69888143166527,0.99067795012324,0.69888143166527
"Adamtsl1",NA,97,0.112421504855655,0.720443337242286,0.112421504855655,1.60114519317487,1.81961914732592,0.398810256506637,0.959366127184464,0.398810256506637
"Adcy9",NA,39,0.0249617793481373,0.60776349742154,0.0249617793481373,1.53361074937009,1.43904574130918,0.164475788818245,0.933227756694154,0.164475788818245
"Adgrd1",NA,55,0.677378633038974,0.337812471173096,0.677378633038974,1.30047405143395,1.50495470087285,0.887882029279623,0.911600971629529,0.887882029279623
"Adgrg6",NA,48,0.0519651251199293,0.401710646463694,0.0519651251199293,1.09622436231064,1.34717650170364,0.25837452283505,0.912628147223062,0.25837452283505
"Adgrl3",NA,24,0.0095311175547969,0.316976123423802,0.0095311175547969,1.18749234132148,1.03210318399691,0.0898411428643464,0.908889096607773,0.0898411428643464
"Adgrl4",NA,14,0.205042585558452,NA,0.205042585558452,0.837924420393594,0.0883802264466823,0.550163769171688,NA,0.550163769171688
"Adk",NA,93,0.801398326820084,0.722107186754973,0.801398326820084,1.07463739965136,1.53414825028459,0.954152293220519,0.959952599049064,0.954152293220519
"Aebp1",NA,83,0.686338040488871,0.766481221362799,0.686338040488871,1.05874489809733,1.4330211235661,0.892537734186084,0.969988096098919,0.892537734186084
"Aebp2",NA,48,0.624655423708597,0.147189325776664,0.624655423708597,1.09426549272352,1.47485559760355,0.878376297333899,0.757557813036721,0.878376297333899
"Aff1",NA,58,0.834859498413572,0.0948122747613873,0.834859498413572,0.973418151086273,1.45555626936268,0.963872193571021,0.696604087128524,0.963872193571021
"Agap1",NA,106,0.742663044205922,0.860298320374889,0.742663044205922,1.17428493865181,1.71241915572017,0.917955233659316,0.993138378619915,0.917955233659316
"Agfg1",NA,57,0.322065385522913,0.948652148558932,0.322065385522913,1.2115971990011,1.54889037834033,0.672676065331093,0.999997388423869,0.672676065331093
"Ago3",NA,42,0.667737606218271,0.511925412849338,0.667737606218271,0.983945291279844,1.11226906192665,0.886455135703015,0.920599414187944,0.886455135703015
"Ahnak",NA,89,0.723305983443164,0.750019041775947,0.723305983443164,1.10980553251149,1.66115232202707,0.909463364196155,0.969988096098919,0.909463364196155
"Aig1",NA,21,0.990717912069185,0.990708840397126,0.990717912069185,0.544035212245691,0.292171154969197,0.999435759457708,0.999997388423869,0.999435759457708
"Airn",NA,87,0.990149552399174,0.991968351623194,0.990149552399174,0.783569487740869,1.14848356279505,0.999435759457708,0.999997388423869,0.999435759457708
"Akap13",NA,51,0.112555367347306,0.0523213794151642,0.112555367347306,0.982659219874386,1.41166181369754,0.398810256506637,0.641299159508651,0.398810256506637
"Akt3",NA,77,0.0582483511779773,0.0455735043366526,0.0582483511779773,1.01836244996983,1.31600306114575,0.273338583017002,0.641299159508651,0.273338583017002
"Aldh1a1",NA,46,0.0368438101023278,0.463427215996369,0.0368438101023278,1.05972818188058,1.42122482639155,0.203121953490413,0.920599414187944,0.203121953490413
"Aldh1a2",NA,45,0.027233130409715,0.297341661968043,0.027233130409715,1.28676790372889,1.56843317777574,0.168689790652178,0.894722251771312,0.168689790652178
"Ambra1",NA,68,0.800514822953122,0.397191542680396,0.800514822953122,1.0749121542006,1.47652603354654,0.954152293220519,0.911600971629529,0.954152293220519
"Anapc1",NA,63,0.617177601536912,0.285130810606327,0.617177601536912,1.08581735275598,1.49734499162372,0.875681308986928,0.894722251771312,0.875681308986928
"Ank2",NA,25,0.00445493489223145,0.940099881219215,0.00445493489223145,1.01939971256337,0.853721080408956,0.0555074646342402,0.999997388423869,0.0555074646342402
"Ankhd1",NA,60,0.796263836808351,0.743448506956728,0.796263836808351,0.748403362909268,1.32424996076486,0.953756905083151,0.969442504246348,0.953756905083151
"Ankib1",NA,36,0.635077794727269,0.772655631261341,0.635077794727269,1.09367051440648,1.11524654531401,0.88240863585465,0.969988096098919,0.88240863585465
"Ankrd11",NA,64,0.885340021023754,0.485372220479202,0.885340021023754,0.860701689758919,1.39287098652007,0.980246811669161,0.920599414187944,0.980246811669161
"Ankrd12",NA,55,0.00119872483311159,0.338739417959906,0.00119872483311159,1.24831722607516,1.49858932323748,0.0214847010184604,0.911600971629529,0.0214847010184604
"Ankrd17",NA,80,0.713695515344049,0.932941151913049,0.713695515344049,1.05282509227648,1.46985310830919,0.907604233540639,0.999997388423869,0.907604233540639
"Ankrd44",NA,38,0.190853548353106,0.539458420969066,0.190853548353106,1.00155407319497,1.10598720852138,0.537980809364401,0.920599414187944,0.537980809364401
"Ano1",NA,71,0.144085025818477,0.0596435032756862,0.144085025818477,1.17684681063814,1.49905771546077,0.455359090341775,0.647084461102386,0.455359090341775
"Ano6",NA,73,0.00814319236537281,0.861694773822017,0.00814319236537281,1.02614125357873,1.40427415612813,0.0823486608073078,0.993138378619915,0.0823486608073078
"Antxr2",NA,25,0.00112448446621615,0.59734107010243,0.00112448446621615,1.65919552722282,1.08296969140783,0.0207456080430428,0.9317831122377,0.0207456080430428
"Anxa1",NA,39,0.0576045593671769,0.440280980017512,0.0576045593671769,1.34255861758523,1.35999423234083,0.272004545808276,0.913880286171885,0.272004545808276
"Anxa2",NA,47,0.297115838474734,0.762367291112019,0.297115838474734,1.01851566732836,1.39430946891562,0.649341872795588,0.969988096098919,0.649341872795588
"Anxa3",NA,63,0.00112914287319144,0.263535198291615,0.00112914287319144,1.25246881200493,1.37774749341523,0.0207456080430428,0.886496307746259,0.0207456080430428
"Aopep",NA,66,0.950034656843445,0.30866379450402,0.950034656843445,1.09001156603805,1.44374720675556,0.999435759457708,0.899368091263735,0.999435759457708
"Ap2a2",NA,40,0.294996116964349,0.0123707413877018,0.294996116964349,1.14949052243285,1.1427385752044,0.646011698564353,0.487013644835277,0.646011698564353
"Ap2b1",NA,46,0.758956599114585,0.957578269560093,0.758956599114585,1.00474967258559,1.2354136597341,0.92965869785831,0.999997388423869,0.92965869785831
"Ap3b1",NA,58,0.386180613505846,0.431941918019028,0.386180613505846,1.07717519595108,1.4919936364112,0.72284178744523,0.913880286171885,0.72284178744523
"Ap3s1",NA,37,0.801875220593997,0.744994485990238,0.801875220593997,0.879679562776468,1.02039121802978,0.954152293220519,0.969568513653042,0.954152293220519
