"gene","statistic","df","p_intercept","p_sex","pvalue","phi_raw","phi_used","padj"
"1700025G04Rik",NA,63,0.621892524092278,0.236820404450375,0.236820404450375,1.13314167613139,1.47246259125718,0.48583940045649
"2210408F21Rik",NA,115,0.0161455717232996,0.102802709219927,0.0161455717232996,1.21177971705111,1.43550326643142,0.133117291918413
"2610037D02Rik",NA,95,0.0507966852283856,0.849821359779634,0.0507966852283856,1.08255124660127,1.42586831118684,0.240461160398261
"2610203C22Rik",NA,91,0.014764420017098,0.801263165693125,0.014764420017098,1.09427402326017,1.43498526068259,0.127704828812182
"2610307P16Rik",NA,28,0.600228772553721,0.11637875721478,0.11637875721478,1.06262755618784,1.18135131913306,0.371438589789914
"4632427E13Rik",NA,91,0.717017974880759,0.2571238124069,0.2571238124069,1.12437573333374,1.43986459464528,0.491741121939819
"4732440D04Rik",NA,70,0.00136661304051784,0.254208651120273,0.00136661304051784,1.07235206501912,1.47144218665734,0.0276705313649404
"4732471J01Rik",NA,112,0.186289910247258,0.758808964549509,0.186289910247258,1.08854932683422,1.41067491765908,0.446359367112287
"4933406I18Rik",NA,222,0.11581976224781,0.369011360572567,0.11581976224781,1.1791823782154,1.50550024261264,0.371438589789914
"5031425E22Rik",NA,168,0.246395651252616,0.544754798743789,0.246395651252616,1.10851931280741,1.48490450974403,0.488791452841561
"5033421B08Rik",NA,135,0.762014601266506,0.472342767534362,0.472342767534362,1.13983350878925,1.44745604581488,0.627470627385157
"9530026P05Rik",NA,49,0.854855252277228,0.141380198095149,0.141380198095149,1.27088503244026,1.44219258885235,0.400342877990688
"AW554918",NA,121,0.938435426098288,0.646890451231176,0.646890451231176,1.13086541223154,1.42676798666401,0.730565878274077
"Aak1",NA,108,0.649508093988978,0.943856450992127,0.649508093988978,1.13249725164233,1.41458179759839,0.731353810738975
"Abca1",NA,469,0.780749439337918,0.811229896034552,0.780749439337918,1.28150349322944,1.68301719304536,0.81460847114594
"Abca6",NA,45,0.168116854647519,0.530505365448893,0.168116854647519,1.27868359391821,1.43548231090636,0.433542203977525
"Abca8a",NA,32,0.00741519082379347,0.865537258880499,0.00741519082379347,1.48580942146074,1.44662368901904,0.0815272324443959
"Abca9",NA,360,0.263727642805946,0.641171233629393,0.263727642805946,1.07931686884591,1.6035693231465,0.49798987030301
"Abcb1b",NA,53,0.000420537155861155,0.591569916359844,0.000420537155861155,1.14033937196192,1.45708055957297,0.0119444233852231
"Abcc1",NA,127,0.867229515692832,0.917613965766241,0.867229515692832,1.03300953342062,1.42522330295972,0.883693685200564
"Abcc5",NA,101,0.257811716276928,0.701666517972823,0.257811716276928,1.04108807974354,1.42418795371366,0.491814328158879
"Abhd12",NA,124,0.487294430285222,0.647383243764571,0.487294430285222,1.12809994587388,1.42838785440676,0.638383798804151
"Abi1",NA,287,0.0685221064830763,0.666403263973589,0.0685221064830763,1.15642977772505,1.53305380533135,0.281947098104408
"Abl2",NA,158,0.105977424494638,0.0161342368737007,0.0161342368737007,1.11320232752176,1.48477221835907,0.133117291918413
"Ablim1",NA,82,0.60933762183598,0.714814017841378,0.60933762183598,1.09019655892103,1.44198816204888,0.708008770826465
"Ablim3",NA,31,0.867667254253894,0.741740059852364,0.741740059852364,1.09853569415992,1.31151401327492,0.79337660232292
"Abr",NA,143,0.00194535304180499,0.788388061124895,0.00194535304180499,1.12061630223729,1.45910483837993,0.0341866330474191
"Abtb2",NA,52,0.0744601580839651,0.154049198167466,0.0744601580839651,1.32237412353122,1.47345087299578,0.294528091453982
"Acaca",NA,56,0.902692035137857,0.146077600203018,0.146077600203018,1.19639350016411,1.47299656450515,0.404233683917689
"Acap2",NA,142,0.170497334389176,0.871051346872537,0.170497334389176,1.02512685853198,1.43550326643142,0.436926126348203
"Acbd3",NA,61,0.0828136837354087,0.458371698319383,0.0828136837354087,1.04686099112314,1.48432574976712,0.310741253649378
"Acer3",NA,235,0.913198114934679,0.727089896017732,0.727089896017732,1.14707387632793,1.5130848694784,0.782578335450664
"Acss1",NA,46,0.0139636441141024,0.839613245109894,0.0139636441141024,1.31687323998932,1.37878896970758,0.123975636149682
"Actr2",NA,231,0.951404918447148,0.819655175852232,0.819655175852232,1.04879907777955,1.50091774590213,0.845282317003436
"Actr3",NA,231,0.617535408709309,0.67611007685983,0.617535408709309,1.03477912105666,1.50596224131499,0.712272933339276
"Acvr1",NA,78,0.119959853514018,0.197137172658764,0.119959853514018,1.06071599094666,1.46133959172882,0.374656871599364
"Acvr2a",NA,108,0.285429108926056,0.128917218487341,0.128917218487341,1.18746723136809,1.41104308163601,0.386562627282424
"Acyp2",NA,76,0.000458866345459666,0.159067337187527,0.000458866345459666,1.34356727543737,1.41683737984679,0.0123471273219081
"Adam10",NA,106,0.0783378655923938,0.442350093512535,0.0783378655923938,1.05321372613167,1.41319968955173,0.302265915351783
"Adam17",NA,103,0.403081803222585,0.253093759748627,0.253093759748627,1.12047946557097,1.41273997424608,0.491741121939819
"Adam19",NA,190,0.0545665673540541,0.823678670372565,0.0545665673540541,1.23453723437552,1.49325746335271,0.250597986656741
"Adam22",NA,114,0.00289112914522141,0.392553193799769,0.00289112914522141,1.35047915245315,1.42522330295972,0.0451325122288381
"Adam9",NA,147,0.151301633985435,0.815227912748262,0.151301633985435,1.11304868679735,1.46972027726858,0.411413511030937
"Adamts6",NA,32,0.0130304560667558,0.244906346456973,0.0130304560667558,1.4284930655864,1.17042000976283,0.118655503433372
"Adamts9",NA,24,0.3614322982608,0.18857963106032,0.18857963106032,1.17363092530767,1.13046713778426,0.447384391552616
"Adap2",NA,189,0.15517005132505,0.106506930389699,0.106506930389699,1.16636950715037,1.48930145224203,0.354157191295827
"Adarb1",NA,48,0.140198889072951,0.319842732443707,0.140198889072951,1.29231282677444,1.40905030825353,0.400342877990688
