"gene","phi_hat","phi_trend","df","statistic","p_over","p_under","p_two","padj_over","padj_two"
"1700025G04Rik",1.42412592072151,1.43954933556108,58,57.3785846454884,0.498364380590305,0.501635619409695,0.996728761180609,0.61275045789195,0.999367546472579
"2210408F21Rik",1.35696784040315,1.37043919783222,81,80.2037735395482,0.504113681262829,0.495886318737171,0.991772637474342,0.61275045789195,0.999367546472579
"2610035D17Rik",0.22249727874959,0.726679975629117,40,12.2473323174738,0.99999306139038,6.93860962019869e-06,1.38772192403974e-05,1,0.00362889283136391
"2610307P16Rik",1.65802554611675,1.5009873692196,25,27.6155812520062,0.3258509096758,0.6741490903242,0.651701819351601,0.61275045789195,0.999367546472579
"3110082I17Rik",1.60193387065448,1.51272050256431,51,54.0077478059469,0.360207529118638,0.639792470881362,0.720415058237275,0.61275045789195,0.999367546472579
"4632427E13Rik",1.45117226138408,1.45204135386744,68,67.9592998582918,0.478579823683359,0.521420176316641,0.957159647366718,0.61275045789195,0.999367546472579
"4732440D04Rik",1.1589811848633,1.3062942216116,62,55.0081538084686,0.723302128318098,0.276697871681901,0.553395743363803,0.738361118627909,0.999367546472579
"4732471J01Rik",1.34984065684756,1.37205962654195,91,89.5263568703022,0.524049459611944,0.475950540388056,0.951901080776112,0.61275045789195,0.999367546472579
"4933406I18Rik",1.55919358401884,1.52211900935642,164,167.994582688517,0.399150951759307,0.600849048240693,0.798301903518613,0.61275045789195,0.999367546472579
"5031425E22Rik",1.44806908296286,1.41835964295518,128,130.681131220752,0.417604769747887,0.582395230252113,0.835209539495773,0.61275045789195,0.999367546472579
"5033421B08Rik",1.47938819260689,1.4655308327662,64,64.605153443364,0.455314990234336,0.544685009765664,0.910629980468672,0.61275045789195,0.999367546472579
"9530026P05Rik",1.6248283000938,1.49692206637702,46,49.9305230934379,0.31997840262549,0.68002159737451,0.63995680525098,0.61275045789195,0.999367546472579
"AW554918",1.53836998877487,1.47574003424489,68,70.8858991483671,0.381686495406258,0.618313504593742,0.763372990812517,0.61275045789195,0.999367546472579
"Aak1",1.54815973005013,1.47940884917915,69,72.2065583376289,0.3724328941578,0.6275671058422,0.7448657883156,0.61275045789195,0.999367546472579
"Abca1",1.5901166178251,1.59868168753888,287,285.462373700145,0.514538641484244,0.485461358515756,0.970922717031512,0.61275045789195,0.999367546472579
"Abca8a",1.27014328929822,1.4117665221364,16,14.3949387594333,0.569317265731096,0.430682734268904,0.861365468537809,0.616891429511111,0.999367546472579
"Abca9",1.61295198589867,1.59256589703867,218,220.790570474819,0.434480360502558,0.565519639497442,0.868960721005117,0.61275045789195,0.999367546472579
"Abcc1",1.36699479184895,1.37554272107047,90,89.4407199295582,0.496820670439131,0.503179329560869,0.993641340878261,0.61275045789195,0.999367546472579
"Abcc3",1.55771775022222,1.49664564141722,55,57.2443295134942,0.391830461232228,0.608169538767772,0.783660922464457,0.61275045789195,0.999367546472579
"Abhd12",1.46177593468111,1.43730639056371,74,75.2598192539706,0.437333850570639,0.562666149429361,0.874667701141278,0.61275045789195,0.999367546472579
"Abi1",1.46722946813567,1.47286633393606,182,181.303460502808,0.500635155952047,0.499364844047953,0.998729688095906,0.61275045789195,0.999367546472579
"Abl2",1.62237186096535,1.50971997756248,80,85.9694187042426,0.303944771022125,0.696055228977875,0.60788954204425,0.61275045789195,0.999367546472579
"Ablim1",1.55702544309166,1.45104020916812,62,66.5285337110175,0.323931238000714,0.676068761999286,0.647862476001427,0.61275045789195,0.999367546472579
"Ablim3",1.01461872898979,1.32675331161623,21,16.0594988700874,0.766298807350899,0.233701192649101,0.467402385298201,0.7769846578764,0.999367546472579
"Abr",1.46446779616307,1.44484680216538,102,103.385158194463,0.443069959405004,0.556930040594996,0.886139918810009,0.61275045789195,0.999367546472579
"Abtb2",1.79145389740124,1.56733432506542,40,45.7197642838958,0.246640708763173,0.753359291236827,0.493281417526347,0.61275045789195,0.999367546472579
"Acap2",1.33960755792959,1.37172886497054,80,78.1266672817798,0.538411549151557,0.461588450848443,0.923176901696886,0.61275045789195,0.999367546472579
"Acer3",1.41353420429897,1.42409857120662,179,177.672127256706,0.513995569229064,0.486004430770936,0.972008861541872,0.61275045789195,0.999367546472579
"Actr2",1.41822600525567,1.41260502013344,152,152.604832721392,0.470951211485496,0.529048788514504,0.941902422970992,0.61275045789195,0.999367546472579
"Actr3",1.56574203189187,1.52007514450878,159,163.77676062275,0.381122329151463,0.618877670848537,0.762244658302927,0.61275045789195,0.999367546472579
"Acvr1",1.79540769115512,1.57815466255486,45,51.1948214069113,0.24358989715461,0.75641010284539,0.48717979430922,0.61275045789195,0.999367546472579
"Acvr2a",1.38900352196091,1.3879172433983,88,88.0688747934827,0.477883568544486,0.522116431455514,0.955767137088972,0.61275045789195,0.999367546472579
"Acyp2",1.61440512704047,1.50527939451024,58,62.2047293743851,0.328908275596432,0.671091724403568,0.657816551192864,0.61275045789195,0.999367546472579
"Adam10",1.37719854299754,1.38955659352466,81,80.2796248117127,0.501722951460497,0.498277048539503,0.996554097079007,0.61275045789195,0.999367546472579
"Adam17",1.46443199650621,1.4562761264937,68,68.3808337929609,0.464232998418831,0.535767001581169,0.928465996837662,0.61275045789195,0.999367546472579
"Adam19",1.52658733370337,1.46256907149342,115,120.033676902949,0.355316091812933,0.644683908187067,0.710632183625867,0.61275045789195,0.999367546472579
"Adam22",1.34132139039902,1.39958829426347,58,55.5853753293096,0.565612828240158,0.434387171759842,0.868774343519684,0.615001058564662,0.999367546472579
"Adam9",1.45660657352166,1.42523195203178,89,90.9592188546005,0.422426238857168,0.577573761142832,0.844852477714337,0.61275045789195,0.999367546472579
"Adamts9",1.99651616878028,1.59828875995337,29,36.2255997447653,0.167084328728973,0.832915671271027,0.334168657457947,0.61275045789195,0.999367546472579
"Adamtsl3",1.42729422594365,1.44254103321352,19,18.7991812146362,0.469785305655909,0.530214694344091,0.939570611311818,0.61275045789195,0.999367546472579
"Adap2",1.46530597434981,1.42819367055842,124,127.222200017406,0.403180632710274,0.596819367289726,0.806361265420548,0.61275045789195,0.999367546472579
"Adap2os",1.55442004655205,1.49182093629362,47,48.9721925806028,0.393875283456098,0.606124716543902,0.787750566912196,0.61275045789195,0.999367546472579
