"gene","statistic","df","p_intercept","p_sex","pvalue","phi_raw","phi_used","padj_intercept","padj_sex","padj"
"2210408F21Rik",NA,80,0.206718837425625,0.851448229472816,0.206718837425625,1.05923022471377,1.61879081102897,0.599740063939191,0.996973546080758,0.599740063939191
"2610307P16Rik",NA,123,0.998664283182462,0.320347979409868,0.998664283182462,0.974805184866819,1.63884866285434,0.998664283182462,0.996973546080758,0.998664283182462
"4632427E13Rik",NA,114,0.921181905977784,0.28422109490204,0.921181905977784,0.961008003048578,1.55762903353593,0.974254114552636,0.996973546080758,0.974254114552636
"4732440D04Rik",NA,58,0.00600303974770414,0.169576459558502,0.00600303974770414,1.03070360595994,1.46309962690517,0.0670774441373897,0.996973546080758,0.0670774441373897
"4833422C13Rik",NA,126,3.43037339325309e-05,0.831605174906546,3.43037339325309e-05,0.965422466930824,1.50139788243203,0.00103718348478358,0.996973546080758,0.00103718348478358
"5031425E22Rik",NA,123,0.10950107999309,0.203102938669055,0.10950107999309,1.07568676647045,1.60204824027219,0.440679461347181,0.996973546080758,0.440679461347181
"9330188P03Rik",NA,47,0.362522577386806,0.430094588630511,0.362522577386806,1.03301154443156,1.59532064063691,0.766817303608306,0.996973546080758,0.766817303608306
"9530026P05Rik",NA,566,0.103253229459522,0.700624279679685,0.103253229459522,1.27939449894686,1.87055159633662,0.429734088600763,0.996973546080758,0.429734088600763
"A830082K12Rik",NA,87,0.189406659361314,0.113548569299769,0.189406659361314,0.997133709688091,1.58655279821232,0.58647604163684,0.996973546080758,0.58647604163684
"AW554918",NA,118,0.65487038733128,0.389441030376174,0.65487038733128,1.18237893847513,1.62204517021069,0.900195699201742,0.996973546080758,0.900195699201742
"Abca6",NA,117,0.722423518412608,0.577662172731798,0.722423518412608,1.26820404183758,1.7234386820347,0.924728507885999,0.996973546080758,0.924728507885999
"Abca8a",NA,235,3.64352035642768e-13,0.418151920428984,3.64352035642768e-13,1.08318896881478,1.40815394181755,4.16170991823072e-11,0.996973546080758,4.16170991823072e-11
"Abca8b",NA,92,0.000268304111357153,0.825299416420771,0.000268304111357153,1.16863354506415,1.60925545714119,0.00574617971823236,0.996973546080758,0.00574617971823236
"Abca9",NA,88,0.551708956063391,0.559982813954369,0.551708956063391,0.966895648887511,1.55993721173163,0.861200624401932,0.996973546080758,0.861200624401932
"Abcc9",NA,345,0.00794329573422024,0.512170318488056,0.00794329573422024,1.02374803061592,1.5427257987095,0.0792787185900817,0.996973546080758,0.0792787185900817
"Abhd17b",NA,53,0.816553385905052,0.707876440401333,0.816553385905052,1.04244665707335,1.57621102378021,0.945099267558078,0.996973546080758,0.945099267558078
"Abi1",NA,188,0.0415149312625485,0.526900633972138,0.0415149312625485,1.01340773021208,1.60609430345105,0.24746977941641,0.996973546080758,0.24746977941641
"Abi2",NA,120,0.639446866410993,0.3314976497893,0.639446866410993,0.939810024900024,1.56577841261974,0.896968675719695,0.996973546080758,0.896968675719695
"Abl2",NA,52,0.814009958641571,0.390477940421185,0.814009958641571,1.12159387386052,1.60273321596927,0.945099267558078,0.996973546080758,0.945099267558078
"Ablim1",NA,74,0.313285656992664,0.632275388132252,0.313285656992664,1.19535094715315,1.70367697828017,0.730395164504285,0.996973546080758,0.730395164504285
"Abr",NA,79,0.425284900284421,0.972318414158461,0.425284900284421,0.986045190541995,1.5682983867519,0.796344039148242,0.99994762697192,0.796344039148242
"Acadsb",NA,53,0.816738794169111,0.704346823362177,0.816738794169111,1.10936019505583,1.58923193162015,0.945099267558078,0.996973546080758,0.945099267558078
"Acap2",NA,105,0.48232718099497,0.822831574904625,0.48232718099497,1.02811061015643,1.64179148335984,0.826945932011949,0.996973546080758,0.826945932011949
"Acer2",NA,122,0.3097572582034,0.72245310966825,0.3097572582034,0.902315513959684,1.58538084083705,0.730395164504285,0.996973546080758,0.730395164504285
"Actr2",NA,86,0.983803562858666,0.619722806437528,0.983803562858666,0.984262520072547,1.6304773852518,0.993732396292596,0.996973546080758,0.993732396292596
"Actr3",NA,85,0.398497007765954,0.995976922001681,0.398497007765954,0.969964437613536,1.60622985554637,0.783279013352582,0.99994762697192,0.783279013352582
"Acyp2",NA,140,0.00190963129508067,0.669309002660433,0.00190963129508067,1.07799151243657,1.56250067511209,0.0280442995906132,0.996973546080758,0.0280442995906132
"Adam22",NA,78,0.0135552019371282,0.604351218882958,0.0135552019371282,1.0725826119613,1.58333329912223,0.110758527500267,0.996973546080758,0.110758527500267
"Adam9",NA,54,0.353735191715842,0.507475030251206,0.353735191715842,1.07653833943217,1.59086178451712,0.764448523969452,0.996973546080758,0.764448523969452
"Adamts12",NA,172,0.764775155171324,0.265868193437857,0.764775155171324,1.06660289386623,1.52287012288712,0.933661455800699,0.996973546080758,0.933661455800699
"Adamts17",NA,29,0.037756177750156,0.739239726729421,0.037756177750156,1.14989833350573,1.56903857709935,0.238118716117549,0.996973546080758,0.238118716117549
"Adamts2",NA,102,0.36151903460605,0.476858761032004,0.36151903460605,0.939276548282079,1.5742395533809,0.766817303608306,0.996973546080758,0.766817303608306
"Adamts9",NA,87,0.0553883382914993,0.0126147565706482,0.0553883382914993,1.33174738135667,1.72260466790791,0.302868147679049,0.996973546080758,0.302868147679049
