"gene","phi_hat","phi_trend","df","statistic","p_over","p_under","p_two","padj_over","padj_two"
"9530026P05Rik",1.95387728129137,1.65851148434829,13,15.3151816532454,0.288091978638221,0.711908021361779,0.576183957276443,0.751489606779614,0.997417801495647
"Cacna1c",1.6486706610278,1.69925614187495,23,22.3153086042693,0.501291099252177,0.498708900747823,0.997417801495647,0.751489606779614,0.997417801495647
"Cacnb2",2.91158764540745,2.01330627325201,23,33.2619615475609,0.0766094866174931,0.923390513382507,0.153218973234986,0.751489606779614,0.997417801495647
"Cald1",1.51272821500944,1.64716782845468,20,18.3676270125872,0.563204770272771,0.436795229727229,0.873590459454458,0.751489606779614,0.997417801495647
"Carmn",1.39004281013802,1.67397073254894,18,14.9469582089918,0.665605917841223,0.334394082158777,0.668788164317554,0.768070966831325,0.997417801495647
"Cped1",1.33503877280758,1.55009390216062,14,12.0576842430346,0.601670177051362,0.398329822948638,0.796659645897276,0.751489606779614,0.997417801495647
"Dlc1",1.62750506986212,1.7084570873096,28,26.6732727995535,0.536087834704116,0.463912165295884,0.927824330591769,0.751489606779614,0.997417801495647
"Ebf1",1.60569668197837,1.62710574931348,22,21.710529274713,0.477276034036214,0.522723965963786,0.954552068072429,0.751489606779614,0.997417801495647
"Errfi1",1.96256552960753,1.76367162727624,16,17.8043622112441,0.335476942263281,0.664523057736719,0.670953884526561,0.751489606779614,0.997417801495647
"Filip1",1.80964017529422,1.64821192056848,14,15.3711802092664,0.353261195452276,0.646738804547724,0.706522390904552,0.751489606779614,0.997417801495647
"Fry",1.83680981971509,1.79280589501191,21,21.5154391902313,0.427877760712027,0.572122239287973,0.855755521424053,0.751489606779614,0.997417801495647
"Gucy1a2",1.4997812328222,1.60980608382203,16,14.9064536196697,0.531500423400269,0.468499576599731,0.936999153199461,0.751489606779614,0.997417801495647
"Itpr1",1.17734678004974,1.5096731046908,20,15.5973737147669,0.741267354602885,0.258732645397115,0.51746529079423,0.781735386026476,0.997417801495647
"Kcnab1",2.69700516326092,2.02681537202917,25,33.2665372544611,0.124538014832122,0.875461985167878,0.249076029664245,0.751489606779614,0.997417801495647
"Lhfpl6",1.42057849687663,1.57810333796159,16,14.4028945400908,0.568726199753223,0.431273800246777,0.862547600493554,0.751489606779614,0.997417801495647
