"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N","phi","phi_trend","phi_shrunk"
"9530026P05Rik",0.516666666666667,0.583333333333324,998.999999999999,624.204327384232,1.27545803290122,1.14285714285714,25,1.96292604543495,1.61321086391084,1.61321086391084
"Acta2",0.471605667060213,0.477272727272727,0.335980133045311,0.324064702305603,0.297493060882796,2.0952380952381,33,1.41926043172022,1.53832757067771,1.53832757067771
"Actn1",0.5,0.5,0.98171026772276,1.48158117321046,2.26091249141037,1.04761904761905,23,1.45230837831608,1.62672818335417,1.62672818335417
"Acyp2",0.178571428571429,0.192307692308648,0.976753169710229,17.5180963479596,44.0080755980945,0.619047619047619,14,1.42174334608282,1.98906305245912,1.98906305245912
"Akap6",0.548309178743961,0.510204081611699,1.26226058296013,1.22870517007506,1.14684414048048,1.16666666666667,23,1.63068908039227,1.61722650658431,1.61722650658431
"Aopep",0.382098765432099,0.450980392156863,1.07157054142951,1.04094804763889,0.968029811965976,1.21428571428571,27,1.48602969770604,1.62307265338535,1.62307265338535
"Cacna1c",0.486111111111111,0.472972972993865,0.306703838683661,0.327345887014716,0.353607156625447,1.76190476190476,30,1.34494764824623,1.54210602422469,1.54210602422469
"Cacna2d1",0.528571428571429,0.595238095238095,8.2653978344092,6.38826416864302,3.19581015293662,1,21,1.8990379522609,1.66374866102236,1.66374866102236
"Cacnb2",0.39026169026169,0.429530201342282,0.425363276345992,0.357169387506059,0.238408812698767,3.54761904761905,37,1.90213172987247,1.71964892488979,1.71964892488979
"Cald1",0.512962962962963,0.43010752720147,0.0727228846739471,0.156264711761478,0.288543953080631,2.21428571428571,36,1.10723409872826,1.55421583125651,1.55421583125651
"Carmn",0.461412151067323,0.476190476190476,0.241295797403654,0.352590568474802,0.525600925344686,1.5,29,1.22561342340507,1.55594768257425,1.55594768257425
"Celf2",0.566176470588235,0.52272727272725,1.51470420474761,1.81434987463339,2.26091249141037,1.04761904761905,17,1.98106641550882,1.62672818335417,1.62672818335417
"Clic4",0.15,0.150000000004622,0.390805610861613,2.02228045995803,4.62843991849063,0.952380952380952,19,1.32086972698503,1.71220731774739,1.71220731774739
"Cobll1",0.510416666666667,0.470588235294118,998.999999999999,628.892656703297,13.478027033902,0.80952380952381,16,2.65562099542783,1.8698670331541,1.8698670331541
"Cped1",0.596894020766201,0.597826086958595,0.279981188887894,0.286096859230427,0.289670380693993,2.19047619047619,28,1.49507194351816,1.55070883173455,1.55070883173455
"Crim1",0.421645021645022,0.484375,0.345792760149467,0.406094862185942,0.495051888052519,1.52380952380952,21,1.52535653135668,1.54665469085111,1.54665469085111
"Dip2c",0.4625,0.46511627906975,2.13617182614997,2.36246043001851,2.67762467716253,1.02380952380952,24,1.54230457366795,1.64323527257983,1.64323527257983
"Dlc1",0.554150579150579,0.572519083965541,0.176111686708938,0.208659163965376,0.256907032257857,3.11904761904762,37,1.3783378792321,1.68427763601256,1.68427763601256
"Ebf1",0.363852813852814,0.414893617021281,0.969544460601294,0.715846625118295,0.287663088297952,2.23809523809524,33,1.90766151843343,1.55785161321306,1.55785161321306
"Enah",0.462797619047619,0.383333333333334,2.84665123843615,2.01337188296072,0.614503937154082,1.42857142857143,24,2.13354355982951,1.58652576245209,1.58652576245209
"Entpd1",0.543137254901961,0.447368421052632,2.15268870762554,3.94007800183534,6.75693556463119,0.904761904761905,17,1.84000418850346,1.76129912473309,1.76129912473309
"Esyt2",0.377777777777778,0.436363636363636,1.65372901081426,1.32782108292444,0.768682307368933,1.30952380952381,27,1.65801838575678,1.62318454869603,1.62318454869603
"Ext1",0.601731601731602,0.586206896551724,0.957202454426937,0.856007648463237,0.672523545744969,1.38095238095238,22,1.79584418571101,1.60542948151718,1.60542948151718
"Fbxl17",0.36231884057971,0.418604651165059,1.36329307685035,1.87992237490023,2.67762467716253,1.02380952380952,23,1.51204231113238,1.64323527257983,1.64323527257983
"Fry",0.370238095238095,0.397959183673489,0.874972676711134,0.656124264463543,0.285899609864456,2.33333333333333,30,2.06315952019458,1.57336904443515,1.57336904443515
"Igf1r",0.547222222222222,0.500000000052799,8.97057705897093,6.23792263629608,1.65859185266743,1.0952380952381,24,1.82518793707295,1.60886716513769,1.60886716513769
"Igfbp7",0.55,0.518518518509884,1.48693176791894,1.23850128350753,0.807250340667737,1.28571428571429,20,2.02756947581912,1.62482029186024,1.62482029186024
"Irag1",0.5,0.500000000068059,1.22387507249571,1.07426482816393,0.807250340667737,1.28571428571429,30,1.43949780439451,1.62482029186024,1.62482029186024
"Itga8",0.622908232118758,0.599999999999999,0.30387201302812,0.315142288088143,0.326445904499398,1.9047619047619,19,1.75759323435594,1.53159297067884,1.53159297067884
"Itpr1",0.561538461538462,0.522727272727268,3.03223634762009,2.76180380510404,2.26091249141037,1.04761904761905,26,1.51915280322194,1.62672818335417,1.62672818335417
"Kcnab1",0.419142416723062,0.432748538011696,0.138510043924209,0.169928446568794,0.217203162965878,4.07142857142857,31,1.54994294383189,1.76386077232873,1.76386077232873
"Ldlrad4",0.266666666666667,0.325,0.353674391855087,1.99909800576348,4.62843991849063,0.952380952380952,21,1.2492669959278,1.71220731774739,1.71220731774739
"Lhfpl6",0.545238095238095,0.480769231513957,0.850110466383437,0.878187227994317,0.904276020921446,1.23809523809524,21,1.68878647621065,1.62468067072324,1.62468067072324
"Lncpint",0.408730158730159,0.450000000222606,0.162857473481324,1.87996363344547,4.62843991849063,0.952380952380952,21,1.12679254964483,1.71220731774739,1.71220731774739
"Lpp",0.562825190682333,0.490909090922418,0.0214581235211461,0.0990062048828268,0.222819368554732,3.92857142857143,35,1.07792683658545,1.7526060476173,1.7526060476173
"Luc7l2",0.616666666666667,0.594594594541169,2.44692424249185,4.65294973511843,8.13423274491896,0.880952380952381,21,1.54356870813238,1.78652566985726,1.78652566985726
"Magi1",0.522727272727273,0.500000000000002,1.26098496680783,1.42452651526303,1.65859185266743,1.0952380952381,22,1.60913195457519,1.60886716513769,1.60886716513769
"Malat1",0.482560678170061,0.484405458089894,0.0173410381595732,0.0174853292332909,0.0173308277430197,73.2857142857143,42,2.23225084310174,2.23527295663716,2.23527295663716
"Mast4",0.421095977193538,0.416666666666905,0.186550670509465,0.182844186165887,0.172753640728882,5.42857142857143,41,1.71798812961138,1.84670959620834,1.84670959620834
"Msrb3",0.56820987654321,0.6,0.680377332339873,0.573080683574033,0.385975012428004,1.66666666666667,27,1.64358877136007,1.5394985250381,1.5394985250381
