"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N","phi","phi_trend","phi_shrunk"
"Arhgap15",0.525210084033613,0.499999999999602,0.546861040720422,0.448886233557543,0.27969135528152,2.5,17,1.69232204008643,1.67112707467951,1.67515493909571
"Bcl2",0.669230769230769,0.68421052631579,1.29877533630115,1.05937093180456,0.646772260124849,1.9,13,2.10276193619106,1.67112707467951,1.73089228679874
"Ccnd3",0.394117647058824,0.414634146463143,0.162945402548612,0.294506879729791,0.501742749985725,2.05,17,1.19622736746428,1.67112707467951,1.56774511943406
"Dock2",0.545098039215686,0.471698113207547,0.448900616771049,0.461880053716525,0.472696764676603,2.65,17,1.6708806298587,1.67112707467951,1.67107999814142
"Gm2682",0.431565656565657,0.379310343725997,1.87344637730537,1.90075927852298,1.90285890311921,2.9,11,4.06433340851676,1.67112707467951,1.88002416578244
"Malat1",0.533635959608197,0.501262626262626,0.00618760065870818,0.00624049157575424,0.00618761482115448,39.6,20,1.23738233014676,1.67112707467951,1.56544819563312
"Pde3b",0.380952380952381,0.4375,0.577056046974759,0.592433064811391,0.604241593413462,1.6,14,1.46919092376881,1.67112707467951,1.63645621601841
"Pitpnc1",0.603535353535353,0.565217391304348,0.450700658368925,0.411039576338399,0.337446429158386,2.3,16,1.57938120567642,1.67112707467951,1.65405839299685
"Skap1",0.528703703703704,0.488372093152676,1.53134520433783,1.24573020699521,0.753893617725619,2.15,18,1.84022748666374,1.67112707467951,1.70365590554926
"St6galnac3",0.605922865013774,0.51063829787234,0.0677027525089062,0.14230279004911,0.260362216951271,2.35,11,1.20828843914097,1.67112707467951,1.60082583663316
"Zeb1",0.600915750915751,0.589743589583966,0.362276034981763,0.421191328614535,0.507558958415136,1.95,13,1.53805328377915,1.67112707467951,1.65005251705288
