"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"0610005C13Rik",0.224,125,-0.46948528330122,-8.04704541847904,6.02718095629253e-05,0.000376670750266624
"0610040B10Rik",0.66030534351145,131,0.472068444315223,0.0639503482058288,1,1
"0610040J01Rik",0.687878787878788,165,1.36257007938471,-2.61699752608651,0.0221496010778456,0.0706933535114122
"0610043K17Rik",0.527050610820244,191,0.306103127725679,-0.099510918826212,0.655511551594436,0.989890387690383
"1110002E22Rik",0.510825780463243,662,0.470890734012361,0.0350447520219177,1,1
"1110002L01Rik",0.950520833333333,192,4.75488750216347,-44.190486833977,5.39875977428364e-21,1.28498140443233e-19
"1110004F10Rik",0.440251572327044,371,-0.669354688011529,-3.05538409302662,0.0134360718490734,0.0463476488874985
"1110019D14Rik",0.540962441314554,710,0.163285804079277,-1.56188268917572,0.0771582983651668,0.195798298157656
"1110059E24Rik",0.442928039702233,403,-0.0937821463206161,-1.93249907286565,0.0493032482454377,0.13620881718778
"1200007C13Rik",0.422535211267606,71,0.637429920615292,1.19130792304806,1,1
"1500002F19Rik",0.624537037037037,360,0.740480078342443,-2.5643228881695,0.0235340825920652,0.0741948155744207
"1500004A13Rik",0.454098360655738,610,-0.446256229889564,-4.06709591773799,0.00434382043408408,0.0177130757919637
"1500009L16Rik",0.554907677356657,343,0.321928094887363,0.299135617062618,1,1
"1500026H17Rik",0.291970802919708,137,-0.945552215977623,-3.01556997816117,0.0140556529970736,0.0480843745751059
"1600010M07Rik",0.476684515841142,747,-0.429864916956483,-4.25048479938431,0.00354957279757295,0.0148255959037397
"1600014C10Rik",0.446127946127946,297,-0.40109830832097,-2.75001491591136,0.0190161492618339,0.0620799580960259
"1600020E01Rik",0.300226537216828,515,-1.19068356160911,-21.2860301752172,6.81255745364379e-11,8.73116027016209e-10
"1700017G19Rik",0,210,-Inf,-96.6982193021104,5.76760446190034e-44,2.88896724987128e-42
"1700025G04Rik",0.574480803498109,1618,0.535678805841409,-8.75257175441232,2.86531466562362e-05,0.000187629190591861
"1700037F03Rik",0.575129533678757,193,0.823122237915921,-1.73418282090386,0.0625530867496593,0.165820030909839
"1700081N11Rik",0.603703703703704,225,0.657894023175007,-1.32728741731395,0.103252360885736,0.246629838528492
"1700086O06Rik",0.622747747747748,148,0.770518153877233,0.828874880554295,1,1
