"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N"
"1700025G04Rik",0.5390625,0.515789473684211,998.999999999999,874.267281498299,652.127871442079,0.220417633410673,64
"2210408F21Rik",0.423529411764706,0.429824561790225,998.999999999999,841.084135580875,565.760297798954,0.264501160092807,85
"2610037D02Rik",0.444444444444444,0.461538461538461,998.999999999999,853.11362528844,597.070103107731,0.180974477958237,63
"2610307P16Rik",0.41786318588349,0.439226519361245,1.08939934750992,1.61822666013672,2.44157235685987,0.839907192575406,197
"4632427E13Rik",0.565789473684211,0.533333333103566,998.999999999999,873.339465740653,649.712995047443,0.208816705336427,76
"4732440D04Rik",0.244588744588745,0.250000000005043,998.999999999999,873.912322164235,651.203999531279,0.222737819025522,77
"4930523C07Rik",0.416666666666667,0.444444444444444,998.999999999999,860.392812201936,616.016037690845,0.187935034802784,62
"5031425E22Rik",0.594036697247706,0.576388888888886,998.999999999999,746.233528977575,318.887479552864,0.334106728538283,109
"9530026P05Rik",0.463662159659926,0.474048442906748,0.941985468409649,0.846423877953325,0.672306948719191,1.34106728538283,237
"A930015D03Rik",0.625,0.633333333333202,6.26863496303857,138.220976720403,349.568701026197,0.139211136890951,48
"AW554918",0.450730994152047,0.43715846995885,5.05054963124333,42.3367618276761,101.985043089272,0.424593967517401,114
"Aak1",0.476086956521739,0.493670886075949,998.999999999999,708.835791470543,221.550359791447,0.366589327146172,115
"Abca1",0.430275229357798,0.439306358418822,6.14304066204208,58.3304489160261,141.837382003288,0.40139211136891,109
"Abca6",0.583585858585859,0.648648646301662,13.2196678446362,224.705189494888,563.370423850919,0.17169373549884,36
"Abca8a",0.701425217974514,0.666666665546017,0.529112926069832,23.9109160860338,61.3744296555021,0.459396751740139,71
"Abca8b",0.470833333333333,0.468750000000002,998.999999999999,786.079343910473,422.596343207662,0.148491879350348,40
"Abca9",0.54874213836478,0.634146339890677,2.93634798626627,240.631438865397,621.532931653972,0.190255220417633,53
"Abcc4",0.587301587301587,0.564102564102298,998.999999999999,853.11362528844,597.070103107731,0.180974477958237,63
"Abcc5",0.414855072463768,0.4,998.999999999999,790.229302041008,433.39766431648,0.301624129930394,92
"Abcg2",0.596794871794872,0.552238805873969,998.999999999999,805.191487218685,472.34055518677,0.155452436194896,52
"Abhd17b",0.302380952380952,0.326315789473711,632.140210253001,645.222545042502,652.127871442079,0.220417633410673,70
"Abi1",0.667431561996779,0.692129629629629,0.608444509954707,0.906264936588807,1.37006257513578,1.00232018561485,207
"Ablim1",0.420223858267337,0.436619718356894,0.431511093132266,0.426464919342003,0.40877784953221,1.97679814385151,299
"Ablim3",0.5,0.471264367816381,998.999999999999,870.602189949287,642.588538882838,0.201856148491879,50
"Abtb2",0.476608187134503,0.468750000260417,998.999999999999,873.912322164235,651.203999531279,0.222737819025522,57
"Acap2",0.524390243902439,0.524271844660091,998.999999999999,866.659205802569,632.325920187408,0.238979118329466,82
"Acbd6",0.4,0.396551724137935,998.999999999999,743.390527452966,311.487845288071,0.134570765661253,45
"Acer2",0.610133713638387,0.577490774907749,1.72778248044259,1.37326096297864,0.766614259575844,1.25754060324826,214
"Acer3",0.513235294117647,0.548387096763084,998.999999999999,874.440353638751,652.578335688998,0.215777262180974,68
"Ackr3",0.525525525525526,0.565853658536585,6.6959340677195,22.88621015869,48.6862876059529,0.475638051044084,111
"Actn1",0.577477870388318,0.554421768668904,0.736924749447052,2.81861695548433,6.13866450632755,0.682134570765661,134
"Actn4",0.527777777777778,0.531249999999975,998.999999999999,873.912322164235,651.203999531279,0.222737819025522,78
"Actr2",0.517647058823529,0.504672893889913,998.999999999999,859.104818037241,612.663705421084,0.248259860788863,85
"Actr3",0.495039682539683,0.518181818181396,998.999999999999,852.049901769517,594.301492211551,0.255220417633411,84
"Acvr1",0.486714285714286,0.52419354832293,26.0819603377028,22.0665631284643,15.0506551362297,0.575406032482599,150
"Acvr2a",0.62037037037037,0.623188405797101,998.999999999999,816.679525804737,502.241096294746,0.160092807424594,54
"Acyp2",0.368232662192394,0.35546875,3.98994132175366,7.37459897686722,12.7106140874922,0.593967517401392,149
"Adam10",0.344594594594595,0.368421052631609,998.999999999999,723.853791238287,260.638522322535,0.352668213457077,111
"Adam9",0.619883040935672,0.577464788732166,998.999999999999,827.014000906738,529.139195156628,0.164733178654292,57
"Adamts1",0.465686274509804,0.485436893203884,998.999999999999,866.659205802569,632.325920187408,0.238979118329466,68
"Adamts12",0.273015873015873,0.265625000000004,0.787749623529016,162.856880712465,422.596343207662,0.148491879350348,42
"Adamts5",0.571428571428571,0.635514018691589,139.877587316366,322.721512763862,612.663705421084,0.248259860788863,56
"Adamts9",0.537292234087311,0.521739130434783,1.61165519642224,2.52282987770399,3.94736645996502,0.747099767981439,88
"Adamtsl3",0.610555555555556,0.602272727272727,37.3259113380762,271.284978381432,645.433521070518,0.204176334106729,60
"Adarb1",0.544927536231884,0.575471698113208,998.999999999999,861.202709632367,618.124001659668,0.245939675174014,69
"Adcy9",0.594827586206897,0.633802816895649,998.999999999999,827.014000906738,529.139195156628,0.164733178654292,58
"Adgra2",0.654385964912281,0.649572649572649,998.999999999999,832.067051727367,542.291044591252,0.271461716937355,95
"Adgrf5",0.478716608594657,0.520689655083264,2.48353709153739,4.08004546676274,6.58360785319671,0.672853828306265,164
"Adgrg6",0.366666666666667,0.351724137931035,8.12297267785672,124.658000351883,311.254308026212,0.336426914153132,92
"Adgrl2",0.540933507549361,0.523489932880617,2.89564495352354,4.01070606340288,5.73345915156333,0.691415313225058,164
"Adgrl4",0.551774157313079,0.563968668370055,1.31575010330401,1.59250141074012,2.00679587682215,0.888631090487239,167
"Adh6b",0.711111111111111,0.813186810806548,998.999999999999,873.888689300138,651.142488994111,0.211136890951276,45
"Adipor2",0.57037037037037,0.59349593495938,998.999999999999,813.080080214557,492.872624033018,0.28538283062645,90
"Adk",0.528716216216216,0.520661156935252,11.7501888907091,13.930232708087,17.162915259981,0.561484918793503,148
"Adss2",0.648484848484848,0.636363636363635,998.999999999999,799.052482529971,456.362234720488,0.153132250580046,55
"Aebp2",0.303030303030303,0.259259259259259,998.999999999999,860.392812201936,616.016037690845,0.187935034802784,66
"Afap1l1",0.638138138138138,0.651006711409396,998.999999999999,731.946516706104,281.701897825105,0.345707656612529,111
"Afdn",0.451754385964912,0.464788732394377,998.999999999999,827.014000906738,529.139195156628,0.164733178654292,57
"Aff1",0.480959342801448,0.472972972977629,8.73283992239802,7.73112103712843,5.93134316447668,0.68677494199536,171
"Aff4",0.508658008658009,0.516483516483506,998.999999999999,873.888689300138,651.142488994111,0.211136890951276,77
"Afg1l",0.525462962962963,0.505376344085659,998.999999999999,874.440353638751,652.578335688998,0.215777262180974,72
"Afg2a",0.594298245614035,0.644230769230766,998.999999999999,864.98504693095,627.96849609041,0.241299303944316,76
"Aftph",0.44672131147541,0.439024390243902,998.999999999999,862.512449117358,621.532931653972,0.190255220417633,61
"Agap1",0.485741496598639,0.48589341692514,1.33525496620858,2.41719933978154,4.12158650389753,0.740139211136891,175
"Agfg1",0.433333333333333,0.428571428678072,998.999999999999,873.888689300138,651.142488994111,0.211136890951276,70
"Agmo",0.713888888888889,0.743119266054715,3.09151355815696,232.738609923935,600.737693628068,0.252900232018561,60
"Ago2",0.478395061728395,0.493333333333333,998.999999999999,843.89709256109,573.081733498518,0.174013921113689,54
"Ago3",0.587037037037037,0.567708333333333,998.999999999999,652.589190534138,75.1542808711646,0.445475638051044,135
"Agpat4",0.514814814814815,0.543859649085911,998.999999999999,736.036820924186,292.347954460516,0.132250580046404,45
"Agps",0.443661971830986,0.451219512195122,998.999999999999,862.512449117358,621.532931653972,0.190255220417633,71
"Ahnak",0.542283950617284,0.541958041953674,0.672661307534187,3.1372974089822,7.07253950011847,0.663573085846868,162
"Ahsg",0.645522388059702,0.655172413792416,998.999999999999,743.300800478935,311.254308026212,0.336426914153132,67
"Aig1",0.637755102040816,0.656050955414013,998.999999999999,711.22772906654,227.775985504758,0.364269141531323,98
"Airn",0.253540991916788,0.266313932980601,1.94111090748891,1.32155589300275,0.285379975656533,2.63109048723898,314
"Akap10",0.369850187265918,0.413793103451595,998.999999999999,835.117384996971,550.230312433856,0.269141531322506,89
"Akap12",0.491397849462366,0.525423728813559,998.999999999999,750.730018794112,330.590737475778,0.136890951276102,31
"Akap13",0.539608758076095,0.543424317594822,0.654559123105032,1.06075557608453,1.69722749533535,0.935034802784223,199
"Akt3",0.508470507544582,0.473477406680245,0.784173282595184,0.829243879904453,0.884036437949396,1.18097447795824,243
"Alcam",0.201550387596899,0.192660550462986,2.37320074298037,232.290139489063,600.737693628068,0.252900232018561,43
"Alpk1",0.386792452830189,0.382352941176471,998.999999999999,811.07274083456,487.648012956055,0.157772621809745,53
"Ambra1",0.449026763990268,0.440414507779413,998.999999999999,651.62633743068,72.6482108762517,0.447795823665893,137
"Amotl1",0.513888888888889,0.530864197530806,998.999999999999,860.392812201936,616.016037690845,0.187935034802784,66
"Anapc1",0.413888888888889,0.422018348623853,998.999999999999,854.522744316197,600.737693628068,0.252900232018561,84
"Ank",0.5,0.479591836669205,998.999999999999,872.676086309106,647.986381421054,0.22737819025522,69
"Ank2",0.360808270676692,0.393103448275863,2.48718586155831,121.139360963929,311.254308026212,0.336426914153132,76
"Ankhd1",0.500599078341014,0.495934959349757,3.39865411169526,8.15804462219317,15.7105722768942,0.5707656612529,155
