"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"0610043K17Rik",0.652777777777778,72,0.949373926930032,-2.87536087075667,0.0164818839127567,0.0892854555086366
"1110059E24Rik",0.445378151260504,119,-0.267104070142841,-0.821687434176255,0.19986305097302,0.48456307533109
"1500004A13Rik",0.457746478873239,142,-0.325986311461715,-0.566153257403911,0.287283889380958,0.596249926908096
"1600010M07Rik",0.489795918367347,196,-0.02487466863903,-0.0770951413448131,0.694562710136738,0.935527939411061
"1600020E01Rik",0.403846153846154,104,-0.451379346342564,-2.0178484371885,0.0445472735870639,0.181273940758628
"1700025G04Rik",0.490051282051282,325,-0.101402032208213,-0.07027071104676,0.707743357691717,0.945566944553828
"2210408F21Rik",0.511947565543071,445,0.0810146883730596,-0.0340718558320532,0.794058957638519,1
"2210408I21Rik",0.560833333333333,100,0.29176612437711,-0.653888630628529,0.252797488951306,0.55860350171713
"2610035D17Rik",0.624034334763949,233,0.668794091524627,-6.22078494262342,0.000419882704079368,0.00438473896097341
"2610037D02Rik",0.414448669201521,263,-0.50653585376434,-4.17897127017062,0.00384005114973086,0.0285696509358731
"2610307P16Rik",0.473086419753086,135,-0.0710830980614823,-0.238530695623865,0.489756409381405,0.780682975321992
"2700097O09Rik",0.614341085271318,86,0.560714954474479,-2.03949924256419,0.0434193871856517,0.177937370416849
"2900093K20Rik",0.528571428571429,70,0.134301091711591,-0.0594213655241305,0.730293046027425,0.963686835267055
"3110056K07Rik",0.422514619883041,114,-0.388565287917653,-1.52505753029874,0.0807314232329188,0.268872088711364
"4632427E13Rik",0.521872265966754,381,0.158989523761157,-0.137795654661261,0.599605497170081,0.860830242480871
"4732440D04Rik",0.327134646962233,406,-1.02553509210714,-24.3323346415727,3.03688281186072e-12,1.1083023903917e-10
"4732471J01Rik",0.447058823529412,85,-0.389042290745899,-0.519656630657039,0.307981242947439,0.618367311709289
"4833420G17Rik",0.764462809917355,121,1.61381736339334,-16.9994243966149,5.51446897008698e-09,1.42572617591308e-07
"4930438E09Rik",0.581683168316832,101,0.489805267680817,-1.21562655280437,0.11893778657232,0.345647364665745
"4930503L19Rik",0.468503937007874,127,-0.263034405833794,-0.268405790184858,0.463757122998675,0.756277490797933
"4930523C07Rik",0.46969696969697,198,-0.169925001442313,-0.486709709168395,0.323828863912409,0.631803416535915
"4930578G10Rik",0.770422535211268,213,1.78135971352466,-29.4142383668595,1.72033353221652e-14,7.36345229159836e-13
