"","AR","N","log2FC","llr_mean","pval_mean","padj_mean"
"0610043K17Rik",0.652777777777778,72,0.584962500721156,-3.08582945777194,0.0129812826580952,0.0796568265055149
"1110059E24Rik",0.445378151260504,119,-0.0524674198941355,-0.734665344248384,0.22545132566728,0.537209447483478
"1500004A13Rik",0.457746478873239,142,-0.216317906926764,-0.600928564702528,0.272950813680543,0.607004792193997
"1600010M07Rik",0.489795918367347,196,0.0634253801416333,0.109659516697405,1,1
"1600020E01Rik",0.403846153846154,104,-0.655351828612554,-1.97661766290851,0.0467813439004193,0.205304961142726
"1700025G04Rik",0.490051282051282,325,-0.179549420330713,-0.296157453456004,0.441525352125944,0.772256956934591
"2210408F21Rik",0.511947565543071,445,0.160464672193246,-0.310479067225003,0.430691459954034,0.761760214103749
"2210408I21Rik",0.560833333333333,100,0.189033824390017,-0.400609764520283,0.370729000351556,0.713617832435279
"2610035D17Rik",0.624034334763949,233,0.725140158769416,-4.9067383063298,0.00173237711711162,0.0159738070878351
"2610037D02Rik",0.414448669201521,263,-0.463246592321464,-4.10385844827397,0.00417126032317714,0.0333121992078274
"2610307P16Rik",0.473086419753086,135,0.0740005814437774,0.127994639027932,1,1
"2700097O09Rik",0.614341085271318,86,0.347923303420306,-0.976616976961083,0.162238787219932,0.450706630842552
"2900093K20Rik",0.528571428571429,70,0,-0.0797431625699545,0.68962988555484,0.982235937433922
"3110056K07Rik",0.422514619883041,114,-0.218180170049533,-0.790902877971618,0.20850078057027,0.513768447929727
"4632427E13Rik",0.521872265966754,381,0.0142842260062475,0.0246435909346587,1,1
"4732440D04Rik",0.327134646962233,406,-1.08109842529424,-21.7352501467822,4.30398992136131e-11,2.16259899382024e-09
"4732471J01Rik",0.447058823529412,85,-0.519374159093579,-0.32868611589673,0.417489179935086,0.752696301006211
"4833420G17Rik",0.764462809917355,121,1.6724253419715,-13.4898526495837,2.05602908361378e-07,5.89111804370989e-06
"4930438E09Rik",0.581683168316832,101,0.797507136101258,-0.951472339684358,0.167749085766105,0.461576254246894
"4930503L19Rik",0.468503937007874,127,-0.241008099503795,-0.504688673308465,0.315052053700244,0.656722460874019
"4930523C07Rik",0.46969696969697,198,-0.335603031784439,-1.05151171592445,0.147008196247793,0.420525921114767
"4930578G10Rik",0.770422535211268,213,2.02236781302845,-31.9402633423819,1.32197940435081e-15,9.96370129322666e-14
"4930590L20Rik",0.641176470588235,85,0.777607578663552,-2.46135537260128,0.0265058975338614,0.136344134643765
"4930599N23Rik",0.513636363636364,110,0.373458395527444,-0.0858942838585648,0.678527118350446,0.973697648725578
"4933406I18Rik",0.274193548387097,93,-1.76081233612057,-8.50552595619676,3.71628732014219e-05,0.000604899912625962
"5031425E22Rik",0.593967721316715,596,0.541190098692251,-8.07244965212965,5.86763719549936e-05,0.000900137086583907
"5330438D12Rik",0.45398773006135,163,-0.15200309344505,-1.95073978156013,0.0482436031475604,0.209273315422266
"5430405H02Rik",0.545454545454545,88,0.596644305768791,-0.046407708318732,0.760627991413285,1
"6720427I07Rik",0.561930783242259,183,0.309684499132615,-0.75132214658727,0.220264942100714,0.530318440460538
"6820431F20Rik",0.718660968660969,234,1.13750352374993,-13.4454789460143,2.1526364090786e-07,6.11736920514386e-06
"9330159M07Rik",0.159420289855072,69,-2.16046467219325,-14.3984534590485,8.03793788717872e-08,2.46644391062798e-06
"9530026P05Rik",0.449550975505714,707,-0.329673327419909,-4.82967433985334,0.00188390401333401,0.0171430320583439
"9630014M24Rik",0.413690476190476,56,-0.459431618637297,-0.355871297287017,0.398865919037843,0.734786472531456
"A4galt",0.678571428571429,105,1.22239242133645,-6.59200274087818,0.000282348614916842,0.00352123254646292
"A730049H05Rik",0.531446540880503,53,-0.0524674198941355,0.0160864873266746,1,1
"A830012C17Rik",0.523584905660377,106,0.169925001442313,-0.0777883351827597,0.693262058776116,0.985052951553579
"A930015D03Rik",0.745098039215686,119,1.67459971320583,-10.0949997633154,7.01185478645647e-06,0.000141337793864213
"AU040320",0.607007575757576,176,0.269186632815388,-0.562404637210818,0.28888524449483,0.628855397481025
"AW554918",0.507201646090535,324,0.101879614019214,0.155586627968518,1,1
"Aak1",0.494270833333333,320,0,0.145885010704035,1,1
"Aatf",0.516239316239316,195,0.0941221773645502,0.00404912685095837,1,1
"Abca1",0.475254416282642,496,-0.200762405364905,-1.95404311685911,0.0480542895633473,0.209039174298777
"Abca5",0.51865671641791,67,0.0931094043914813,0.265923622529662,1,1
"Abca6",0.547222648979396,743,0.264972210075286,-3.16198111062033,0.0119117175419471,0.0745449904655786
"Abca8a",0.652367574169281,1508,1.03233286278243,-145.075277588459,4.61053935875083e-65,1.45315817788992e-62
"Abca8b",0.527104852914205,834,0.200333257032983,-0.193118686378739,0.534283859016735,0.855199510254395
"Abca9",0.456507413509061,607,-0.261348029205907,-2.54083253482838,0.0241801379881,0.127988608251516
"Abcb1b",0.619402985074627,67,0.830074998557688,-1.29498546588363,0.107542309377462,0.344274410537082
"Abcc1",0.473922902494331,147,-0.167727445738066,-0.392333220273073,0.375717765062306,0.717255039889369
"Abcc4",0.584848484848485,110,-0.246160587269397,0.220908566395693,1,1
"Abcc5",0.450851749539595,362,-0.278600663223262,-0.340708293321143,0.409099354052016,0.746297571277775
"Abcd2",0.358649789029536,79,-0.510194732319183,-1.68529764340006,0.0663697696451062,0.258834635950037
"Abcd3",0.592503987240829,209,0.84799690655495,-4.38121326228614,0.00307499657077486,0.0258135910674975
"Abce1",0.597389558232932,166,0.905140813658559,-3.41489701694628,0.00896496025221449,0.0605877528156484
"Abhd17b",0.490631163708087,169,0.0749620576812227,0.0258299731246723,1,1
"Abhd18",0.508333333333333,120,0.239187663879426,-0.0796184990197304,0.689859967594923,0.982235937433922
"Abi1",0.659912901800554,780,1.40265377482301,-14.5067205590972,7.18778406569631e-08,2.28624287667607e-06
"Abi2",0.503639010189229,229,0.0493277123635689,0.0658477376516373,1,1
"Abi3bp",0.680959965608922,527,0.803370674728634,-22.6313017468457,1.72308087164999e-11,9.19064828001615e-10
"Abl2",0.515602836879433,235,0.0647056893878153,0.0427435285572528,1,1
"Ablim1",0.411196530475231,662,-0.390290836943158,-9.13465961045665,1.91771067348037e-05,0.000344492378495153
"Ablim3",0.459333333333333,75,-0.765534746362976,-0.0136076608300471,0.868967068381485,1
"Abtb2",0.483924289140116,278,-0.261492241025388,0.799121932273181,1,1
"Acaca",0.470833333333333,352,-0.115477217419936,-1.38846158276533,0.0956317279990591,0.321274419547227
"Acadl",0.472463768115942,115,-0.096215315259303,-0.743664885635241,0.222631223510205,0.533054179495774
"Acadsb",0.546587926509186,254,0.293731203056711,-1.03587668313375,0.150048929344444,0.427109719242353
"Acap2",0.495220282626766,401,0.16082279433506,0.0196300383755101,1,1
"Acat1",0.535087719298246,114,0.127755547198373,-0.119571476428206,0.624825805700514,0.928932705130224
"Acbd3",0.56989247311828,217,0.358793388639224,-1.71870724762957,0.063735359866176,0.252826650636192
"Acbd5",0.545584045584046,117,0.267933205246633,0.273978717886266,1,1
"Acbd6",0.483870967741935,155,-0.299560281858908,-0.121358013719515,0.622251302033474,0.927491515111803
