"","AR","N","log2FC","llr_var","pval_var","padj_var"
"9530026P05Rik",0.65,15,0.823122237915921,3.43170161357501,1,1
"Cacna1c",0.534,25,-0.362570079384708,5.9844659828178,1,1
"Cacnb2",0.491656565656566,25,-0.0216950710993191,-2.04137196111678,0.0433232511268559,0.21242488352202
"Cald1",0.402797202797203,22,-0.37851162325373,-0.292087261049481,0.444680677760105,1
"Carmn",0.43702380952381,20,-0.111031312388744,-1.24420985959001,0.114686828081395,0.361704611641323
"Cped1",0.389583333333333,16,-0.662965012722429,-0.729241895119486,0.227171519711376,0.665288022011888
"Dlc1",0.429986772486772,30,0.144389909335175,0.322821245418744,1,1
"Ebf1",0.437053571428571,24,0.0740005814437769,1.67773097628102,1,1
"Errfi1",0.403703703703704,18,-0.362570079384708,-1.54239648926226,0.0790273212009664,0.294556379021784
"Filip1",0.555555555555556,16,0.523561956057013,0.913624946407992,1,1
"Fry",0.363768115942029,23,-1.65711228647699,4.33832990992861,1,1
"Gucy1a2",0.439814814814815,18,-0.53051471669878,-1.97934727437798,0.0466298524804433,0.21242488352202
"Itpr1",0.453787878787879,22,-0.415037499278844,-3.25384110508525,0.010740942021237,0.0629112318386739
"Kcnab1",0.342028730796847,27,-1.25276607037997,0.100611486024846,1,1
"Lhfpl6",0.430555555555556,18,0.144389909335175,-1.65971271887428,0.068465752859052,0.280709586722113
"Lpp",0.60291737248259,23,1.23029761942179,1.55668314441291,1,1
"Malat1",0.477112539020512,32,-0.134017347971688,-0.0541750201190325,0.742030467499435,1
"Mast4",0.454336829281212,29,-0.2606517545228,-0.128585753215191,0.612070061004693,1
"Msrb3",0.397789929368877,19,-0.710493382805015,0.0174395816175803,1,1
"Myh11",0.579777777777778,25,0,0.192137391943607,1,1
"Myom1",0.579437229437229,21,0,-0.215346586409446,0.511649014807587,1
"Pakap",0.503968253968254,21,0.0780025120012732,18.463116403664,1,1
"Pde3a",0.577612769245629,29,-0.0981803939389034,0.287157696514825,1,1
"Pdlim5",0.659495329232171,19,0.338801913451759,-0.61388628326922,0.267840658559988,0.732097800063966
"Plce1",0.567329545454546,16,0,-0.545889771189266,0.29607725593475,0.758697968332797
"Plcl1",0.393939393939394,22,-1.25375659224578,0.00363560805555352,1,1
"Ppp1r12a",0.40419411506368,23,-0.584962500721156,-1.41128499118672,0.0929474732754287,0.317570533691048
"Prkg1",0.18644685146786,28,-2.26534456652099,-0.347451409576514,0.404501739742745,0.975563019379562
"Rasal2",0.434210526315789,19,-0.691877704637668,-16.7991626871341,6.77510313719237e-09,2.77779228624887e-07
"Rbpms",0.606419043919044,24,0.533432200081074,-0.0626095248234648,0.723441528454444,1
"Rgs6",0.410714285714286,14,-0.263034405833794,1.39489563035445,1,1
"Rock1",0.557142857142857,21,0.362570079384708,-5.85451036806486,0.000621978426879585,0.00637527887551574
"Ryr2",0.453703703703704,18,-0.652076696579693,-8.69989232404403,3.02860286438916e-05,0.000413909058133185
"Slc8a1",0.413941798941799,30,-0.308122295362332,0,1,1
"Sorbs2",0.53921568627451,17,0.101879614019214,-0.239002247621521,0.489327591294904,1
"Syne1",0.623529411764706,17,0.777607578663552,-5.27272752840305,0.00116474142226847,0.00955087966260144
"Synpo2",0.474074074074074,18,-0.234465253637023,-0.113681778728381,0.633485639146539,1
"Tpm1",0.59469696969697,22,0.295455883526171,-4.57942999722091,0.00247516717581512,0.01691364236807
"Utrn",0.535493827160494,27,0.520832163301441,9.82986515146468,1,1
"Zbtb16",0.552631578947368,19,-0.371968777386958,1.7792522305831,1,1
"Zfpm2",0.689814814814815,18,1.05889368905357,-9.99005318489039,7.8252069570254e-06,0.000160416742619021
