"gene","p_intercept","p_sex","pvalue","padj_intercept","padj_sex","padj"
"1700025G04Rik",0.660404324016775,0.472367810449009,0.660404324016775,0.890552927445451,0.986745653968231,0.890552927445451
"2210408F21Rik",0.449731895990473,0.50304176791403,0.449731895990473,0.793747593053316,0.986745653968231,0.793747593053316
"2210408I21Rik",0.879557840932664,0.173931849294249,0.879557840932664,0.970365154810997,0.960580496472403,0.970365154810997
"2610307P16Rik",0.90229451662768,0.444991745981748,0.90229451662768,0.971881883569809,0.983549312275332,0.971881883569809
"4732440D04Rik",0.000225012832549245,0.298997837373952,0.000225012832549245,0.00957163601586646,0.960580496472403,0.00957163601586646
"4732471J01Rik",0.000549246775156199,0.0506416594243761,0.000549246775156199,0.0162266601616799,0.846307940860581,0.0162266601616799
"4930523C07Rik",NA,1.99581499569388e-13,NA,NA,1.35715419707184e-10,NA
"5031425E22Rik",0.731115323037671,0.21111874450271,0.731115323037671,0.911330708033289,0.960580496472403,0.911330708033289
"5330438D12Rik",0.622432553013109,0.21713403835078,0.622432553013109,0.885052156305327,0.960580496472403,0.885052156305327
"9530026P05Rik",0.0191324753551181,0.862431728414804,0.0191324753551181,0.175682662213551,0.993989110715367,0.175682662213551
"9630014M24Rik",0.704937632697527,0.108830248095142,0.704937632697527,0.904678472446102,0.953433928607185,0.904678472446102
"AU020206",0.0904793907686495,0.429912770858768,0.0904793907686495,0.426949625189565,0.983549312275332,0.426949625189565
"AW554918",0.327195761280065,0.814166022009559,0.327195761280065,0.697874895717393,0.986745653968231,0.697874895717393
"Aak1",0.20927338163449,0.780730895791885,0.20927338163449,0.598742159244783,0.986745653968231,0.598742159244783
"Abcb1a",0.00480824880553456,0.568802372820678,0.00480824880553456,0.0741130972578045,0.986745653968231,0.0741130972578045
"Abcc4",8.04122031108337e-06,0.13751832463273,8.04122031108337e-06,0.000496728109216468,0.957714778586584,0.000496728109216468
"Abcc5",0.72007963305492,0.979754478549289,0.72007963305492,0.908314302400494,0.998952598921636,0.908314302400494
"Abcg2",0.472482084437277,0.439150963684205,0.472482084437277,0.799969729473387,0.983549312275332,0.799969729473387
"Abhd17b",0.0461931821552006,0.169441421201385,0.0461931821552006,0.309244012556245,0.960580496472403,0.309244012556245
"Abi1",0.0152908259093885,0.336517848129795,0.0152908259093885,0.153132936249031,0.977915114223335,0.153132936249031
"Abi2",0.159457424381265,0.792980919288863,0.159457424381265,0.544488973468622,0.986745653968231,0.544488973468622
"Ablim1",0.110871876571663,0.419416572096008,0.110871876571663,0.47233504783978,0.983549312275332,0.47233504783978
"Ablim3",0.141689438477368,0.171605408578319,0.141689438477368,0.521831834392257,0.960580496472403,0.521831834392257
"Acer2",3.60920304004021e-06,0.580207510704857,3.60920304004021e-06,0.000245245346570732,0.986745653968231,0.000245245346570732
