"gene","p_intercept","p_sex","pvalue","padj_intercept","padj_sex","padj"
"1700025G04Rik",0.808892145515943,0.164666789681804,0.808892145515943,0.950036301996581,0.885341966977853,0.950036301996581
"2210408F21Rik",0.6210530903132,0.281037002941062,0.6210530903132,0.862656059347365,0.941609392632768,0.862656059347365
"2610307P16Rik",0.00823216147962659,0.101930892001665,0.00823216147962659,0.0713453994900971,0.798824202569936,0.0713453994900971
"4632427E13Rik",0.307978974519447,0.354438693225123,0.307978974519447,0.651701158253003,0.945133964079178,0.651701158253003
"5031425E22Rik",0.919214651814342,0.828978117091252,0.919214651814342,0.983256724990586,0.974472826842096,0.983256724990586
"9530026P05Rik",0.138166574471453,0.42088715097298,0.138166574471453,0.430067788143536,0.948521967776687,0.430067788143536
"AW554918",0.00421405676125669,0.327616122382917,0.00421405676125669,0.0466605524631747,0.945133964079178,0.0466605524631747
"Aak1",0.181959741740855,0.936839427550814,0.181959741740855,0.494423396615519,0.990890180436652,0.494423396615519
"Abca1",0.506119738155601,0.747528797574967,0.506119738155601,0.807599004565978,0.974472826842096,0.807599004565978
"Abca8b",0.108880324701309,0.426150130782956,0.108880324701309,0.382459602375212,0.949596857793945,0.382459602375212
"Abhd17b",0.558878395487932,0.685330663187505,0.558878395487932,0.839755139259506,0.974472826842096,0.839755139259506
"Abi1",2.93495488336717e-12,0.342172909636783,2.93495488336717e-12,4.90705031469694e-10,0.945133964079178,4.90705031469694e-10
"Abi3bp",0.250708235496332,0.0966719628445818,0.250708235496332,0.593641286193101,0.792681429184926,0.593641286193101
"Ablim1",0.00542455729889082,0.782137231859917,0.00542455729889082,0.0541914834996238,0.974472826842096,0.0541914834996238
"Ablim3",0.339998778162103,0.964630056695928,0.339998778162103,0.687253627809374,0.996158821194939,0.687253627809374
"Abtb2",0.0529536991017078,0.581697693784725,0.0529536991017078,0.242126224168498,0.957708237782048,0.242126224168498
"Acap2",0.482304597274834,0.879139157780573,0.482304597274834,0.801957570906904,0.977421046792213,0.801957570906904
"Acer2",0.145796718829657,0.127213436856942,0.145796718829657,0.440379155280466,0.798824202569936,0.440379155280466
"Acer3",0.982601338202019,0.642743959803266,0.982601338202019,0.99357792481924,0.969025052714823,0.99357792481924
"Ackr3",0.589581192060915,0.641578832576381,0.589581192060915,0.857220022667514,0.969025052714823,0.857220022667514
"Actn1",0.00103974877845648,0.770823237590727,0.00103974877845648,0.0179052841588739,0.974472826842096,0.0179052841588739
"Actr2",0.387020764424967,0.837979164126291,0.387020764424967,0.72996843133765,0.974472826842096,0.72996843133765
"Actr3",0.929332762085397,0.846041995212743,0.929332762085397,0.98391961707867,0.974563999693846,0.98391961707867
"Acvr1",0.0158309679345755,0.0997571956849153,0.0158309679345755,0.111658848304506,0.792681429184926,0.111658848304506
"Acyp2",0.173987014335404,0.984258185322878,0.173987014335404,0.478644773877067,0.999485771413649,0.478644773877067
"Adam10",0.0191583897235977,0.234432802269309,0.0191583897235977,0.125580798660248,0.932570937145114,0.125580798660248
