"gene","p_intercept","p_sex","pvalue","padj_intercept","padj_sex","padj"
"1700025G04Rik",0.108678082308392,0.298285242999735,0.108678082308392,0.607691611577188,0.911637865974365,0.607691611577188
"5031425E22Rik",0.471917368393681,0.451091164247335,0.471917368393681,0.894436192546438,0.931778406569865,0.894436192546438
"9530026P05Rik",0.714814624216408,0.720510903463058,0.714814624216408,0.953784909145061,0.957292316223317,0.953784909145061
"AW554918",0.591935246805296,0.0735395955098818,0.591935246805296,0.900771027747189,0.836512898924905,0.900771027747189
"Abca8a",0.0319323930972425,0.400371388890891,0.0319323930972425,0.315853018679247,0.911637865974365,0.315853018679247
"Abhd17b",0.268231582857045,0.421135016362396,0.268231582857045,0.803140270630197,0.916177951706837,0.803140270630197
"Abi1",0.719520185937895,0.259781491869138,0.719520185937895,0.954465552774759,0.911637865974365,0.954465552774759
"Abi3bp",0.522899188495775,0.469993443333698,0.522899188495775,0.899214432777062,0.931778406569865,0.899214432777062
"Ablim1",0.152257097409277,0.00749654271924699,0.152257097409277,0.685910686348724,0.508428707427429,0.685910686348724
"Acyp2",0.989693991242707,0.72133573143879,0.989693991242707,0.994063501137819,0.957292316223317,0.994063501137819
"Adam12",0.029742090100298,0.378637286427946,0.029742090100298,0.314712813851991,0.911637865974365,0.314712813851991
"Adamtsl1",0.498379841554992,0.552701530000356,0.498379841554992,0.894436192546438,0.936707530798744,0.894436192546438
"Agap1",0.489048286389224,0.0133023108006812,0.489048286389224,0.894436192546438,0.550231946755448,0.894436192546438
"Agfg1",0.877197083939216,0.180908800045532,0.877197083939216,0.977808699620772,0.911637865974365,0.977808699620772
"Ago3",0.0391861034775303,0.515912698112165,0.0391861034775303,0.363870960862781,0.931778406569865,0.363870960862781
"Airn",1.10323133866791e-05,0.751857842063277,1.10323133866791e-05,0.00167323419697966,0.957292316223317,0.00167323419697966
"Akap13",0.90778546128252,0.845480747644817,0.90778546128252,0.977808699620772,0.98406423428776,0.977808699620772
"Akt3",0.217551018756857,0.912596003750438,0.217551018756857,0.779978597690252,0.993817759303161,0.779978597690252
"Ambra1",0.785276529906352,0.91963863634946,0.785276529906352,0.955812386684349,0.993817759303161,0.955812386684349
"Ankrd17",0.642927283983424,0.989266050071101,0.642927283983424,0.934623304675307,0.999338877577022,0.934623304675307
"Ano6",0.70952966109334,0.0756192792327543,0.70952966109334,0.953784909145061,0.837023013135313,0.953784909145061
"Aopep",0.034405581930744,0.402609247377779,0.034405581930744,0.333075314435926,0.911637865974365,0.333075314435926
"Ap3b1",0.38449814822557,0.924853470277562,0.38449814822557,0.864480117519202,0.993817759303161,0.864480117519202
"Apaf1",0.951377391291025,0.323060658016823,0.951377391291025,0.980628253121229,0.911637865974365,0.980628253121229
"Apba1",0.486111791231534,0.788090558969098,0.486111791231534,0.894436192546438,0.966526157226252,0.894436192546438
"Apbb2",0.789102424632777,0.32674867143343,0.789102424632777,0.955812386684349,0.911637865974365,0.955812386684349
"Apc",0.370809900764553,0.201457782739978,0.370809900764553,0.856439110902901,0.911637865974365,0.856439110902901
"App",0.544807607137667,0.480265186739309,0.544807607137667,0.899214432777062,0.931778406569865,0.899214432777062
"Arb2a",0.267277673640417,0.828712266542177,0.267277673640417,0.803140270630197,0.98406423428776,0.803140270630197
"Arhgap21",0.497266115895194,0.510317098829793,0.497266115895194,0.894436192546438,0.931778406569865,0.894436192546438
"Arhgap26",0.390877902302209,0.844874481193394,0.390877902302209,0.864480117519202,0.98406423428776,0.864480117519202
"Arhgef12",0.841267695618208,0.663277010817276,0.841267695618208,0.973699769821691,0.95578936113017,0.973699769821691
"Arid1b",0.670971204622854,0.265804852878605,0.670971204622854,0.943575993344473,0.911637865974365,0.943575993344473
"Arid2",0.204873888222326,0.859238303316892,0.204873888222326,0.764139366123245,0.989755513947306,0.764139366123245
"Arid4b",0.585335112558656,0.629785979721406,0.585335112558656,0.899214432777062,0.943876754371689,0.899214432777062
"Arih1",0.924082946894356,0.0855309080176984,0.924082946894356,0.977808699620772,0.884467344273927,0.977808699620772
"Arl13b",0.986775469254749,0.477651765375175,0.986775469254749,0.993324863962192,0.931778406569865,0.993324863962192
"Arl15",0.205599462353071,0.684498651492135,0.205599462353071,0.764139366123245,0.957292316223317,0.764139366123245
"Asap1",0.259094493914655,0.40472714049851,0.259094493914655,0.803140270630197,0.911637865974365,0.803140270630197
"Ash1l",0.712438138154081,0.247229143416496,0.712438138154081,0.953784909145061,0.911637865974365,0.953784909145061
"Atad2b",0.0719060070063468,0.283934931002409,0.0719060070063468,0.495715654361936,0.911637865974365,0.495715654361936
"Ate1",0.821833820382143,0.154347898614399,0.821833820382143,0.971258151360714,0.911637865974365,0.971258151360714
"Atp10d",0.68073129495241,0.178329609675282,0.68073129495241,0.947194921111152,0.911637865974365,0.947194921111152
"Atp2c1",0.465417729781314,0.136327420773505,0.465417729781314,0.894436192546438,0.911637865974365,0.894436192546438
"Atxn1",0.298018563304627,0.449344457599814,0.298018563304627,0.837027446318551,0.931778406569865,0.837027446318551
"B4galt1",0.350089931134859,0.243257629592145,0.350089931134859,0.856439110902901,0.911637865974365,0.856439110902901
"Bbx",0.100745191606507,0.392799463988205,0.100745191606507,0.583205748351781,0.911637865974365,0.583205748351781
"Bcas3",0.971802394671802,0.264924958680981,0.971802394671802,0.991412756896121,0.911637865974365,0.991412756896121
"Birc6",0.869829043420972,0.607268985634343,0.869829043420972,0.977808699620772,0.943876754371689,0.977808699620772
"Bmpr2",0.284766880601208,0.0276514355366606,0.284766880601208,0.814898935053773,0.647542051787683,0.814898935053773
"Braf",0.403392564790992,0.646475770735285,0.403392564790992,0.882421235480296,0.943876754371689,0.882421235480296
"Btbd7",0.0116880230555823,0.844587403066797,0.0116880230555823,0.189930374653213,0.98406423428776,0.189930374653213
"Calcrl",0.910493005576484,0.722237398151393,0.910493005576484,0.977808699620772,0.957292316223317,0.977808699620772
"Camk2d",0.018768082638176,0.908351503752491,0.018768082638176,0.24340513855195,0.993817759303161,0.24340513855195
"Cav1",0.170632910023966,0.684386318583082,0.170632910023966,0.706361924011094,0.957292316223317,0.706361924011094
"Ccl21a",0.456391801161271,0.210432473349471,0.456391801161271,0.894436192546438,0.911637865974365,0.894436192546438
"Ccny",0.683616560823074,0.964321261755144,0.683616560823074,0.94802895794065,0.99387014232882,0.94802895794065
"Cd36",0.665325441310199,0.291578769434158,0.665325441310199,0.943062541420998,0.911637865974365,0.943062541420998
"Cd47",0.947059446488556,0.496570697260072,0.947059446488556,0.980628253121229,0.931778406569865,0.980628253121229
"Cdc14a",0.861771636396818,0.196776759051423,0.861771636396818,0.973699769821691,0.911637865974365,0.973699769821691
"Cdc42",0.239547463884177,0.996736761989199,0.239547463884177,0.803140270630197,0.999338877577022,0.803140270630197
"Cdc42bpa",0.0918525560298826,0.734012987559535,0.0918525560298826,0.557238839914621,0.957292316223317,0.557238839914621
"Cdh13",0.862419796127783,0.736423343989877,0.862419796127783,0.973699769821691,0.957292316223317,0.973699769821691
"Cdkal1",0.760960658125925,0.627977482606078,0.760960658125925,0.955812386684349,0.943876754371689,0.955812386684349
"Cemip2",0.762167086501769,0.0370660830485733,0.762167086501769,0.955812386684349,0.659216297689346,0.955812386684349
"Cep85l",0.016908551147026,0.218805841657439,0.016908551147026,0.24207641903259,0.911637865974365,0.24207641903259
"Chaserr",0.180292429887957,0.131636014837119,0.180292429887957,0.719588207008952,0.911637865974365,0.719588207008952
"Chd2",0.795153415935233,0.947943878953156,0.795153415935233,0.955812386684349,0.99387014232882,0.955812386684349
"Chd9",0.389081729448312,0.599093293583333,0.389081729448312,0.864480117519202,0.943876754371689,0.864480117519202
"Chrm3",0.477447508765644,0.196534943320299,0.477447508765644,0.894436192546438,0.911637865974365,0.894436192546438
"Clic4",0.00440405441868954,0.521009311154745,0.00440405441868954,0.105279874797659,0.931778406569865,0.105279874797659
"Cmah",0.00538984654279193,0.265302049934243,0.00538984654279193,0.111471826225924,0.911637865974365,0.111471826225924
"Cmip",0.848693880238665,0.880523468242316,0.848693880238665,0.973699769821691,0.99035622867897,0.973699769821691
"Cnot2",0.99315388091255,0.738067061608334,0.99315388091255,0.995341444526895,0.957292316223317,0.995341444526895
"Col23a1",0.00177177327602467,0.902613011953211,0.00177177327602467,0.0806156840591223,0.993817759303161,0.0806156840591223
"Col4a1",0.623840127933274,0.532911560457698,0.623840127933274,0.923949092505104,0.93237701342515,0.923949092505104
"Col5a2",0.961565328041345,0.175737971014465,0.961565328041345,0.985387892474802,0.911637865974365,0.985387892474802
"Col8a1",0.55723946627902,0.522674506844115,0.55723946627902,0.899214432777062,0.931778406569865,0.899214432777062
"Colec12",0.902054832021026,0.706722323302153,0.902054832021026,0.977808699620772,0.957292316223317,0.977808699620772
"Cp",0.00197625235179039,0.248264230030619,0.00197625235179039,0.0814521942528386,0.911637865974365,0.0814521942528386
"Cped1",0.511827982103236,0.148393545372261,0.511827982103236,0.895698968680663,0.911637865974365,0.895698968680663
"Cplane1",0.154104108803031,0.178375587223957,0.154104108803031,0.687425191229205,0.911637865974365,0.687425191229205
"Cpne8",0.130162694608634,0.315976690569163,0.130162694608634,0.636817484375577,0.911637865974365,0.636817484375577
"Creb3l2",0.364011215745931,0.362846736707769,0.364011215745931,0.856439110902901,0.911637865974365,0.856439110902901
"Creb5",0.981366686795424,0.197990811931183,0.981366686795424,0.993324863962192,0.911637865974365,0.993324863962192
"Crebbp",0.24295912371871,0.976977351358264,0.24295912371871,0.803140270630197,0.994462404626421,0.803140270630197
"Crim1",0.907428884804355,0.906971743293179,0.907428884804355,0.977808699620772,0.993817759303161,0.977808699620772
"Csnk1a1",0.949921556206403,0.596948895349799,0.949921556206403,0.980628253121229,0.943876754371689,0.980628253121229
"Cstf3",0.628738718299201,0.310942606668132,0.628738718299201,0.923949092505104,0.911637865974365,0.923949092505104
"Cyyr1",0.671344962690951,0.387212671121776,0.671344962690951,0.943575993344473,0.911637865974365,0.943575993344473
"D5Ertd615e",0.0316175276223025,0.688359869888795,0.0316175276223025,0.315853018679247,0.957292316223317,0.315853018679247
"Dapk2",0.564250035755369,0.338134735459177,0.564250035755369,0.899214432777062,0.911637865974365,0.899214432777062
"Dcbld2",0.662353584101518,0.958862112198775,0.662353584101518,0.943062541420998,0.99387014232882,0.943062541420998
"Dctn4",0.266316117091843,0.869800770134862,0.266316117091843,0.803140270630197,0.99035622867897,0.803140270630197
"Ddx6",0.416860327524495,0.986761601129234,0.416860327524495,0.894436192546438,0.999338877577022,0.894436192546438
"Dennd1a",0.885937571901978,0.757764866114651,0.885937571901978,0.977808699620772,0.957292316223317,0.977808699620772
"Dennd2a",0.0181466863620294,0.958089063338134,0.0181466863620294,0.242845361609511,0.99387014232882,0.242845361609511
"Dennd4a",0.0989506978717274,0.0221200096219148,0.0989506978717274,0.583205748351781,0.640773609272105,0.583205748351781
"Dennd5b",0.457163864653886,0.629680518499048,0.457163864653886,0.894436192546438,0.943876754371689,0.894436192546438
"Dennd6a",0.585224703282229,0.684089211587573,0.585224703282229,0.899214432777062,0.957292316223317,0.899214432777062
"Dip2c",0.018117585958246,0.516049573963474,0.018117585958246,0.242845361609511,0.931778406569865,0.242845361609511
"Dleu2",0.798202685338852,0.830516594177843,0.798202685338852,0.955812386684349,0.98406423428776,0.955812386684349
"Dlg1",0.226393481942019,0.319092891359389,0.226393481942019,0.786328505981821,0.911637865974365,0.786328505981821
"Dnajc1",0.274923848515078,0.0639189809836716,0.274923848515078,0.803140270630197,0.807864898543628,0.803140270630197
"Dnm3",0.00134298876059319,0.127751434614603,0.00134298876059319,0.0678955428966558,0.911637865974365,0.0678955428966558
"Dock1",0.184679781845817,0.48548886536222,0.184679781845817,0.72439052361937,0.931778406569865,0.72439052361937
"Dock4",0.2579163755213,0.516093247009358,0.2579163755213,0.803140270630197,0.931778406569865,0.803140270630197
"Dock6",0.0110946790315911,0.0297738255137166,0.0110946790315911,0.188539232791414,0.647542051787683,0.188539232791414
"Dock9",0.588936046082559,0.307475830777551,0.588936046082559,0.899214432777062,0.911637865974365,0.899214432777062
"Dpysl3",0.00833066831344717,0.530065265570658,0.00833066831344717,0.157935586775769,0.93237701342515,0.157935586775769
"Dst",0.0653454082162849,0.113613529842441,0.0653454082162849,0.484586964168549,0.911637865974365,0.484586964168549
"Dysf",0.479131377728367,0.072350954191831,0.479131377728367,0.894436192546438,0.836512898924905,0.894436192546438
