"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N","phi","phi_trend","phi_shrunk"
"1700025G04Rik",0.490952380952381,0.538461538459841,116.277233694787,76.9206323222358,38.8949179838546,0.516556291390728,35,2.21697087772701,1.36109328623455,1.94257574623399
"2010001K21Rik",0.607994842037395,0.615384615383935,3.68436041098059,13.5943134041707,17.2527410453853,0.602649006622517,47,1.76600780875028,1.4881648930312,1.7017089404791
"2610037D02Rik",0.418367346938776,0.380952380952482,998.999999999999,497.590617355001,99.7198608174375,0.417218543046358,49,1.33395737077607,1.14009817911395,1.29074964471799
"2610307P16Rik",0.420426065162907,0.409090909090927,1.08482246836003,1.39014994984022,1.32852969103619,1.16556291390728,76,1.68426657937435,1.39605207984838,1.63872089472207
"4732440D04Rik",0.30718954248366,0.312500000000335,998.999999999999,451.820648861457,33.9988804164518,0.529801324503311,51,1.63186017106642,1.38923062821329,1.57936591006298
"5031425E22Rik",0.603030303030303,0.60240963841849,3.61277211074958,21.0053748691395,27.938319538816,0.549668874172185,55,1.39693207512741,1.42610545209074,1.40246281908589
"9530026P05Rik",0.535826638347647,0.516129032249844,0.503477492603584,0.484087398365752,0.385267550922977,2.4635761589404,119,1.71242114082293,1.19317524356369,1.65256169900735
"Aak1",0.514705882352941,0.485294117653382,998.999999999999,480.870278314899,75.7111688624194,0.450331125827815,51,1.71751922313585,1.18148886337515,1.59184026856376
"Abca1",0.450308641975309,0.476190476190476,2.64513772042695,70.5813906637556,99.7198608174375,0.417218543046358,36,1.54399379864515,1.14009817911395,1.42463582071329
"Abca8a",0.709038800705467,0.656716417910448,0.921225898557886,56.4113811775839,80.4340493430593,0.443708609271523,18,2.28131479850048,1.16943930811249,1.72379368634792
"Abcb1b",1,0.999999999995422,1e-06,1e-06,134.06132505317,0.337748344370861,19,2.74671788581105e-11,1.25198251778924,1.94827068097932e-05
"Abi1",0.907075898228062,0.92234848484848,0.044861364741526,0.224971017966677,0.295428314162495,3.49668874172185,121,1.13365688966867,0.934764580436715,1.11263772519119
"Abi3bp",0.517241379310345,0.531914893109032,131.27019836631,146.834973137934,130.058300895714,0.311258278145695,29,1.6164837811522,1.17170956143941,1.46323800528449
"Ablim1",0.428217503217503,0.458823529414294,0.154217719788697,1.07652538301574,1.45087682497315,1.12582781456954,74,1.17330966042354,1.38582466209506,1.20286099725141
"Ablim3",0.316666666666667,0.348484848523981,1.00294846811995,59.8033063494371,85.254215188041,0.437086092715232,41,1.30011653395214,1.15923000437523,1.26470822444489
"Acaca",0.6,0.595238095238093,998.999999999999,505.880427072531,111.623177334916,0.278145695364238,30,1.62519595266368,1.05607144612924,1.42661447044295
"Ackr3",0.313846153846154,0.51923076922979,998.999999999999,521.285858748303,133.743797177051,0.344370860927152,25,2.35284702656272,1.24109394599211,1.89043000160597
"Acss3",0.472222222222222,0.396226415094341,4.25854974927227,94.242191704125,132.701475421756,0.350993377483444,30,1.61552556028026,1.22329416381186,1.48524488078268
"Acyp2",0.272435897435897,0.295454545467564,10.5837146977662,88.4630750301628,120.510847408788,0.291390728476821,26,1.63735458275157,1.08987353220059,1.42961971419178
"Adam10",0.441117216117216,0.447058823529995,3.12783982177121,18.4965553788604,24.6343319357353,0.562913907284768,52,1.48066952200519,1.44894210769381,1.47426894147179
"Adamts9",0.544666666666667,0.450704225352113,4.41169869335656,45.4073327012525,62.4853810930662,0.470198675496689,25,2.49677686356996,1.22843209026809,1.95885158993909
"Adamtsl1",0.558380059895211,0.553459119040334,1.41556613499593,0.927982474054307,0.461370033516384,2.10596026490066,99,2.29881101934114,1.38404728861876,2.16733806810564
"Adcy9",0.634146341463415,0.707692307692223,998.999999999999,490.904973017152,90.1199612553983,0.43046357615894,41,1.70766778704971,1.15090053878981,1.55291865234791
"Adgrd1",0.48375104427736,0.5625,13.1403566094075,9.72442270371769,5.87690032775411,0.741721854304636,57,1.88989017206429,1.33063214209514,1.77067025500133
"Adgrg6",0.64,0.666666666666667,998.999999999999,461.373376011109,47.7156168364644,0.496688741721854,50,1.58330981304211,1.31022806050139,1.52264996401805
"Adgrl3",0.308974358974359,0.300000000000008,0.789000110682262,93.7323858819553,134.104554018798,0.33112582781457,26,1.39754037520035,1.24725002367146,1.34553216074193
"Adgrl4",0.505555555555556,0.54285714285672,998.999999999999,476.924904228684,70.0460163283679,0.231788079470199,15,2.38238600610952,0.797573265000395,1.43338967163212
"Adk",0.471578947368421,0.484536082474252,0.904941144720689,1.1261964049914,1.0602156719544,1.28476821192053,95,1.49510067239856,1.42857668773736,1.48693193990555
"Aebp1",0.454313725490196,0.475524475525349,1.44755649849628,2.26074496133694,2.35539389412713,0.947019867549669,85,1.40369838933648,1.27700368591389,1.38619457495147
