"gene","p_intercept","p_sex","pvalue","padj_intercept","padj_sex","padj"
"2210408F21Rik",0.286622762190561,0.890199216268713,0.286622762190561,0.612844721789028,0.979958922773656,0.612844721789028
"2610307P16Rik",0.964017983506629,0.263881954188877,0.964017983506629,0.980101703773684,0.916743890233691,0.980101703773684
"4632427E13Rik",0.886191384473336,0.153623067322329,0.886191384473336,0.955575396512945,0.88941384325127,0.955575396512945
"4732440D04Rik",0.000294117782430083,0.538290430461388,0.000294117782430083,0.00403894137844128,0.937931196961625,0.00403894137844128
"4833422C13Rik",2.92240916143413e-07,0.917171223091752,2.92240916143413e-07,9.49782977466091e-06,0.986938674459105,9.49782977466091e-06
"5031425E22Rik",0.143095125819476,0.343017330120983,0.143095125819476,0.41929827294541,0.928684962270902,0.41929827294541
"9330188P03Rik",0.474228529685295,0.532013639193599,0.474228529685295,0.76806115688233,0.937931196961625,0.76806115688233
"9530026P05Rik",0.120864453572419,0.640898051122143,0.120864453572419,0.37529567590162,0.944683062613017,0.37529567590162
"A830082K12Rik",0.105335594188361,0.111797167392004,0.105335594188361,0.342340681112173,0.845127016790938,0.342340681112173
"AW554918",0.343233691209261,0.160628940844339,0.343233691209261,0.670646991841742,0.894266184672515,0.670646991841742
"Abca6",0.648983905160401,0.572641680631169,0.648983905160401,0.847869999304406,0.937931196961625,0.847869999304406
"Abca8a",6.56090868754414e-18,0.3924669076399,6.56090868754414e-18,9.13840852907934e-16,0.928684962270902,9.13840852907934e-16
"Abca8b",1.32908026681067e-05,0.630936156000495,1.32908026681067e-05,0.000281707230465306,0.944683062613017,0.000281707230465306
"Abca9",0.512529628334199,0.491455853950642,0.512529628334199,0.793793169635913,0.937931196961625,0.793793169635913
"Abcc9",0.00307054230579634,0.387653028492973,0.00307054230579634,0.0260328586795776,0.928684962270902,0.0260328586795776
"Abhd17b",0.884217996017251,0.615911793122031,0.884217996017251,0.954720427593377,0.944683062613017,0.954720427593377
"Abi1",0.018338361011416,0.458151248053645,0.018338361011416,0.101590352193924,0.928684962270902,0.101590352193924
"Abi2",0.557251084632777,0.205777609042074,0.557251084632777,0.809656610822519,0.894266184672515,0.809656610822519
"Abl2",0.933004978077296,0.452188192434831,0.933004978077296,0.974164319565898,0.928684962270902,0.974164319565898
"Ablim1",0.090908419169704,0.597398266180315,0.090908419169704,0.306741117717764,0.944683062613017,0.306741117717764
"Abr",0.510606574225168,0.949511233383181,0.510606574225168,0.793793169635913,0.989741421110939,0.793793169635913
"Acadsb",0.906827909507069,0.902696213540067,0.906827909507069,0.965237130752611,0.981191536456595,0.965237130752611
"Acap2",0.399370514604815,0.658978805904419,0.399370514604815,0.714151227226247,0.944683062613017,0.714151227226247
"Actr2",0.880850075569808,0.693660360711638,0.880850075569808,0.954720427593377,0.944683062613017,0.954720427593377
"Actr3",0.271533814163487,0.957779928388,0.271533814163487,0.592476071226404,0.990500181390241,0.592476071226404
"Acyp2",0.000189262628994634,0.943399587051683,0.000189262628994634,0.00292906449634553,0.989741421110939,0.00292906449634553
"Adam22",0.00283578058147388,0.665636236586526,0.00283578058147388,0.0242533865520792,0.944683062613017,0.0242533865520792
"Adam9",0.26617177537679,0.406671934731699,0.26617177537679,0.591244190297443,0.928684962270902,0.591244190297443
"Adamts12",0.587736466440104,0.189750855148039,0.587736466440104,0.818810882609878,0.894266184672515,0.818810882609878
"Adamts17",0.0158555021170778,0.334957175220834,0.0158555021170778,0.0898785730473886,0.928684962270902,0.0898785730473886
"Adamts2",0.235403807928517,0.450205445620072,0.235403807928517,0.557874392842293,0.928684962270902,0.557874392842293
"Adamts9",0.0556486213416086,0.0309382760537616,0.0556486213416086,0.226072524200285,0.785084352127151,0.226072524200285
"Adap2",0.0543214113624132,0.642392947923768,0.0543214113624132,0.223474160668155,0.944683062613017,0.223474160668155
"Adcy6",0.11702986455534,0.919118273239864,0.11702986455534,0.368077799811149,0.986938674459105,0.368077799811149
"Adcy9",0.236309871019351,0.257921610306055,0.236309871019351,0.557874392842293,0.916743890233691,0.557874392842293
"Adgrl2",0.013077276774533,0.225071130933701,0.013077276774533,0.0782229745715928,0.894266184672515,0.0782229745715928
"Adgrl3",0.587657636077966,0.10712342527824,0.587657636077966,0.818810882609878,0.845127016790938,0.818810882609878
"Afap1l2",0.0925271685465786,0.127005802134985,0.0925271685465786,0.311082721837635,0.845127016790938,0.311082721837635
"Aff1",0.363619209709792,0.51229015648772,0.363619209709792,0.682838756358613,0.937931196961625,0.682838756358613
"Afg2a",0.0629977534972464,0.688816888600598,0.0629977534972464,0.251556755283927,0.944683062613017,0.251556755283927
"Agap1",0.402827446512017,0.246382849895348,0.402827446512017,0.715403935062324,0.906255456839237,0.715403935062324
"Agmo",4.09044853263178e-06,0.00877116003045873,4.09044853263178e-06,9.97046829828996e-05,0.517928422269569,9.97046829828996e-05
"Ago3",0.201239803842846,0.956448791206048,0.201239803842846,0.512294539808813,0.990500181390241,0.512294539808813
"Agtr1a",0.0109125140013434,0.324807458892758,0.0109125140013434,0.0677687971421006,0.928684962270902,0.0677687971421006
"Aig1",3.93310674400488e-07,0.836975558135239,3.93310674400488e-07,1.16205426527417e-05,0.973814265662592,1.16205426527417e-05
"Airn",1.48356578133811e-57,0.595425316906028,1.48356578133811e-57,7.23238318402327e-55,0.944683062613017,7.23238318402327e-55
"Akap13",0.242847926157646,0.0568248394164923,0.242847926157646,0.562415030887661,0.842826447575125,0.562415030887661
"Akap6",0.00419597148291144,0.0747423184480118,0.00419597148291144,0.0332607495596639,0.842826447575125,0.0332607495596639
"Akt3",0.997575948074331,0.697584511476245,0.997575948074331,0.997635242248796,0.944683062613017,0.997635242248796
"Aldh1a1",0.318112364095996,0.18973582916854,0.318112364095996,0.644822359654046,0.894266184672515,0.644822359654046
"Alpk1",0.738025256858105,0.193427546158528,0.738025256858105,0.889461836139249,0.894266184672515,0.889461836139249
"Ambra1",0.222533148834099,0.289031610400216,0.222533148834099,0.543065518896431,0.926992829408586,0.543065518896431
"Ank2",0.000628373589477587,0.576701472369532,0.000628373589477587,0.0074715152407396,0.937931196961625,0.0074715152407396
"Ank3",0.00567397870303466,0.73734383627446,0.00567397870303466,0.04255484027276,0.944683062613017,0.04255484027276
"Ankhd1",0.571678088434502,0.171105886558305,0.571678088434502,0.811333531621018,0.894266184672515,0.811333531621018
"Ankib1",0.648598962793521,0.235448365600097,0.648598962793521,0.847869999304406,0.897875297967962,0.847869999304406
"Ankrd11",0.938199509802048,0.392180996809205,0.938199509802048,0.974164319565898,0.928684962270902,0.974164319565898
"Ankrd12",0.178817219863946,0.0174012148600274,0.178817219863946,0.482955095200409,0.630017462066964,0.482955095200409
"Ankrd17",0.486429252331002,0.955447757474256,0.486429252331002,0.774526574889371,0.990500181390241,0.774526574889371
"Ankrd44",0.0156361376341513,0.886049583907039,0.0156361376341513,0.089527882188784,0.979958922773656,0.089527882188784
"Ano1",0.131619500923824,0.0246936162724762,0.131619500923824,0.399778857946194,0.725155099142534,0.399778857946194
"Ano6",7.82445454710589e-05,0.931802117414869,7.82445454710589e-05,0.00143994648999879,0.989741421110939,0.00143994648999879
"Aopep",0.499097284427661,0.554055303943608,0.499097284427661,0.786138695180889,0.937931196961625,0.786138695180889
"Ap1g1",0.0188116479791304,0.788441037115579,0.0188116479791304,0.102465680333252,0.959631424632346,0.102465680333252
"Ap2b1",0.958821435076276,0.920143668072865,0.958821435076276,0.977936441109313,0.986952779286076,0.977936441109313
"Apbb2",0.0434915614249722,0.103552258352986,0.0434915614249722,0.191236561416743,0.842834005555235,0.191236561416743
"Apold1",0.0721091297855193,0.357070358909697,0.0721091297855193,0.272993065431413,0.928684962270902,0.272993065431413
"App",0.049234626618043,0.0926781190925817,0.049234626618043,0.209623410273327,0.842826447575125,0.209623410273327
"Appl1",0.00579032666825265,0.090570102885668,0.00579032666825265,0.0430959427598957,0.842826447575125,0.0430959427598957
"Arb2a",0.0767896641450845,0.731290299860335,0.0767896641450845,0.277296009412805,0.944683062613017,0.277296009412805
"Arf4",0.560042061121072,0.0871265906852543,0.560042061121072,0.809656610822519,0.842826447575125,0.809656610822519
"Arfgef1",0.227117861832874,0.504625493087591,0.227117861832874,0.547593391276328,0.937931196961625,0.547593391276328
"Arhgap10",0.400406226351678,0.544476967951921,0.400406226351678,0.714151227226247,0.937931196961625,0.714151227226247
"Arhgap12",0.534514925045904,0.869738904748628,0.534514925045904,0.803175830181795,0.975829035822684,0.803175830181795
"Arhgap21",0.509383232420503,0.940917656815341,0.509383232420503,0.793793169635913,0.989741421110939,0.793793169635913
"Arhgap24",0.145614780974235,0.988523333015637,0.145614780974235,0.420283956692931,0.995988616625357,0.420283956692931
"Arhgap26",0.631069941700486,0.130382281775985,0.631069941700486,0.839417725999964,0.845127016790938,0.839417725999964
"Arhgap29",0.746281873494879,0.373897859848782,0.746281873494879,0.890605662983485,0.928684962270902,0.890605662983485
"Arhgap32",0.556577841606548,0.0465916049179626,0.556577841606548,0.809656610822519,0.842826447575125,0.809656610822519
"Arhgap42",0.000155527043928267,0.181875846213679,0.000155527043928267,0.00252731446383434,0.894266184672515,0.00252731446383434
"Arhgap5",0.937157815504034,0.798853303377048,0.937157815504034,0.974164319565898,0.961445035463642,0.974164319565898
"Arhgef11",0.000790215867633678,0.0579626869855667,0.000790215867633678,0.00917214846360519,0.842826447575125,0.00917214846360519
"Arhgef12",0.319755957168593,0.533380020900909,0.319755957168593,0.644948765662954,0.937931196961625,0.644948765662954
"Arhgef17",0.92959671770781,0.546577914876592,0.92959671770781,0.974164319565898,0.937931196961625,0.974164319565898
"Arid1a",0.932986404084729,0.0835643507614487,0.932986404084729,0.974164319565898,0.842826447575125,0.974164319565898
"Arid1b",0.0248619884984306,0.17296888831587,0.0248619884984306,0.126252285343593,0.894266184672515,0.126252285343593
"Arid2",0.515471831932799,0.863848866136973,0.515471831932799,0.793793169635913,0.97433792631129,0.793793169635913
"Arid4b",0.576219366096524,0.853986366669325,0.576219366096524,0.814223017310306,0.973814265662592,0.814223017310306
