"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N","phi","phi_trend","phi_shrunk"
"0610043K17Rik",0.612903225806452,0.607142857142857,998.999999999999,931.191684954158,802.168895716071,0.0366572114335588,155,1.31871361525338,1.18273658901621,1.27481338395047
"1110002E22Rik",0.482762557077626,0.489711934158035,998.999999999999,979.926584415522,927.058291771972,0.159066113899193,584,1.49551755353356,1.34098606109232,1.47816061201028
"1110002L01Rik",0.943502824858757,0.945812807609189,1e-06,1e-06,854.197899142673,0.0442941304822169,177,0.454528509443198,1.26251095347409,0.607153785251009
"1110004F10Rik",0.445141065830721,0.45879120885818,998.999999999999,967.678279666181,895.670448568019,0.0794239581060441,319,1.45200014579271,1.33362222650671,1.42994873729833
"1110019D14Rik",0.546149217809868,0.53804347826087,998.999999999999,980.64706643258,928.904618838901,0.160593497708924,554,1.61535153628392,1.34158083089913,1.58204834388014
"1110038F14Rik",0.438864628820961,0.425619834710744,998.999999999999,959.580757568171,874.919515344659,0.052803840279293,229,1.41000555027202,1.31948947283446,1.38827294700902
"1110059E24Rik",0.424714434060228,0.406162464985995,998.999999999999,967.023401038393,893.992238553874,0.0778965742963125,321,1.42937658095121,1.33506786645673,1.41201618314111
"1500002F19Rik",0.595930232558139,0.603365384615384,998.999999999999,972.424694724951,907.833742566201,0.0907702378354789,344,1.52792613720388,1.32485699436424,1.49152499766528
"1500004A13Rik",0.520525451559934,0.519897304235831,998.999999999999,984.116467793799,937.795402352709,0.169975998254419,609,1.52627142462467,1.34459208914516,1.50645936145624
"1500009L16Rik",0.509661835748792,0.516666666666663,998.999999999999,959.351600796776,874.33227188878,0.052367444905084,207,1.56745126697498,1.31707721523875,1.50000842387319
"1600010M07Rik",0.48499743983615,0.479245283018851,998.999999999999,984.826668993988,939.61538351508,0.173467161248091,651,1.43896075561375,1.34552602070748,1.42961200904721
"1600014C10Rik",0.452620967741935,0.456521739215593,998.999999999999,962.037622529368,881.215545183359,0.0602225616408466,248,1.40417123130043,1.34350905504664,1.39058702985163
"1600020E01Rik",0.305898653998416,0.298568507157595,998.999999999999,976.058995734219,917.147102461252,0.106698668994109,421,1.33113892224094,1.32112650833243,1.3297068659666
"1700017G19Rik",0.00510204081632653,0.00862068973687617,1e-06,1e-06,871.786052024993,0.0506218634082479,196,0.0729002607400219,1.30659862490286,0.155802577562245
"1700025G04Rik",0.568190924259389,0.585746102438445,10.3871394324853,19.8447731161848,34.3837269454861,0.587824569059568,1446,1.78688563227829,1.47155159881896,1.77093774691791
"1700037C18Rik",0.569767441860465,0.564285714285714,998.999999999999,894.670317374433,708.578232955324,0.0305476761946323,129,1.4843826092679,1.10787394643582,1.33922320317912
"1700037F03Rik",0.49,0.49557522123985,998.999999999999,957.297432476453,869.068203556687,0.0493126772856208,200,1.5255128533604,1.29801556281846,1.46296006484712
"1700081N11Rik",0.536089238845144,0.541818181660451,998.999999999999,961.989055069068,881.091084871513,0.0600043639537421,254,1.39024602137731,1.34332735040741,1.37997242086486
"1700087I21Rik",0.10556586270872,0.102725367234774,1e-06,1e-06,916.563665743201,0.104080296748854,385,0.743939501242125,1.32157189527961,0.812700291244719
"1700109H08Rik",0.410189982728843,0.394366197183099,998.999999999999,973.19700569824,909.812887944306,0.0929522147065241,386,1.42021277378952,1.3240172158511,1.40500403251681
"1700120C14Rik",0.752873563218391,0.758490566037461,998.999999999999,961.45348216875,879.718611001578,0.0578223870826969,232,1.18166920486539,1.33964449537535,1.2165414064737
"1700123M08Rik",0.617021276595745,0.620192307692237,998.999999999999,953.046735666843,858.175250801347,0.0453851189177395,188,1.40134673923081,1.27040324726546,1.36454033980492
"1700123O12Rik",0.0260416666666667,0.0250000000026625,1e-06,1e-06,608.272216707484,0.026183722452542,96,0.268721743563819,1.04584289006405,0.476614218351106
"1810024B03Rik",0.654255319148936,0.666666666666641,998.999999999999,825.550503134584,531.449892662874,0.0235653502072878,94,1.40075575215698,1.00389688779346,1.21509885862829
"1810034E14Rik",0.666666666666667,0.660869565217361,998.999999999999,843.044571018066,576.280673000507,0.0250927340170194,104,1.35236116867347,1.0287819768188,1.2114679277413
"1810037I17Rik",0.105978260869565,0.105527638737662,1e-06,1e-06,850.753058120727,0.0434213397337988,184,0.691347688745942,1.25547275936271,0.814901275592699
"1810062O18Rik",0.596698113207547,0.584745762711864,998.999999999999,958.849881651823,873.04655258505,0.0514946541566659,212,1.37855942515318,1.31199397825439,1.36172743894744
"2010001K21Rik",0.987341772151899,0.989898989898551,1e-06,1e-06,849.761341879022,0.0432031420466943,158,0.143173774683622,1.25360828202198,0.278718379625002
"2010109A12Rik",0.378787878787879,0.366972477064241,998.999999999999,828.122256270994,538.040338104663,0.0237835478943923,99,1.43932716701966,1.00752138538327,1.24164540311678
"2210408F21Rik",0.492879824532687,0.491868131868132,0.599232749782065,0.838559238867274,1.19870307688671,1.48919921448833,2777,1.54628615187235,1.58810668607073,1.54730107896711
"2210408I21Rik",0.559917355371901,0.579288025889968,998.999999999999,963.538091460464,885.060688205637,0.0674230853152957,242,1.69234619185138,1.34278137818775,1.60673681236649
"2310002L09Rik",0.474910394265233,0.452531645569719,998.999999999999,963.90422634858,885.998955557312,0.0689504691250273,279,1.4310967886037,1.34200231465005,1.41276478543167
"2310014F06Rik",0.373422459893048,0.366104181951578,998.999999999999,786.739317996096,431.991280339233,0.297403447523456,935,1.57177556005602,1.39218086650309,1.55854821477666
"2310015A10Rik",0.607456140350877,0.606598984771571,998.999999999999,970.516453288098,902.94363048612,0.0859698887191796,342,1.35319703981563,1.32757467734849,1.34880911337216
"2310016D03Rik",0.682795698924731,0.702702702702467,998.999999999999,833.194828292731,551.039450922101,0.0242199432686014,93,1.42742477567072,1.01470171235418,1.23282856029039
"2310022A10Rik",0.502306425041186,0.501436781609191,998.999999999999,976.286150233415,917.72921483923,0.151865590224744,607,1.43441215130037,1.33758800257426,1.42408424514591
"2310039L15Rik",0.584912280701754,0.582010582010582,998.999999999999,973.670831711558,911.027127540425,0.123718088588261,475,1.49660590564263,1.32133607826154,1.47285360031086
"2310057M21Rik",0.520175438596491,0.512761020880526,998.999999999999,973.555873311009,910.732531975955,0.0940432031420467,380,1.46489152333155,1.32366527075879,1.44197182980745
"2310069G16Rik",0.223563218390805,0.230303030303202,7.51235243577035,314.797234791921,794.795622286096,0.0360026183722453,145,1.12411188083078,1.17468830840082,1.14033488499512
"2500002B13Rik",0.58656330749354,0.584558823529412,998.999999999999,961.83873449953,880.705869238529,0.0593497708924285,258,1.38404303536884,1.34257590195508,1.37508716252072
"2610005L07Rik",0.772357723577236,0.768339768339494,998.999999999999,961.071456245792,878.739620846201,0.0565132009600698,246,1.07697574926218,1.33586937378564,1.12961594222564
"2610008E11Rik",0.75537139349294,0.753577106518229,998.999999999999,970.639930261187,903.260055979276,0.137246345188741,543,1.15909671485274,1.32864966157564,1.17730839298415
"2610020C07Rik",0.477718360071301,0.467336683421551,998.999999999999,949.959532200819,850.263898143707,0.0434213397337988,187,1.43500257122552,1.25547275936271,1.38370226594977
