"gene","p_intercept","p_sex","pvalue","padj_intercept","padj_sex","padj"
"1700025G04Rik",0.34778215867005,0.379691743358556,0.34778215867005,0.695073010772262,0.905652783798825,0.695073010772262
"2210408F21Rik",0.136922156360721,0.602813436172098,0.136922156360721,0.472744490616654,0.965097104177254,0.472744490616654
"2610037D02Rik",0.941419737271511,0.360788760910563,0.941419737271511,0.991454755081435,0.900914335913678,0.991454755081435
"2610307P16Rik",0.091921132261769,0.195786185608658,0.091921132261769,0.40105567053125,0.826214065141708,0.40105567053125
"4632427E13Rik",0.389462182212715,0.902726058034173,0.389462182212715,0.737020880421361,0.999998491614466,0.737020880421361
"4732440D04Rik",0.000144319738556315,0.639702939565272,0.000144319738556315,0.00559776347634387,0.966324796707378,0.00559776347634387
"4930523C07Rik",0.317769789558415,0.884497316430196,0.317769789558415,0.675956040099172,0.99886012269602,0.675956040099172
"5031425E22Rik",0.10430695834081,0.66252218213247,0.10430695834081,0.422741846186287,0.967499127744773,0.422741846186287
"9530026P05Rik",0.322795977398488,0.630355086381362,0.322795977398488,0.678403226548235,0.966324796707378,0.678403226548235
"A930015D03Rik",0.00898933615772285,0.0304560330140262,0.00898933615772285,0.106412726074862,0.628968935935974,0.106412726074862
"AW554918",0.224941248804799,0.723601141471772,0.224941248804799,0.592313874702505,0.968400736510986,0.592313874702505
"Aak1",0.925028928633275,0.151837495418893,0.925028928633275,0.986812074916305,0.789599701930763,0.986812074916305
"Abca1",0.0635979566356571,0.197803453292664,0.0635979566356571,0.328439305798308,0.826214065141708,0.328439305798308
"Abca6",0.999051765207169,0.99908933810549,0.999051765207169,0.999844647527518,0.999998491614466,0.999844647527518
"Abca8a",0.998387268641483,0.998503663590226,0.998387268641483,0.999844647527518,0.999998491614466,0.999844647527518
"Abca8b",0.517963338673268,0.649555532876655,0.517963338673268,0.807805828133177,0.966324796707378,0.807805828133177
"Abca9",0.998848526480484,0.998880175127144,0.998848526480484,0.999844647527518,0.999998491614466,0.999844647527518
"Abcc4",0.987288511244756,0.0468888009003047,0.987288511244756,0.999844647527518,0.711537553662124,0.999844647527518
"Abcc5",0.0221024518435822,0.193958340875632,0.0221024518435822,0.18454468335854,0.826214065141708,0.18454468335854
"Abcg2",0.684429696848908,0.232254055290384,0.684429696848908,0.885383338994448,0.847959969111795,0.885383338994448
"Abhd17b",0.000776509011902189,0.425386861372108,0.000776509011902189,0.0202225132671099,0.921497945113715,0.0202225132671099
"Abi1",1.19535000380952e-13,0.00149279631223112,1.19535000380952e-13,3.79397851962975e-11,0.12356282202604,3.79397851962975e-11
"Ablim1",0.0022790256182142,0.400915394281648,0.0022790256182142,0.0451593880652661,0.914871683319141,0.0451593880652661
"Ablim3",0.267638796073957,0.0783645012125124,0.267638796073957,0.630368895662564,0.758548938487819,0.630368895662564
"Abtb2",0.771329507028292,0.425368099412168,0.771329507028292,0.918911981414512,0.921497945113715,0.918911981414512
"Acap2",0.686698186976536,0.930493230474571,0.686698186976536,0.885383338994448,0.999998491614466,0.885383338994448
"Acbd6",0.547350229081464,0.016316521955001,0.547350229081464,0.820107316930454,0.52350692015986,0.820107316930454
"Acer2",0.0006953633130457,0.744637952580563,0.0006953633130457,0.0189201092489897,0.972928398590898,0.0189201092489897
"Acer3",0.56117639999006,0.819000242783632,0.56117639999006,0.825356069758114,0.984054990105467,0.825356069758114
"Ackr3",0.958749944139667,0.324817987942849,0.958749944139667,0.999152954712641,0.871124530256152,0.999152954712641
"Actn1",0.0548723241147725,0.764880841306056,0.0548723241147725,0.3049763623818,0.978123603945455,0.3049763623818
"Actr2",0.0353304998569937,0.00339532472825525,0.0353304998569937,0.235924912964467,0.237803320390493,0.235924912964467
"Actr3",0.951984399147831,0.408301182189362,0.951984399147831,0.99797639780831,0.920784980525687,0.99797639780831
"Acvr1",0.903053860997324,0.883883775112479,0.903053860997324,0.979400704758069,0.99886012269602,0.979400704758069
"Acyp2",0.00241787381480633,0.482246189731331,0.00241787381480633,0.0468913187701269,0.938191010372425,0.0468913187701269
"Adam10",0.202078896305922,0.0173589416746746,0.202078896305922,0.560825996117494,0.530936633418722,0.560825996117494
"Adam9",0.134430578546229,0.481978367028801,0.134430578546229,0.465022665445496,0.938191010372425,0.465022665445496
"Adamts1",0.842565306130129,0.0335417294589199,0.842565306130129,0.951760211483658,0.636188577416563,0.951760211483658
"Adamts5",0.925743578725959,0.292379581327518,0.925743578725959,0.986812074916305,0.859031679210496,0.986812074916305
"Adamts9",0.404370637615198,0.258991617680399,0.404370637615198,0.746077356535005,0.850876185418038,0.746077356535005
"Adamtsl3",0.0477045479754401,0.154275977809897,0.0477045479754401,0.287666021234838,0.789599701930763,0.287666021234838
"Adarb1",0.504564945372924,0.758910514173251,0.504564945372924,0.801273708981695,0.975283024918483,0.801273708981695
"Adcy9",0.0591636999682279,0.4723273838696,0.0591636999682279,0.315516382546387,0.938191010372425,0.315516382546387
"Adgra2",0.00814966675123328,0.977368308717843,0.00814966675123328,0.102096959678741,0.999998491614466,0.102096959678741
