"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N","phi","phi_trend","phi_shrunk"
"1700025G04Rik",0.523456790123457,0.4875,998.999999999999,753.525341907567,484.304509604927,0.216216216216216,54,1.6231142920144,1.39810694133995,1.54824617746449
"2210408F21Rik",0.487878787878788,0.493333333543054,998.999999999999,751.355606032486,480.493664413422,0.202702702702703,55,1.62738312694448,1.40599086995907,1.55468989209724
"2610307P16Rik",0.410967741935484,0.412186380096192,2.86275454207125,3.80568062399183,4.27944524425307,0.754054054054054,155,1.58971522288393,1.42421768391091,1.56562723116113
"2900026A02Rik",0.613095238095238,0.584415584132989,3.96201798113973,277.476392640945,484.021350879757,0.208108108108108,56,1.29949133186113,1.40150362075252,1.33015813524393
"4632427E13Rik",0.434391534391534,0.428571428571429,998.999999999999,749.194322710873,476.697664979462,0.227027027027027,63,1.4894158701334,1.39641410433251,1.46238234183487
"5031425E22Rik",0.529220779220779,0.499999999999955,4.90748439800116,175.572346779429,304.246598540095,0.308108108108108,77,1.39926955642564,1.49120192961405,1.42126377605487
"9530026P05Rik",0.468005148005148,0.44240837696567,3.7054713673612,2.5395856838737,1.34783999800204,1.03243243243243,185,1.84183674902866,1.42960001496257,1.78711104898987
"AW554918",0.373563218390805,0.352000000007285,7.39509178751684,139.726930074249,239.199421901621,0.337837837837838,87,1.3826535743414,1.49898120443501,1.40781103257256
"Aak1",0.440350877192982,0.437500000484746,998.999999999999,604.662078057939,222.846486189036,0.345945945945946,95,1.47592801586267,1.50045072232151,1.48100364236739
"Abca1",0.441840277777778,0.485294117647092,998.999999999999,581.799426655876,182.691356635594,0.367567567567568,96,1.50419551735009,1.50403604888175,1.50416256793369
"Abca8a",0.636210086210086,0.643564356394898,0.293171764702586,220.436479235436,386.920351974797,0.272972972972973,39,1.36008820945183,1.45574700481888,1.39668306893518
"Abca8b",0.653601953601954,0.609375,0.358234079652108,230.33268228639,404.247030807007,0.172972972972973,26,1.39405212036228,1.44968538648242,1.4210513482003
"Abcc5",0.393459915611814,0.4,998.999999999999,701.697355370163,393.275718704687,0.27027027027027,79,1.3178649184172,1.45111902451073,1.34873522382597
"Abhd17b",0.46969696969697,0.461538461597829,998.999999999999,714.25688487707,415.334819620455,0.175675675675676,44,1.83039519766688,1.44906863903885,1.68184310823531
"Abi1",0.733879138180758,0.753943217665615,0.353584698769402,1.61646409382634,2.54208760691779,0.856756756756757,156,1.26389983851172,1.41171910211339,1.28335679461656
"Abi3bp",0.467372134038801,0.392156862745105,998.999999999999,599.047247388481,212.98480177686,0.137837837837838,27,1.87856155020082,1.1935386563836,1.51049470826614
"Ablim1",0.414777162727982,0.446130500761141,0.349672284489582,0.417650420309005,0.439821291971476,1.78108108108108,244,1.44075211915618,1.55904643996883,1.45135679743591
"Ablim3",0.563063063063063,0.618181818181817,998.999999999999,635.512148209681,277.030427582823,0.148648648648649,37,1.82144216064369,1.30538755551201,1.59249589567892
"Abtb2",0.618376928236083,0.637931033775284,998.999999999999,643.98722354016,291.915741708718,0.313513513513514,71,1.80279489592836,1.49314258882452,1.71645534014833
"Acap2",0.561111111111111,0.527777777777778,998.999999999999,745.156564541005,469.605893357476,0.194594594594595,60,1.55288622713941,1.41585634056695,1.51126110912308
"Acer2",0.577712165551839,0.564705882352941,1.51018528507235,1.28758916093252,0.99291914137708,1.14864864864865,184,1.78325282774252,1.45402949474082,1.74024376253997
"Acer3",0.512121212121212,0.528571428475103,998.999999999999,738.739365633958,458.334958549825,0.189189189189189,55,1.68929052237749,1.4242872866153,1.60157022733856
"Ackr3",0.508421052631579,0.53020134228179,998.999999999999,550.193385965173,127.179656077013,0.402702702702703,95,1.63183280119673,1.50766258835961,1.60514743577213
"Actn1",0.680268199233717,0.648809523809524,0.58543603390869,39.8749752044972,69.5431901815973,0.454054054054054,87,1.34318659481379,1.50059939587107,1.37682676326465
"Actn4",0.5,0.512820512832966,998.999999999999,753.780105552979,484.751967207597,0.210810810810811,65,1.43885448695006,1.39993553117371,1.42793640031182
