"gene","p_intercept","p_sex","pvalue","padj_intercept","padj_sex","padj"
"1700025G04Rik",0.823006081867536,0.274518101826092,0.823006081867536,0.94791532541754,0.86950119116527,0.94791532541754
"2210408F21Rik",0.338988022686723,0.441720554753234,0.338988022686723,0.677522852829747,0.927830259023647,0.677522852829747
"2610307P16Rik",0.0315439898022021,0.0547219914698178,0.0315439898022021,0.196492769809551,0.81126485767558,0.196492769809551
"2900026A02Rik",0.387400609801812,0.257447652153789,0.387400609801812,0.718376481394085,0.860809872121176,0.718376481394085
"4632427E13Rik",0.192008326493538,0.354211605018628,0.192008326493538,0.520022550919999,0.888123575802412,0.520022550919999
"5031425E22Rik",0.995783972573717,0.230083479793692,0.995783972573717,0.999993063554821,0.860809872121176,0.999993063554821
"9530026P05Rik",0.168735622739533,0.379908330321614,0.168735622739533,0.484183792697893,0.90584203162809,0.484183792697893
"AW554918",0.0759339945247356,0.285992784325053,0.0759339945247356,0.323422569272022,0.872569821563171,0.323422569272022
"Aak1",0.536563222783425,0.807712038306502,0.536563222783425,0.814508592302371,0.991403528134828,0.814508592302371
"Abca1",0.250933473574086,0.683897043329682,0.250933473574086,0.584338852014422,0.974667378243923,0.584338852014422
"Abca8a",0.00153664905876745,0.858182114033452,0.00153664905876745,0.0267126784053178,0.993301673998253,0.0267126784053178
"Abca8b",0.240622131481699,0.365282837612917,0.240622131481699,0.576490523341571,0.898187240512024,0.576490523341571
"Abcc5",0.0845324974787231,0.0404229299140493,0.0845324974787231,0.344496671322233,0.768594022977437,0.344496671322233
"Abhd17b",0.594529361397147,0.903647805565728,0.594529361397147,0.838510750272391,0.999999887270415,0.838510750272391
"Abi1",8.34853071149877e-08,0.345195655416648,8.34853071149877e-08,7.80065838355666e-06,0.886979555284871,7.80065838355666e-06
"Abi3bp",0.139253591755052,0.109123227522904,0.139253591755052,0.43371691598709,0.84617769213383,0.43371691598709
"Ablim1",7.7990186192105e-05,0.771147438630953,7.7990186192105e-05,0.00237949649708565,0.985158753565954,0.00237949649708565
"Abtb2",0.0172664564790904,0.660770304431141,0.0172664564790904,0.13103224586924,0.971391672223881,0.13103224586924
"Acap2",0.593592555672848,0.51881289183862,0.593592555672848,0.837980047904539,0.933783804087515,0.837980047904539
"Acer2",0.123449909912668,0.149582711627616,0.123449909912668,0.408750240061231,0.84617769213383,0.408750240061231
"Acer3",0.771450920847659,0.995465154002073,0.771450920847659,0.925147949342885,0.999999887270415,0.925147949342885
"Ackr3",0.884722169840548,0.86177710555174,0.884722169840548,0.964740805187177,0.993301673998253,0.964740805187177
"Actn1",8.53879181548946e-06,0.510235439962739,8.53879181548946e-06,0.000398921680129898,0.929211608833863,0.000398921680129898
"Actn4",0.541526215593768,0.862557993463075,0.541526215593768,0.814508592302371,0.993301673998253,0.814508592302371
"Actr2",0.374904693405054,0.36611787713098,0.374904693405054,0.708654510409316,0.898762276372439,0.708654510409316
"Actr3",0.691844202242563,0.206153306771464,0.691844202242563,0.891476399303649,0.851714008961369,0.891476399303649
"Acvr1",0.0201448105166817,0.0328582846944094,0.0201448105166817,0.146909715719215,0.768594022977437,0.146909715719215
"Acyp2",0.165073669198025,0.582186160246047,0.165073669198025,0.476419180407428,0.966002563338335,0.476419180407428
"Adam10",0.0145240029471383,0.847117634751433,0.0145240029471383,0.118652373803124,0.993301673998253,0.118652373803124
"Adamts1",0.155814302934304,0.253913034718917,0.155814302934304,0.462187267632508,0.860809872121176,0.462187267632508
"Adamts9",0.0707550427120928,0.200969628718699,0.0707550427120928,0.312031825529731,0.846336887139309,0.312031825529731
"Adamtsl3",0.741989688151473,0.00584168222644261,0.741989688151473,0.915628139664401,0.430325722800983,0.915628139664401
"Adarb1",0.0427170767687759,0.399646682709782,0.0427170767687759,0.225660882577103,0.914464272916998,0.225660882577103
"Add1",0.870891091993333,0.708454866604306,0.870891091993333,0.959275637956553,0.977016386876448,0.959275637956553
"Adgra2",0.948789085884491,0.196739195739934,0.948789085884491,0.98588693961346,0.846336887139309,0.98588693961346
"Adgrf5",0.944620754864729,0.829519312028146,0.944620754864729,0.9857600421237,0.993005733040558,0.9857600421237
"Adgrg6",8.38697431548789e-06,0.179150723000783,8.38697431548789e-06,0.000398921680129898,0.84617769213383,0.000398921680129898
"Adgrl2",0.217499172398824,0.845734772653054,0.217499172398824,0.55393741522358,0.993301673998253,0.55393741522358
"Adgrl4",0.0179893215255499,0.956876650423499,0.0179893215255499,0.133801172540782,0.999999887270415,0.133801172540782
"Adh6b",0.0137282202360669,0.321378730545512,0.0137282202360669,0.116584666775554,0.882012107261425,0.116584666775554
"Adipor2",0.0216948601235047,0.829509927858219,0.0216948601235047,0.155185721936074,0.993005733040558,0.155185721936074
"Adk",0.607020346464972,0.750523460618437,0.607020346464972,0.84654423317643,0.981637276775324,0.84654423317643
"Adss2",0.438183231811772,0.413804610125026,0.438183231811772,0.758172808180751,0.914464272916998,0.758172808180751
"Afap1l1",0.108175340010228,0.770926256689308,0.108175340010228,0.385750532441293,0.985158753565954,0.385750532441293
"Aff1",0.0331767985982273,0.1780672616649,0.0331767985982273,0.199194031744376,0.84617769213383,0.199194031744376
"Afg1l",0.22477020630521,0.822623732698055,0.22477020630521,0.561083618064085,0.991471878978811,0.561083618064085
"Agap1",0.64210401522369,0.167102830972434,0.64210401522369,0.863260344208108,0.84617769213383,0.863260344208108
"Agmo",0.000305944624803856,0.348203694965265,0.000305944624803856,0.00816762882288865,0.887444055068661,0.00816762882288865
"Ago3",0.10143592281264,0.581644718638781,0.10143592281264,0.374682512416158,0.966002563338335,0.374682512416158
"Agps",0.854167528460787,0.0971107048956244,0.854167528460787,0.954143051839677,0.84617769213383,0.954143051839677
"Ahnak",0.45746239480491,0.163271692858823,0.45746239480491,0.771391547120772,0.84617769213383,0.771391547120772
"Ahsg",0.00101575755816805,0.203563872661101,0.00101575755816805,0.0202474339928164,0.850078183319403,0.0202474339928164
"Aig1",0.0251600517627731,0.884791333810762,0.0251600517627731,0.170973988115208,0.995157887531346,0.170973988115208
"Airn",8.36400035747235e-33,0.137384112613813,8.36400035747235e-33,6.25209026721058e-30,0.84617769213383,6.25209026721058e-30
"Akap10",0.0788377871955123,0.979500909704005,0.0788377871955123,0.331074415329469,0.999999887270415,0.331074415329469
"Akap13",0.907738182157528,0.456367298101263,0.907738182157528,0.972160827212785,0.927830259023647,0.972160827212785
"Akt3",0.318690558679554,0.740139337444325,0.318690558679554,0.649989611495134,0.981637276775324,0.649989611495134
"Alcam",0.000389347063219852,0.482259855537304,0.000389347063219852,0.00970123099189465,0.927830259023647,0.00970123099189465
"Ambra1",0.117551812920721,0.875900340046645,0.117551812920721,0.397994282751211,0.993699411640894,0.397994282751211
"Amotl1",0.570315929212795,0.312299030792293,0.570315929212795,0.825976144329299,0.882012107261425,0.825976144329299
"Anapc1",0.144071373113151,0.282635217762887,0.144071373113151,0.442272490357619,0.870400699003429,0.442272490357619
"Ankhd1",0.837517870688365,0.254024208382485,0.837517870688365,0.953186239881406,0.860809872121176,0.953186239881406
"Ankib1",0.0725463003477632,0.0560511886809831,0.0725463003477632,0.31712490941493,0.81126485767558,0.31712490941493
"Ankrd11",0.107777717679581,0.00240229805522858,0.107777717679581,0.385472937633909,0.430325722800983,0.385472937633909
"Ankrd12",0.121118816473336,0.145043562260053,0.121118816473336,0.405084184849299,0.84617769213383,0.405084184849299
"Ankrd17",0.953730195615752,0.241305426019116,0.953730195615752,0.987145776001378,0.860809872121176,0.987145776001378
"Ankrd33b",0.000112715213586723,0.402665114398474,0.000112715213586723,0.00324056239061829,0.914464272916998,0.00324056239061829
