"gene","p_intercept","p_sex","pvalue","padj_intercept","padj_sex","padj"
"1700025G04Rik",0.921659078063245,0.921659022750836,0.921659078063245,0.989613564035042,0.999999979573134,0.989613564035042
"2010001K21Rik",0.0471872212239446,0.331575869673436,0.0471872212239446,0.275820543106628,0.943665552233344,0.275820543106628
"2610037D02Rik",0.0309849865453193,0.218121857555501,0.0309849865453193,0.208683738652086,0.925670500411333,0.208683738652086
"2610307P16Rik",0.108587272193621,0.0322220821124523,0.108587272193621,0.424831479259507,0.888036454265773,0.424831479259507
"4732440D04Rik",0.0150214670910176,0.969500388794552,0.0150214670910176,0.129799572033353,0.999999979573134,0.129799572033353
"5031425E22Rik",0.0165009966431697,0.0580381615464634,0.0165009966431697,0.13656109189036,0.888036454265773,0.13656109189036
"9530026P05Rik",0.412812369063654,0.539722566990531,0.412812369063654,0.722605608592707,0.98221712208364,0.722605608592707
"Aak1",0.828549703976739,0.79190918755066,0.828549703976739,0.962882614562317,0.993272447916295,0.962882614562317
"Abca1",0.959975672683519,0.0665244294692543,0.959975672683519,0.999545622485961,0.888036454265773,0.999545622485961
"Abca8a",0.0517125933775098,0.897448960037997,0.0517125933775098,0.288532765322242,0.999999979573134,0.288532765322242
"Abcb1b",0.999988946145449,0.999999735583797,0.999988946145449,0.999999992274359,0.999999979573134,0.999999992274359
"Abi1",8.49270312542314e-25,0.421884457867072,8.49270312542314e-25,8.33983446916552e-22,0.943665552233344,8.33983446916552e-22
"Abi3bp",0.954123831088279,0.255065991578936,0.954123831088279,0.998880172845085,0.943665552233344,0.998880172845085
"Acaca",0.223117958430865,0.997982754110487,0.223117958430865,0.57658377678713,0.999999979573134,0.57658377678713
"Ackr3",0.204577980677393,0.28117544374033,0.204577980677393,0.556741209533987,0.943665552233344,0.556741209533987
"Acss3",0.28675421214879,0.630205991547213,0.28675421214879,0.627155092049246,0.98501095967507,0.627155092049246
"Acyp2",0.0168658284057294,0.792022617375118,0.0168658284057294,0.136878045408482,0.993272447916295,0.136878045408482
"Adam10",0.628800559032794,0.900129805370068,0.628800559032794,0.863611397161124,0.999999979573134,0.863611397161124
"Adamts9",0.82202724560217,0.533055863348482,0.82202724560217,0.962018722607067,0.98221712208364,0.962018722607067
"Adamtsl1",0.154538893831428,0.936236010882879,0.154538893831428,0.504176723396885,0.999999979573134,0.504176723396885
"Adcy9",0.0513179050733439,0.981451574258271,0.0513179050733439,0.287966758754421,0.999999979573134,0.287966758754421
"Adgrd1",0.979705299772611,0.445076156021855,0.979705299772611,0.999999992274359,0.954447843342127,0.999999992274359
"Adgrg6",0.0157167027508988,0.498936215889212,0.0157167027508988,0.131912838473356,0.98221712208364,0.131912838473356
"Adgrl3",0.00635971553892541,0.270629321013657,0.00635971553892541,0.0664387304172846,0.943665552233344,0.0664387304172846
"Adgrl4",0.956000283883786,NA,0.956000283883786,0.999545622485961,NA,0.999545622485961
"Adk",0.677392831529743,0.966523752052328,0.677392831529743,0.900226112410179,0.999999979573134,0.900226112410179
"Aebp1",0.596220673487045,0.736755503048364,0.596220673487045,0.85528381142401,0.990093071118451,0.85528381142401
"Aebp2",0.163249575033523,0.245093977896826,0.163249575033523,0.512175983012523,0.941929797407408,0.512175983012523
"Agap1",0.896072696129657,0.419404518033756,0.896072696129657,0.984146084776629,0.943665552233344,0.984146084776629
"Agfg1",0.82205425012721,0.95797350257369,0.82205425012721,0.962018722607067,0.999999979573134,0.962018722607067
"Ago3",0.44784922180796,0.418927867187971,0.44784922180796,0.74414202337634,0.943665552233344,0.74414202337634
"Ahnak",0.310719042404376,0.551138511645557,0.310719042404376,0.651750237995096,0.98221712208364,0.651750237995096
"Airn",0.99849537939364,0.998717946371551,0.99849537939364,0.999999992274359,0.999999979573134,0.999999992274359
"Akap13",0.0530986201376278,0.00804966935585487,0.0530986201376278,0.28968247208417,0.888036454265773,0.28968247208417
"Akt3",0.158294956470167,0.0636378495320287,0.158294956470167,0.507992311286616,0.888036454265773,0.507992311286616
"Aldh1a1",0.0186090661128649,0.141713830417625,0.0186090661128649,0.147371797764785,0.891547694809212,0.147371797764785
"Aldh1a2",0.0278604685832094,0.129589543953413,0.0278604685832094,0.194814275813188,0.891547694809212,0.194814275813188
"Ambra1",0.785378199906472,0.526284908409213,0.785378199906472,0.949804670330241,0.98221712208364,0.949804670330241
"Anapc1",0.812908501333707,0.348787362500703,0.812908501333707,0.957278892632994,0.943665552233344,0.957278892632994
"Ank2",0.0121712403272077,0.649780150108541,0.0121712403272077,0.113180930590746,0.987811854991455,0.113180930590746
"Ankhd1",0.920174167461427,0.613737032324898,0.920174167461427,0.989613564035042,0.9846791809998,0.989613564035042
"Ankib1",0.72990347046446,0.749337359025002,0.72990347046446,0.929610741817753,0.990093071118451,0.929610741817753
"Ankrd11",0.582737812068849,0.281554286972041,0.582737812068849,0.851591877445635,0.943665552233344,0.851591877445635
"Ankrd12",0.00204262945927569,0.148094148477354,0.00204262945927569,0.0282515792818131,0.891547694809212,0.0282515792818131
"Ankrd17",0.483058556034284,0.627984171555995,0.483058556034284,0.770070620171537,0.9846791809998,0.770070620171537
"Ankrd44",0.0831703616872604,0.958597768295693,0.0831703616872604,0.365397648371183,0.999999979573134,0.365397648371183
"Ano1",0.320169020714818,0.0331103169990134,0.320169020714818,0.657753092765587,0.888036454265773,0.657753092765587
"Ano6",0.00215357602027148,0.86902477338938,0.00215357602027148,0.0289700226288574,0.999999979573134,0.0289700226288574
"Antxr2",0.00722735883580947,0.754033065983636,0.00722735883580947,0.0747080671238411,0.990093071118451,0.0747080671238411
"Anxa1",0.393018744533221,0.741749070718226,0.393018744533221,0.711373913967898,0.990093071118451,0.711373913967898
"Anxa2",0.135681887441612,0.429986892312981,0.135681887441612,0.474358359929574,0.943665552233344,0.474358359929574
"Anxa3",0.00119395248190668,0.0830693927196372,0.00119395248190668,0.0192206776595469,0.888036454265773,0.0192206776595469
"Aopep",0.994766580185636,0.311872719359859,0.994766580185636,0.999999992274359,0.943665552233344,0.999999992274359
"Ap2a2",0.154138584138313,0.0227852389166112,0.154138584138313,0.504176723396885,0.888036454265773,0.504176723396885
"Ap2b1",0.837848013525131,0.71306290908446,0.837848013525131,0.966823442164135,0.989907389074538,0.966823442164135
"Ap3b1",0.394080864764294,0.237708722674771,0.394080864764294,0.711373913967898,0.932047392687462,0.711373913967898
"Ap3s1",0.39362573207499,0.833132604272648,0.39362573207499,0.711373913967898,0.993272447916295,0.711373913967898
"Ap4e1",1.30870726323044e-05,0.873655940288783,1.30870726323044e-05,0.000494288666343188,0.999999979573134,0.000494288666343188
"Apba1",0.370701502031553,0.483207882118148,0.370701502031553,0.69338833332378,0.980421789804938,0.69338833332378
"Apbb2",0.101283168783122,0.284186004992576,0.101283168783122,0.410992032004241,0.943665552233344,0.410992032004241
"App",1.97346729733486e-05,0.0668034256044285,1.97346729733486e-05,0.000692123173565299,0.888036454265773,0.000692123173565299
"Aqp1",0.472195862919726,0.472189655740521,0.472195862919726,0.760157930142902,0.973788002125943,0.760157930142902
"Arf4",0.24832464878639,0.696493139007622,0.24832464878639,0.597607866289261,0.989907389074538,0.597607866289261
"Arfgef1",0.728268271862531,0.92164455874379,0.728268271862531,0.929610741817753,0.999999979573134,0.929610741817753
"Arhgap10",0.582759411042227,0.687707993591788,0.582759411042227,0.851591877445635,0.989907389074538,0.851591877445635
"Arhgap17",0.737524471938334,0.433392752795341,0.737524471938334,0.930911351469722,0.943833106087631,0.930911351469722
"Arhgap18",0.250469214398984,0.946373757379107,0.250469214398984,0.597607866289261,0.999999979573134,0.597607866289261
"Arhgap21",0.266406465182147,0.565821628961236,0.266406465182147,0.60393498617415,0.98221712208364,0.60393498617415
"Arhgap26",0.0662964532408432,0.124261791882276,0.0662964532408432,0.3238961048881,0.891547694809212,0.3238961048881
"Arhgap28",0.249435469282727,0.503396910595574,0.249435469282727,0.597607866289261,0.98221712208364,0.597607866289261
"Arhgap29",0.000458963490877667,0.0272041438734896,0.000458963490877667,0.00919800302126264,0.888036454265773,0.00919800302126264
"Arhgap44",0.69769575375012,0.408875882863165,0.69769575375012,0.911086742264119,0.943665552233344,0.911086742264119
"Arhgap5",0.491193956508654,0.0383931127383239,0.491193956508654,0.779466141818847,0.888036454265773,0.779466141818847
"Arhgef12",2.24900759049976e-09,0.00122996018825742,2.24900759049976e-09,2.11387442914147e-07,0.888036454265773,2.11387442914147e-07
"Arhgef3",0.872135785795914,0.531944840269104,0.872135785795914,0.979905425230649,0.98221712208364,0.979905425230649
"Arid1b",0.903990776508347,0.0536568877839393,0.903990776508347,0.988608543113655,0.888036454265773,0.988608543113655
"Arid2",0.139786278004876,0.655181332392291,0.139786278004876,0.477937245159221,0.987811854991455,0.477937245159221
"Arid4b",0.20225564509337,0.979256855531424,0.20225564509337,0.556741209533987,0.999999979573134,0.556741209533987
"Arid5b",0.754998166684758,0.312361949461942,0.754998166684758,0.93849139200561,0.943665552233344,0.93849139200561
"Arl15",0.800904338625603,0.615249818867139,0.800904338625603,0.954627372459949,0.9846791809998,0.954627372459949
"Arnt",0.057815924028348,0.28469965000684,0.057815924028348,0.297252551810669,0.943665552233344,0.297252551810669
"Arpc2",0.804074703882605,0.177638112330082,0.804074703882605,0.954627372459949,0.906694531684792,0.954627372459949
"Asap1",0.0509260851537058,0.453126839864978,0.0509260851537058,0.287410434603098,0.962916268169281,0.287410434603098
"Ascc3",0.595350704286146,0.699340462368092,0.595350704286146,0.85528381142401,0.989907389074538,0.85528381142401
"Ash1l",0.312601183396833,0.576916891948136,0.312601183396833,0.651750237995096,0.983152734913037,0.651750237995096
"Asph",0.14263662220427,0.796779557229484,0.14263662220427,0.480474914722374,0.993272447916295,0.480474914722374
"Atad2",0.000311482874362332,0.475577295304901,0.000311482874362332,0.00679724850275133,0.976774392595775,0.00679724850275133
"Atad2b",0.251866413345338,0.239615764434094,0.251866413345338,0.597607866289261,0.935551590220766,0.597607866289261
"Ate1",0.217583419078046,0.717469527552249,0.217583419078046,0.574373434232907,0.989907389074538,0.574373434232907
"Atf2",0.428629119572769,0.879713087527852,0.428629119572769,0.725847454365935,0.999999979573134,0.725847454365935
