"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N","phi","phi_trend","phi_shrunk"
"1700025G04Rik",0.515384615384615,0.505617977528089,998.999999999999,799.633937921142,506.336877310765,0.116187989556136,65,1.53834662742818,1.47246259125718,1.51539391723949
"2210408F21Rik",0.422364672364672,0.410714285714286,998.999999999999,856.91238001289,633.107546940294,0.219321148825065,117,1.60949099881921,1.43550326643142,1.56856075081154
"2610037D02Rik",0.373711340206186,0.356521739130436,998.999999999999,871.286134563177,664.920047819974,0.150130548302872,97,1.41241295512316,1.42586831118684,1.41589293552264
"2610203C22Rik",0.650537634408602,0.675675675675673,998.999999999999,865.731603785193,652.626564259876,0.14490861618799,93,1.38379055097072,1.43498526068259,1.39731443581918
"2610307P16Rik",0.438888888888889,0.44,1.59723812980461,52.0948123581638,113.278040893242,0.0652741514360313,30,1.40583153867364,1.18135131913306,1.28172574356371
"4632427E13Rik",0.412186379928315,0.440366972477075,998.999999999999,862.252005305157,644.925394094503,0.142297650130548,93,1.51909218149591,1.43986459464528,1.497463960829
"4732440D04Rik",0.270833333333333,0.277777777777861,998.999999999999,803.935827359664,515.857970847493,0.117493472584856,72,1.26418439248628,1.47144218665734,1.32726815371801
"4732471J01Rik",0.583333333333333,0.566433566433566,998.999999999999,875.283208594978,673.766513140356,0.18668407310705,114,1.48603173172936,1.41067491765908,1.46837144285877
"4933406I18Rik",0.425818452380952,0.404833836962216,998.999999999999,633.087558008434,137.730551180433,0.432114882506527,224,1.58873859160903,1.50550024261264,1.57751124859315
"5031425E22Rik",0.580490196078431,0.56578947368421,998.999999999999,813.014231993895,535.950616398254,0.297650130548303,170,1.50901120014894,1.48490450974403,1.50496641071455
"5033421B08Rik",0.485401459854015,0.494318181818182,998.999999999999,852.344731314443,622.998265629761,0.22976501305483,137,1.5729257826265,1.44745604581488,1.5471409720707
"9530026P05Rik",0.435828877005348,0.462962962963085,1.77875186769463,290.486004756072,640.664280223046,0.140992167101828,51,1.70624420115479,1.44219258885235,1.59526933411597
"AW554918",0.515447154471545,0.509202453983182,998.999999999999,860.955794099433,642.056573705363,0.212793733681462,123,1.56248075636421,1.42676798666401,1.53203579866374
"Aak1",0.465151515151515,0.473282442752297,998.999999999999,879.17004855455,682.369004521469,0.171018276762402,110,1.56561517306436,1.41458179759839,1.52856068327684
"Abca1",0.497411199322027,0.490179333902653,0.92165611003046,0.805036475777715,0.616111237381272,1.52872062663185,471,1.71276105497712,1.68301719304536,1.71074209661732
"Abca6",0.601063829787234,0.626865671641791,998.999999999999,689.439974671639,262.45170864826,0.087467362924282,47,1.66853857487834,1.43548231090636,1.5664273371851
"Abca8a",0.722514005602241,0.679245282448003,0.556159426905707,285.560046819638,631.308196112377,0.138381201044386,34,1.76071822250445,1.44662368901904,1.5959626218563
"Abca9",0.558037358589845,0.528704939773985,0.734226428321084,1.63237408705068,2.68424745978698,0.977806788511749,362,1.4531213086373,1.6035693231465,1.46546484785114
"Abcb1b",0.903030303030303,0.898550724637681,1e-06,1e-06,287.295726263535,0.0900783289817232,55,0.774844107920823,1.45708055957297,0.986259827496483
"Abcc1",0.504651162790698,0.506172839506173,998.999999999999,861.766969888179,643.851896590751,0.211488250652742,129,1.42833869003757,1.42522330295972,1.42768829310228
"Abcc5",0.453074433656958,0.439655172423811,998.999999999999,872.409390063448,667.406076537485,0.151436031331593,103,1.42571468823026,1.42418795371366,1.42533563799311
"Abhd12",0.533068783068783,0.542682926782798,998.999999999999,860.141669097555,640.254723517383,0.214099216710183,126,1.55011198538046,1.42838785440676,1.52340623082539
