"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N","phi","phi_trend","phi_shrunk"
"0610043K17Rik",0.482758620689655,0.421052633137284,998.999999999999,921.835086218572,694.256115866429,0.0332500693407708,29,1.67112803418546,0.688564709985276,0.945817892708533
"1110059E24Rik",0.5125,0.58,998.999999999999,967.92697776233,860.568455295432,0.0485677669361271,40,1.71722384178526,1.38180149256059,1.51873144305443
"1500004A13Rik",0.491228070175439,0.520547944945805,998.999999999999,984.715857428947,921.147393590821,0.0622799830914662,57,1.83556323447123,1.61475152324528,1.72668937170521
"1600010M07Rik",0.470149253731343,0.467532467532467,998.999999999999,990.288857531621,941.256324981366,0.0772169541655735,67,1.54936159969179,1.66562060061057,1.59913075543887
"1600020E01Rik",0.3,0.333333333338951,998.999999999999,953.237672541961,807.56536442712,0.0431320337872114,35,1.56655033319779,1.22056525520062,1.34947082681299
"1700025G04Rik",0.424036281179138,0.414772727272727,998.999999999999,979.953894098467,903.964908011651,0.151406065426248,126,1.78616642565654,1.58022285588269,1.72337306931262
"2210408F21Rik",0.455858085808581,0.503703703710498,998.999999999999,966.838269040264,856.640092009417,0.224459717842763,202,1.73216340326309,1.61084408013413,1.70660416857504
"2210408I21Rik",0.568181818181818,0.509433962264158,998.999999999999,961.557441623641,837.585400774937,0.0459009528068846,33,1.98192695133274,1.302791378866,1.53326175643318
"2610035D17Rik",0.580492424242424,0.582608695652145,998.999999999999,986.890086307336,928.992614932535,0.105035102574098,88,1.56447262933155,1.61701044413139,1.58378439182552
"2610037D02Rik",0.38953488372093,0.396039603960559,998.999999999999,986.982598835985,929.326425816633,0.104618129416543,86,1.5637978053338,1.61718058229076,1.58370295880279
"2610307P16Rik",0.488095238095238,0.5,998.999999999999,975.018422699134,886.156357155614,0.0525247969940552,42,1.83854271326485,1.4829264943804,1.63241670582183
"2700097O09Rik",0.5,0.482758620680012,998.999999999999,919.982422067748,687.57118932556,0.0326398231459931,26,1.66145342538898,0.651114077575053,0.889748874472977
"2900093K20Rik",0.403225806451613,0.410256410298457,14.3627057325069,198.940111516417,679.990941041779,0.0319474421385749,31,1.23828073765566,0.609761083658074,0.794453789601088
"3110056K07Rik",0.323529411764706,0.325000000011353,998.999999999999,955.512910585501,815.775054876029,0.0438286163655843,34,1.43926875688747,1.24078944044617,1.31575755940479
"4632427E13Rik",0.434375,0.437185929648241,998.999999999999,977.157792142699,893.875795979782,0.173957439144907,160,1.65686203424552,1.5869058384192,1.63942261972747
