"gene","statistic","df","p_intercept","p_sex","pvalue","phi_raw","phi_used","padj_intercept","padj_sex","padj"
"1700025G04Rik",NA,63,0.217658265306739,0.158739980192862,0.217658265306739,1.12814304851752,2.35257215042395,0.688711297534802,0.997604848237709,0.688711297534802
"2210408F21Rik",NA,115,0.696460805908196,0.13465868940502,0.696460805908196,1.09924544874548,1.75390549622472,0.954355580623307,0.997604848237709,0.954355580623307
"2610037D02Rik",NA,95,0.0201225944738354,0.930692888127794,0.0201225944738354,0.958291981082268,1.53945880265177,0.194296938150666,0.997604848237709,0.194296938150666
"2610203C22Rik",NA,91,0.0103770154892774,0.846709382734312,0.0103770154892774,0.99064019612017,1.62227193000059,0.129710176588141,0.997604848237709,0.129710176588141
"2610307P16Rik",NA,28,0.321393490743505,0.420774925835204,0.321393490743505,0.659775004211537,1.72487636901541,0.801468552152127,0.997604848237709,0.801468552152127
"4632427E13Rik",NA,91,0.231971249247255,0.701358330026373,0.231971249247255,0.955321023646262,1.67132685521188,0.697276280776991,0.997604848237709,0.697276280776991
"4732440D04Rik",NA,70,0.0268004723328921,0.244970500588235,0.0268004723328921,0.959798242339754,1.72213985192988,0.236467960626854,0.997604848237709,0.236467960626854
"4732471J01Rik",NA,112,0.183385265825145,0.754172909247114,0.183385265825145,0.979593946828542,1.59988223674881,0.640482935300818,0.997604848237709,0.640482935300818
"4933406I18Rik",NA,222,0.00634038904246032,0.145885986396071,0.00634038904246032,1.08086806652148,1.58553945206409,0.0907606739154984,0.997604848237709,0.0907606739154984
"5031425E22Rik",NA,168,0.182981467580079,0.52984364614017,0.182981467580079,0.997428982113532,1.82197353774678,0.640482935300818,0.997604848237709,0.640482935300818
"5033421B08Rik",NA,135,0.664847738838676,0.344216513278567,0.664847738838676,0.937419642922929,1.59943562518301,0.937410711283425,0.997604848237709,0.937410711283425
"9530026P05Rik",NA,49,0.371008602978772,0.411610341048641,0.371008602978772,0.825950512010674,1.72006555139596,0.843310128519802,0.997604848237709,0.843310128519802
"AW554918",NA,121,0.840370392562102,0.805836807856486,0.840370392562102,0.945131368596017,1.54650629712936,0.978776840329672,0.997604848237709,0.978776840329672
"Aak1",NA,108,0.523391143641639,0.651523666398274,0.523391143641639,0.856187820807029,1.53339598186432,0.915178596988346,0.997604848237709,0.915178596988346
"Abca1",NA,469,0.660016818356525,0.800222959913215,0.660016818356525,1.1826507209587,1.79065818904782,0.937410711283425,0.997604848237709,0.937410711283425
"Abca6",NA,45,0.383099158317908,0.817097027426247,0.383099158317908,1.1070953242538,1.5935590543947,0.848402958401134,0.997604848237709,0.848402958401134
"Abca8a",NA,32,0.291449375949451,0.778285649975662,0.291449375949451,0.870493212108081,1.81517111539036,0.769021862817343,0.997604848237709,0.769021862817343
"Abca9",NA,360,0.536895039342906,0.932600805513366,0.536895039342906,1.15343236667907,1.74221234763614,0.918049773484119,0.997604848237709,0.918049773484119
"Abcb1b",NA,53,6.2797335838462e-05,0.704293010732484,6.2797335838462e-05,1.08889472959895,1.21137535745579,0.00229546690109521,0.997604848237709,0.00229546690109521
"Abcc1",NA,127,0.793491500676871,0.657777499251638,0.793491500676871,0.84511441830059,1.57043625977053,0.967088517731772,0.997604848237709,0.967088517731772
"Abcc5",NA,101,0.396915058708298,0.926793159514734,0.396915058708298,0.879704642568473,1.54935255165791,0.862510748594359,0.997604848237709,0.862510748594359
"Abhd12",NA,124,0.458545761587918,0.803870955151707,0.458545761587918,1.08523666041994,1.8359722190852,0.887007135089303,0.997604848237709,0.887007135089303
"Abi1",NA,287,0.167370102901629,0.653594560178903,0.167370102901629,0.949815395550683,1.59697162271092,0.624055738870007,0.997604848237709,0.624055738870007
"Abl2",NA,158,0.636036478882119,0.148493376650189,0.636036478882119,0.927272152933562,1.58811945850156,0.934750177883671,0.997604848237709,0.934750177883671
"Ablim1",NA,82,0.838321687794027,0.957509121947345,0.838321687794027,0.73799864616011,1.54352799993375,0.978360601433509,0.997604848237709,0.978360601433509
"Ablim3",NA,31,0.759876734442852,0.524050347430779,0.759876734442852,0.606813377378508,1.32590121916696,0.964403927344954,0.997604848237709,0.964403927344954
"Abr",NA,143,0.00233918587611675,0.640425574116473,0.00233918587611675,1.0598604102646,1.49378628405437,0.0412785645552671,0.997604848237709,0.0412785645552671
"Abtb2",NA,52,0.230580114403898,0.387363372907763,0.230580114403898,1.05792325274236,1.86663691183221,0.696963852062978,0.997604848237709,0.696963852062978
"Acaca",NA,56,0.321310802212359,0.218598658166992,0.321310802212359,0.908734491789727,1.56643248055239,0.801468552152127,0.997604848237709,0.801468552152127
"Acap2",NA,142,0.937381951712053,0.202664674550539,0.937381951712053,0.956401339914545,1.65329796070505,0.995559574040746,0.997604848237709,0.995559574040746
"Acbd3",NA,61,0.0681920353259744,0.8655516378547,0.0681920353259744,1.05671115101509,1.86839546501255,0.415443739024612,0.997604848237709,0.415443739024612
