"gene","statistic","df","p_intercept","p_sex","pvalue","phi_raw","phi_used","padj_intercept","padj_sex","padj"
"2210408F21Rik",NA,147,0.593582568258272,0.659453493413736,0.593582568258272,1.00652524138843,1.75431993720887,0.877369365741048,0.997446656819287,0.877369365741048
"2210408I21Rik",NA,46,0.156181488121517,0.932873624401949,0.156181488121517,1.03188186972268,1.59240760146611,0.529204238768889,0.997446656819287,0.529204238768889
"2610307P16Rik",NA,142,0.66645167420601,0.409551120337599,0.66645167420601,1.03041839337733,1.63951694588742,0.901465534854944,0.997446656819287,0.901465534854944
"4632427E13Rik",NA,145,0.960569026353663,0.71046859637741,0.960569026353663,1.05195440127914,1.90067030059274,0.985898432728101,0.997446656819287,0.985898432728101
"4833422C13Rik",NA,201,0.000538588732388265,0.779699588597667,0.000538588732388265,0.994437503874491,1.65135152881961,0.00898437028313612,0.997446656819287,0.00898437028313612
"4930523C07Rik",NA,82,0.0156259221823917,0.987040833647962,0.0156259221823917,0.901101347904766,1.42518073275208,0.123542447254534,0.997446656819287,0.123542447254534
"4933431K23Rik",NA,63,0.425082125936448,0.754979788608838,0.425082125936448,0.983191956869531,1.5701949926334,0.801454791474488,0.997446656819287,0.801454791474488
"5031425E22Rik",NA,161,0.757083934548619,0.952077036527689,0.757083934548619,1.0580667412206,1.87312862021663,0.926509771291647,0.997446656819287,0.926509771291647
"9330188P03Rik",NA,53,0.516229904240593,0.0704024717813311,0.516229904240593,0.918623814604835,1.31528122173926,0.856880414079839,0.997446656819287,0.856880414079839
"9530026P05Rik",NA,768,0.279798825789243,0.695602376923,0.279798825789243,1.35739516816963,1.92520251285171,0.687272843928918,0.997446656819287,0.687272843928918
"9630014M24Rik",NA,110,0.166890378776074,0.888012775531574,0.166890378776074,0.921702650990386,1.55066038754757,0.540169712115311,0.997446656819287,0.540169712115311
"A830082K12Rik",NA,105,0.934949966656473,0.6726935873229,0.934949966656473,1.12052628173555,1.83448907977343,0.978795896127259,0.997446656819287,0.978795896127259
"AW554918",NA,201,0.822769165120472,0.303251110468355,0.822769165120472,1.01609497064053,1.53207285886929,0.940308514664155,0.997446656819287,0.940308514664155
"Aak1",NA,103,0.488951765862751,0.123011029430833,0.488951765862751,0.983088287400448,1.63619594065796,0.846327001801204,0.997446656819287,0.846327001801204
"Abca6",NA,161,0.108844981736873,0.863759860406068,0.108844981736873,1.35629533995507,1.904480815393,0.440604486070864,0.997446656819287,0.440604486070864
"Abca8a",NA,319,3.41401248302456e-11,0.611983671997841,3.41401248302456e-11,1.17971856761318,1.41467015806246,1.72749031641043e-09,0.997446656819287,1.72749031641043e-09
"Abca8b",NA,122,7.0425920252012e-06,0.848649819900411,7.0425920252012e-06,1.13246367919713,1.32467823864443,0.00017817757823759,0.997446656819287,0.00017817757823759
"Abca9",NA,98,0.217549949249338,0.565850288065019,0.217549949249338,0.990212568058276,1.34362728640492,0.629030138972373,0.997446656819287,0.629030138972373
"Abcc9",NA,501,0.000685592621685632,0.593990876918293,0.000685592621685632,1.10013930152989,1.59587915695579,0.0108950973159581,0.997446656819287,0.0108950973159581
"Abcg2",NA,80,0.888567768606644,0.949732722924946,0.888567768606644,1.09672728971702,2.19979782572931,0.965530331241865,0.997446656819287,0.965530331241865
"Abhd17b",NA,80,0.00630106441595117,0.313142554232019,0.00630106441595117,1.06663193396609,1.53975045175236,0.0673592660803794,0.997446656819287,0.0673592660803794
"Abi1",NA,266,6.24334713836603e-05,0.332656297829938,6.24334713836603e-05,1.0524941817417,1.67025120063201,0.00139373543471171,0.997446656819287,0.00139373543471171
"Abi2",NA,172,0.862463980385038,0.0346210779577841,0.862463980385038,0.886731266152239,1.55323375296523,0.955763858656946,0.997446656819287,0.955763858656946
"Ablim1",NA,114,0.0514077777704473,0.436245311587024,0.0514077777704473,1.18447017724678,1.78076104000999,0.265431995427003,0.997446656819287,0.265431995427003
"Abr",NA,98,0.847424441824363,0.197739858876011,0.847424441824363,1.07830803781049,1.67656768936164,0.948628827051577,0.997446656819287,0.948628827051577
"Acaca",NA,90,0.609580037865357,0.5582886164442,0.609580037865357,1.08148918654474,2.20816754821093,0.886343388390433,0.997446656819287,0.886343388390433
"Acap2",NA,157,0.693297683857433,0.682304260957327,0.693297683857433,0.961658376423532,1.42048942985635,0.912058249555357,0.997446656819287,0.912058249555357
"Acbd6",NA,64,0.935882901322638,0.330824467043527,0.935882901322638,1.17054190685456,1.83725236292332,0.978842658854859,0.997446656819287,0.978842658854859
"Acer2",NA,209,0.37501777582464,0.244690748355288,0.37501777582464,1.09707436201228,1.74926864510791,0.773030572903171,0.997446656819287,0.773030572903171
"Acer3",NA,66,0.0615653486913109,0.26860705422678,0.0615653486913109,1.06253026198039,1.63837339180679,0.301272115473118,0.997446656819287,0.301272115473118
"Actr2",NA,126,0.352106402805669,0.424755833042128,0.352106402805669,0.930396167834314,1.64363157227692,0.757605572806855,0.997446656819287,0.757605572806855
"Actr3",NA,127,0.205106971995714,0.61206464327895,0.205106971995714,0.88361913079835,1.45714706144774,0.605743936749987,0.997446656819287,0.605743936749987
"Acvr1",NA,101,0.581031794659833,0.902046968075607,0.581031794659833,1.01274574997913,1.75648212793055,0.877369365741048,0.997446656819287,0.877369365741048
"Acyp2",NA,193,0.00548238084868572,0.508400452972129,0.00548238084868572,1.11919590630009,1.67090152418923,0.0611930450610656,0.997446656819287,0.0611930450610656
"Adam19",NA,80,0.963004920686253,0.317676619744844,0.963004920686253,0.832009309116054,1.27304514803185,0.9863977527677,0.997446656819287,0.9863977527677
"Adam22",NA,109,0.605678809277381,0.428791425437982,0.605678809277381,1.09535325759799,1.73756398856091,0.88430802854938,0.997446656819287,0.88430802854938
"Adam9",NA,73,0.856072823876433,0.122826627182072,0.856072823876433,1.14889898320269,1.83273096736159,0.953425199298918,0.997446656819287,0.953425199298918
"Adamts12",NA,232,0.589668188430011,0.510286935421588,0.589668188430011,1.09138563878443,1.6342672620433,0.877369365741048,0.997446656819287,0.877369365741048
"Adamts17",NA,49,0.806324670333988,0.646817197431306,0.806324670333988,0.955143714662651,2.22387178513925,0.935357154801346,0.997446656819287,0.935357154801346
"Adamts2",NA,197,0.00621828522893937,0.631969943302978,0.00621828522893937,0.918769199490149,1.58649507079485,0.0673592660803794,0.997446656819287,0.0673592660803794
"Adamts9",NA,154,0.0325231087046814,0.133006576370903,0.0325231087046814,1.41252612959246,2.28016985304566,0.206569368258186,0.997446656819287,0.206569368258186
"Adap2",NA,353,0.0472751369626302,0.803893173852863,0.0472751369626302,1.08371888834387,1.74041114882181,0.252688936300256,0.997446656819287,0.252688936300256
"Adap2os",NA,168,0.0429540569613445,0.461998122155087,0.0429540569613445,1.11051686460738,1.96355407991868,0.243299471892989,0.997446656819287,0.243299471892989
"Adcy3",NA,70,0.362145810095057,0.279857722577407,0.362145810095057,0.972005421990895,1.70704605055548,0.762240635775512,0.997446656819287,0.762240635775512
"Adcy6",NA,155,0.0623967372901288,0.822988987517567,0.0623967372901288,0.940804316406371,1.49168605457863,0.301272115473118,0.997446656819287,0.301272115473118
"Adcy9",NA,174,0.803423177868231,0.362867118616208,0.803423177868231,1.06744164940701,1.70076069756707,0.935357154801346,0.997446656819287,0.935357154801346
"Adgra3",NA,69,0.89911789366317,0.371429211294523,0.89911789366317,1.16820712871208,1.98035630587915,0.969735179821494,0.997446656819287,0.969735179821494
"Adgrl2",NA,215,0.70529734573632,0.317371157314393,0.70529734573632,1.02120275304381,1.76463251436721,0.915860881803023,0.997446656819287,0.915860881803023
"Adgrl3",NA,380,0.00164270486502591,0.0470197536023471,0.00164270486502591,1.16312317930868,1.75263724463662,0.0233049157486854,0.997446656819287,0.0233049157486854
"Adk",NA,60,0.855074141526781,0.0613726846311128,0.855074141526781,1.42148122342547,1.98249167924142,0.95333473040863,0.997446656819287,0.95333473040863
"Aebp2",NA,73,0.574202320581491,0.851313911189136,0.574202320581491,0.997818902283847,1.54413604788251,0.876757859873402,0.997446656819287,0.876757859873402
"Aff1",NA,187,0.692080065226751,0.234535692595633,0.692080065226751,1.03972057287853,1.71072430595552,0.912058249555357,0.997446656819287,0.912058249555357
"Aff4",NA,77,0.487952051033712,0.999076950447537,0.487952051033712,0.953878698057715,1.42981213434942,0.846327001801204,0.999773758209776,0.846327001801204
"Afg2a",NA,121,0.560533558867777,0.709638762692687,0.560533558867777,0.978752112882436,1.77457936034565,0.871813465534105,0.997446656819287,0.871813465534105
"Aftph",NA,81,0.027962234793877,0.728913677159506,0.027962234793877,0.997068337212583,1.72631754586526,0.18542693337223,0.997446656819287,0.18542693337223
"Agap1",NA,123,0.558839416971921,0.318062177184202,0.558839416971921,1.00647939579901,1.59722400324375,0.870069984577822,0.997446656819287,0.870069984577822
"Agfg1",NA,101,0.373583492730104,0.654629006893599,0.373583492730104,0.936689438095526,1.75697650428012,0.773030572903171,0.997446656819287,0.773030572903171
"Agl",NA,60,0.815083574254748,0.337710262929772,0.815083574254748,0.938691953338961,1.53794696688033,0.939481295154675,0.997446656819287,0.939481295154675
"Agmo",NA,188,0.00106555591373453,0.978956428805075,0.00106555591373453,1.22022103831866,1.7772407743241,0.0163385240105962,0.997446656819287,0.0163385240105962
"Ago2",NA,91,0.419094358945849,0.883271941631684,0.419094358945849,0.888432657611412,1.67978763419961,0.799926345957614,0.997446656819287,0.799926345957614
"Ago3",NA,196,0.788984052630866,0.627007395658751,0.788984052630866,1.03770623046593,1.71744509450229,0.931320211425859,0.997446656819287,0.931320211425859
"Agtpbp1",NA,88,0.464510674875086,0.813799234112349,0.464510674875086,0.973297263104957,1.63707691621366,0.832731819881001,0.997446656819287,0.832731819881001
"Agtr1a",NA,107,0.969676056328495,0.0833038039773389,0.969676056328495,1.15160475499858,1.74309984043205,0.989225976818989,0.997446656819287,0.989225976818989
"Aig1",NA,144,0.00896059350733183,0.656675669758435,0.00896059350733183,1.0415212931153,1.56548225431362,0.0855483078247152,0.997446656819287,0.0855483078247152
"Airn",NA,557,6.31950903771322e-33,9.35054020224341e-25,6.31950903771322e-33,1.58725462745231,1.33415742071739,1.06589052436096e-30,2.3625698244335e-22,1.06589052436096e-30
"Akap10",NA,78,0.475079667968784,0.514876074985151,0.475079667968784,1.03627445797678,1.82339357634214,0.843474778920017,0.997446656819287,0.843474778920017
"Akap11",NA,110,0.709501582773251,0.745121252244686,0.709501582773251,0.862102627696735,1.37740979098517,0.916867821620445,0.997446656819287,0.916867821620445
"Akap13",NA,258,0.173516496108249,0.968847497250783,0.173516496108249,0.957682236901467,1.570529784566,0.549891526288771,0.997446656819287,0.549891526288771
"Akap6",NA,148,0.00189253311838632,0.684797689819225,0.00189253311838632,1.06635549028478,1.63083494669657,0.0260864921633106,0.997446656819287,0.0260864921633106
"Akt3",NA,389,0.411727093573285,0.948415797252998,0.411727093573285,1.0711112852611,1.634153743538,0.79564767470189,0.997446656819287,0.79564767470189
"Aldh1a1",NA,144,0.547139318854638,0.324097845158789,0.547139318854638,1.2568565181208,1.90032869440545,0.863365370084554,0.997446656819287,0.863365370084554
"Alpk1",NA,125,0.0807562596971528,0.408261447093985,0.0807562596971528,0.92928569782369,1.67303266530103,0.3594956076841,0.997446656819287,0.3594956076841
"Ambra1",NA,214,0.572029662122485,0.467334565170057,0.572029662122485,0.934296862227437,1.52466465276239,0.875343777320496,0.997446656819287,0.875343777320496
"Amn1",NA,63,0.30090252935507,0.670000184973398,0.30090252935507,1.05614583895072,1.87875151386803,0.713703186814058,0.997446656819287,0.713703186814058
"Anapc1",NA,123,0.416957253753304,0.705282025094278,0.416957253753304,0.979472805094816,1.56359982042822,0.799168069693832,0.997446656819287,0.799168069693832
"Ank2",NA,334,0.809950811258026,0.691156799327228,0.809950811258026,1.13980097367816,1.77634760671049,0.937122966074454,0.997446656819287,0.937122966074454
"Ank3",NA,83,0.000232382981739464,0.694016646330742,0.000232382981739464,1.1631280927497,1.49585909036129,0.0044866455717936,0.997446656819287,0.0044866455717936
"Ankhd1",NA,235,0.468897272445863,0.151858221984453,0.468897272445863,0.993261475299063,1.60428855590356,0.838227547684586,0.997446656819287,0.838227547684586
"Ankib1",NA,109,0.587056727312395,0.483317025309181,0.587056727312395,0.960324670462398,1.72346128003138,0.877369365741048,0.997446656819287,0.877369365741048
"Ankrd11",NA,274,0.947298959393132,0.877352324212417,0.947298959393132,0.946354612240803,1.59940402286348,0.980601021563746,0.997446656819287,0.980601021563746
"Ankrd12",NA,176,0.496790718071751,0.919508244620097,0.496790718071751,1.0124002882051,1.60471523161312,0.849260346528391,0.997446656819287,0.849260346528391
"Ankrd17",NA,312,0.145472066903676,0.415798675578548,0.145472066903676,1.01222307318699,1.64013289642843,0.518812355931409,0.997446656819287,0.518812355931409
"Ankrd44",NA,323,0.0612457146703629,0.290463904294821,0.0612457146703629,1.05184418834106,1.59893855212933,0.301272115473118,0.997446656819287,0.301272115473118
"Ankrd6",NA,56,0.599035206849908,0.071319348379588,0.599035206849908,1.09270061901238,1.54699713862337,0.88095997995773,0.997446656819287,0.88095997995773
"Anks1",NA,96,0.0149953649324605,0.306378031195606,0.0149953649324605,0.904341891536085,1.34502246564811,0.119805073513026,0.997446656819287,0.119805073513026
"Ano1",NA,427,0.34681372108872,0.44548777855597,0.34681372108872,1.04084614099467,1.71447132137823,0.755327444207572,0.997446656819287,0.755327444207572
"Ano4",NA,58,0.147853142228141,0.598312252150453,0.147853142228141,1.22724046418534,1.7031086871894,0.521548195876735,0.997446656819287,0.521548195876735
"Ano6",NA,231,0.00016947208696869,0.056362789038538,0.00016947208696869,0.996916092512467,1.60600678772192,0.0034348662585586,0.997446656819287,0.0034348662585586
"Antxr2",NA,60,0.729664599478881,0.484282747010063,0.729664599478881,1.15044361522724,1.78464871218228,0.916867821620445,0.997446656819287,0.916867821620445
"Anxa2",NA,56,0.815705777900736,0.599648648322773,0.815705777900736,0.965855485744367,1.71367045332516,0.939485106868982,0.997446656819287,0.939485106868982
"Aopep",NA,228,0.473576496201993,0.961485638624078,0.473576496201993,1.03023963424675,1.80695212850673,0.843104971292004,0.997446656819287,0.843104971292004
"Ap1g1",NA,155,0.343075653717098,0.808898704865849,0.343075653717098,0.93049989700908,1.48787924256544,0.751364622526114,0.997446656819287,0.751364622526114
"Ap2b1",NA,157,0.528181206979571,0.830809324132117,0.528181206979571,0.840048360939877,1.52558525312564,0.859355918751329,0.997446656819287,0.859355918751329
"Ap3b1",NA,148,0.633865559723818,0.920912244481048,0.633865559723818,0.960854714536211,1.6473845682868,0.895125279162232,0.997446656819287,0.895125279162232
"Apbb2",NA,450,0.0902426458391535,0.0983411640017406,0.0902426458391535,1.05233463573095,1.60577047987247,0.386972701649251,0.997446656819287,0.386972701649251
"Apc",NA,135,0.170690142131053,0.186748461820873,0.170690142131053,0.956698562541444,1.54343779020069,0.54434377259441,0.997446656819287,0.54434377259441
"Apobec1",NA,112,8.21577238254077e-05,0.814357392671832,8.21577238254077e-05,0.994543160381291,1.33290112687109,0.00178164892524241,0.997446656819287,0.00178164892524241
"Apold1",NA,64,0.119766959796581,0.390326519924395,0.119766959796581,0.827070636579741,1.35498436110694,0.467899137776382,0.997446656819287,0.467899137776382
"App",NA,293,0.391582387549626,0.450407413982601,0.391582387549626,1.0816212055097,1.69211986830431,0.785222070417268,0.997446656819287,0.785222070417268
"Appl1",NA,117,0.165947206875647,0.598325223452817,0.165947206875647,1.00192533972995,1.61591163902986,0.539290810564192,0.997446656819287,0.539290810564192
"Arap2",NA,157,0.346126589080293,0.448126090948103,0.346126589080293,0.8827408471575,1.55363260771164,0.755311549446248,0.997446656819287,0.755311549446248
"Arb2a",NA,305,0.502470022364314,0.87813119961335,0.502470022364314,1.03972420810306,1.75258682588876,0.850091288749011,0.997446656819287,0.850091288749011
"Arf4",NA,101,0.409951870004308,0.524929972513807,0.409951870004308,0.8982649480423,1.47513712621003,0.795489748805556,0.997446656819287,0.795489748805556
"Arfgef1",NA,179,0.568868265137205,0.918156591429614,0.568868265137205,0.935853321435494,1.68044941363502,0.874030391172345,0.997446656819287,0.874030391172345
"Arfgef2",NA,92,0.342074906332836,0.687125889287808,0.342074906332836,0.985934930542414,1.45936563388593,0.750389751175209,0.997446656819287,0.750389751175209
"Arhgap10",NA,570,0.593099492254052,0.201090728840168,0.593099492254052,1.09075447002638,1.57299988685714,0.877369365741048,0.997446656819287,0.877369365741048
"Arhgap15",NA,72,0.836394901523846,0.765807434616351,0.836394901523846,1.23936069744959,1.67170894704689,0.943274487751262,0.997446656819287,0.943274487751262
"Arhgap21",NA,116,0.378181862801501,0.288112956687259,0.378181862801501,0.97347955433723,1.76931200196513,0.773030572903171,0.997446656819287,0.773030572903171
"Arhgap24",NA,111,0.508281282941602,0.778313394518365,0.508281282941602,1.26670186390861,2.21018490014208,0.854544084560439,0.997446656819287,0.854544084560439
"Arhgap26",NA,374,0.980812675108067,0.283283451360269,0.980812675108067,0.926006892503367,1.46573022619746,0.989862645246344,0.997446656819287,0.989862645246344
"Arhgap29",NA,116,0.0842249464613196,0.943257367519054,0.0842249464613196,0.986742366427891,1.63297774726934,0.368453800369692,0.997446656819287,0.368453800369692
"Arhgap32",NA,274,0.838257824281914,0.678799218616106,0.838257824281914,1.04390475283293,1.66561737266523,0.943429085924843,0.997446656819287,0.943429085924843
"Arhgap35",NA,111,0.413023957618636,0.0277314666191588,0.413023957618636,1.03056816400173,1.40425028490141,0.79564767470189,0.997446656819287,0.79564767470189
"Arhgap42",NA,530,7.16025608779169e-05,0.259726765628988,7.16025608779169e-05,1.10938367997643,1.58219340984181,0.00157525633931417,0.997446656819287,0.00157525633931417
"Arhgap5",NA,111,0.670409403471504,0.074407256197525,0.670409403471504,0.957619242099737,1.48867481776438,0.901465534854944,0.997446656819287,0.901465534854944
"Arhgef11",NA,102,0.911718146619422,0.422066007960594,0.911718146619422,0.907730466964715,1.51261592502661,0.970920508676513,0.997446656819287,0.970920508676513
"Arhgef12",NA,402,0.0900726056999659,0.806007075845724,0.0900726056999659,0.986826485457219,1.52496586167439,0.386972701649251,0.997446656819287,0.386972701649251
"Arhgef17",NA,274,0.713493471373267,0.0497617386592929,0.713493471373267,0.937446426511303,1.40311733543854,0.916867821620445,0.997446656819287,0.916867821620445
"Arid1a",NA,162,0.873290074342238,0.362142680878226,0.873290074342238,0.928767961492041,1.57861470872963,0.958290917232399,0.997446656819287,0.958290917232399
"Arid1b",NA,326,0.573010231685248,0.895910636674286,0.573010231685248,0.949122995762697,1.52809870445267,0.875961260521859,0.997446656819287,0.875961260521859
"Arid2",NA,136,0.805853769611103,0.233477845285818,0.805853769611103,1.01966251653002,1.82804701994174,0.935357154801346,0.997446656819287,0.935357154801346
"Arid4b",NA,175,0.293237821397747,0.99800620921165,0.293237821397747,1.04836473086625,1.65200928681876,0.703214870271375,0.999773758209776,0.703214870271375
"Arid5b",NA,112,0.504006692934196,0.445276017690075,0.504006692934196,0.92659779637848,1.64158646394739,0.850091288749011,0.997446656819287,0.850091288749011
"Arih1",NA,287,0.189598843880907,0.771656292082433,0.189598843880907,1.00033691711246,1.66722697448551,0.579096670042689,0.997446656819287,0.579096670042689
"Arl13b",NA,81,0.556058002757509,0.63259059740708,0.556058002757509,0.968464145065594,1.61035050760666,0.869305919861893,0.997446656819287,0.869305919861893
"Arl15",NA,398,0.255851477045815,0.364856466837328,0.255851477045815,1.06879561358157,1.6545697723064,0.665038599581415,0.997446656819287,0.665038599581415
"Armh3",NA,85,0.816414640631613,0.677977254068824,0.816414640631613,0.995771821744303,1.55388671518143,0.939512745663766,0.997446656819287,0.939512745663766
"Arnt",NA,124,0.37884103790748,0.43033395565664,0.37884103790748,0.851740802765076,1.42436378087538,0.773030572903171,0.997446656819287,0.773030572903171
"Arpc2",NA,111,0.512928522299408,0.241517409624431,0.512928522299408,0.894248924189846,1.51611991094392,0.856656911331739,0.997446656819287,0.856656911331739
"Arrdc3",NA,60,0.91438808882237,0.349358920018276,0.91438808882237,1.01937655638151,1.7477366409095,0.970920508676513,0.997446656819287,0.970920508676513
"Art3",NA,283,0.778256805438758,0.386742714913998,0.778256805438758,0.999631740647854,1.53519425362611,0.930679621466713,0.997446656819287,0.930679621466713
"Asap1",NA,357,0.274587400831747,0.587128590562585,0.274587400831747,1.16624329587957,1.88205035209097,0.681344046603824,0.997446656819287,0.681344046603824
"Asb3",NA,114,0.733940976956543,0.155991784912497,0.733940976956543,1.00656233447299,1.53694388114764,0.918014052541858,0.997446656819287,0.918014052541858
"Ascc3",NA,138,0.548703931928271,0.444261114481465,0.548703931928271,0.957111593076557,1.76853819465382,0.864760733178557,0.997446656819287,0.864760733178557
"Ash1l",NA,199,0.716180626822795,0.846306895806963,0.716180626822795,1.01278214410586,1.83372312589892,0.916867821620445,0.997446656819287,0.916867821620445
"Asph",NA,167,0.590545733529099,0.233542755064818,0.590545733529099,1.11165086363087,1.91024128943653,0.877369365741048,0.997446656819287,0.877369365741048
"Aspn",NA,192,0.388087703541664,0.713081102387893,0.388087703541664,0.918538966619841,1.62389255011685,0.782943955845132,0.997446656819287,0.782943955845132
"Asxl1",NA,92,0.532674841399897,0.247177873385273,0.532674841399897,0.989241022675284,1.63802933136344,0.860213201324514,0.997446656819287,0.860213201324514
"Atad2b",NA,163,0.735284887861582,0.178504422191553,0.735284887861582,1.0469925227479,1.77221156488253,0.918652230266569,0.997446656819287,0.918652230266569
"Ate1",NA,432,0.0676099426696684,0.751206835851128,0.0676099426696684,0.964863096803062,1.53594435478201,0.317328645271457,0.997446656819287,0.317328645271457
"Atf2",NA,86,0.627603347649266,0.573510031668979,0.627603347649266,1.05176517081453,1.87172527391532,0.895125279162232,0.997446656819287,0.895125279162232
"Atf6",NA,76,0.752547001863008,0.097744903188462,0.752547001863008,1.03651017325888,1.74707342085569,0.926478164079807,0.997446656819287,0.926478164079807
"Atf7",NA,128,0.914160210124803,0.704351858329326,0.914160210124803,1.02383672137876,1.60957103392214,0.970920508676513,0.997446656819287,0.970920508676513
"Atg10",NA,52,0.913636465400262,0.448176181693883,0.913636465400262,0.978917013396022,1.70312995059176,0.970920508676513,0.997446656819287,0.970920508676513
"Atg3",NA,61,0.906491581137484,0.400041670110122,0.906491581137484,0.853085708838355,1.43802864966576,0.969735179821494,0.997446656819287,0.969735179821494
"Atosa",NA,97,0.906229112980241,0.155381224330564,0.906229112980241,1.07893555267818,1.66961402522885,0.969735179821494,0.997446656819287,0.969735179821494
"Atp11b",NA,60,0.767846328585154,0.148500815085022,0.767846328585154,0.873963829319879,1.74781852375534,0.926529829521126,0.997446656819287,0.926529829521126
"Atp1a2",NA,140,0.0284370836742618,0.533492530290381,0.0284370836742618,1.09908462621257,1.56962379470914,0.187684752250128,0.997446656819287,0.187684752250128
"Atp1b1",NA,84,0.0544639637648161,0.837480172006802,0.0544639637648161,0.940778140793857,1.56166936490836,0.277437238238224,0.997446656819287,0.277437238238224
"Atp2a2",NA,167,0.804304053158793,0.642196515340879,0.804304053158793,1.04879640996019,2.02372728100221,0.935357154801346,0.997446656819287,0.935357154801346
"Atp2b1",NA,107,0.00140608485043861,0.201157533130453,0.00140608485043861,0.967774479159074,1.27373537770392,0.0207226874074351,0.997446656819287,0.0207226874074351
"Atp2c1",NA,180,0.518827358132742,0.963867306208546,0.518827358132742,1.01036715069883,1.87515557584172,0.856880414079839,0.997446656819287,0.856880414079839
"Atp6v0b",NA,178,0.947579392307407,0.696980393650728,0.947579392307407,1.09027917094494,1.73693367996967,0.980601021563746,0.997446656819287,0.980601021563746
"Atp6v0d1",NA,87,0.161818670915289,0.319871189496253,0.161818670915289,0.878829624638965,1.42462409377493,0.536333498797835,0.997446656819287,0.536333498797835
"Atp6v1h",NA,94,0.33033307154994,0.543877870647509,0.33033307154994,0.910757569101911,1.46220279596007,0.735257481836964,0.997446656819287,0.735257481836964
"Atp8a1",NA,184,3.95845694875391e-07,0.827734937188127,3.95845694875391e-07,1.0000308894411,1.29381030551451,1.17822306827616e-05,0.997446656819287,1.17822306827616e-05
"Atp9b",NA,135,0.503847021462747,0.912651123919264,0.503847021462747,0.983674874331366,1.66916061296693,0.850091288749011,0.997446656819287,0.850091288749011
"Atrnl1",NA,195,0.166052854285149,0.984137476910522,0.166052854285149,1.04619548495949,1.67583079264536,0.539290810564192,0.997446656819287,0.539290810564192
