celltype,condition,n_sig,n_bg,n_terms,top,padj
Cardiomyocyte,F1_Aged,2220,6536,11,metal ion transport,0.012625855895019822
Cardiomyocyte,F1_Young,2415,6169,18,striated muscle tissue development,0.0034654498185349206
Coronary_EC,F1_Aged,101,1490,0,NA,NA
Coronary_EC,F1_Young,52,1135,0,NA,NA
Endocardial_EC,F1_Aged,121,1919,0,NA,NA
Endocardial_EC,F1_Young,95,1546,0,NA,NA
Fibroblast,F1_Aged,859,4128,11,extracellular matrix organization,0.006835566546147312
Fibroblast,F1_Young,554,3411,1,xenobiotic metabolic process,0.04208990582993244
Lymphatic_EC,F1_Aged,8,705,0,NA,NA
Lymphatic_EC,F1_Young,10,558,0,NA,NA
Mesothelial,F1_Aged,67,824,0,NA,NA
Mesothelial,F1_Young,93,1064,0,NA,NA
Myeloid,F1_Aged,262,2017,0,NA,NA
Myeloid,F1_Young,149,1548,0,NA,NA
Pericytes,F1_Aged,241,1505,0,NA,NA
Pericytes,F1_Young,158,1028,4,lipid localization,0.009350449272606132
