ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0048514,blood vessel morphogenesis,58/398,127/1514,0.4566929133858268,1.737269022276738,5.182251898178166,6.526760159413068e-7,6.56952306299344e-4,6.137436173210246e-4,Adamts9/Adgrf5/Akt3/Anxa3/Apoe/Arhgap24/B4galt1/C5ar1/Ccl2/Cd36/Cdc42/Cdh13/Chd7/Clic4/Col4a1/Dcn/Elk3/Emcn/Epas1/Fap/Fbxw7/Flt1/Fyn/Hdac9/Heg1/Hspg2/Nedd4/Nf1/Nrp1/Pecam1/Pkd2/Prcp/Ptprb/Ptprm/Pxn/Qki/Rbpj/Rhoa/Rhoj/Rock1/Rock2/Rora/Rtn4/Runx1/Sash1/Spred1/Syk/Tcf4/Tek/Tgfbi/Tgfbr3/Thsd7a/Vegfc/Wasf2/Wnk1/Xdh/Zfpm2/Zmiz1,58
GO:0001525,angiogenesis,49/398,102/1514,0.4803921568627451,1.8274214208296384,5.165809662470486,8.402990708414537e-7,6.56952306299344e-4,6.137436173210246e-4,Adamts9/Akt3/Anxa3/Arhgap24/B4galt1/C5ar1/Ccl2/Cd36/Cdc42/Cdh13/Clic4/Col4a1/Dcn/Elk3/Emcn/Epas1/Fap/Fbxw7/Flt1/Fyn/Hdac9/Hspg2/Nf1/Nrp1/Pecam1/Prcp/Ptprb/Ptprm/Pxn/Qki/Rbpj/Rhoa/Rhoj/Rock1/Rock2/Rora/Rtn4/Runx1/Sash1/Spred1/Syk/Tcf4/Tek/Tgfbi/Tgfbr3/Thsd7a/Vegfc/Wasf2/Wnk1,49
GO:0009653,anatomical structure morphogenesis,147/398,416/1514,0.35336538461538464,1.3442090258987245,4.921490513118439,9.011691444435446e-7,6.56952306299344e-4,6.137436173210246e-4,Abi1/Ablim1/Adamts9/Adarb1/Adgrf5/Adgrg6/Agfg1/Akap13/Akt3/Anxa3/Apbb2/Apoe/Arhgap15/Arhgap18/Arhgap24/Auts2/B4galt1/C5ar1/Capn2/Ccl2/Cd2ap/Cd36/Cd44/Cd9/Cdc42/Cdh13/Cebpb/Cflar/Chd7/Clasp2/Clic4/Col4a1/Csf3r/Cyrib/Dcn/Dlc1/Dnm3/Dock1/Dock10/Dst/Egfr/Elk3/Emcn/Epas1/Epb41/Eps8/Errfi1/Fap/Fbxw7/Fli1/Flnb/Flrt2/Flt1/Fmnl2/Foxn3/Fry/Fryl/Fyn/Gcnt1/Hdac9/Heg1/Hspg2/Insr/Itga1/Itpr1/Jmjd1c/Klf7/Kras/Lama2/Lamc1/Lats2/Lifr/Lims1/Lrp6/Mafb/Magi1/Mef2a/Mgp/Mtss1/Mycbp2/Myo10/Myo5a/Myo6/Nedd4/Nf1/Nfia/Nfib/Nrp1/Pakap/Palld/Pbx1/Pdlim5/Pecam1/Picalm/Pitpna/Pkd2/Prcp/Prex2/Prkg1/Ptprb/Ptprm/Pxn/Qki/Rbpj/Rere/Rhoa/Rhoj/Rock1/Rock2/Rora/Rtn4/Runx1/Sash1/Schip1/Sdk1/Sh3d19/Sh3pxd2a/Sh3pxd2b/Sik3/Sipa1l1/Snx2/Spag9/Spred1/Sptbn1/Srgap2/Syk/Tanc1/Tanc2/Tcf4/Tek/Tgfbi/Tgfbr3/Thsd7a/Tiam1/Ulk2/Vcl/Vegfc/Vim/Vps13b/Wasf2/Wnk1/Xdh/Zbtb16/Zeb1/Zeb2/Zfpm2/Zmiz1,147
GO:0035239,tube morphogenesis,69/398,165/1514,0.41818181818181815,1.5907720420283233,4.799376651647239,3.0157190652417498e-6,0.0016488443989209267,0.0015403975541142727,Adamts9/Adgrf5/Akt3/Anxa3/Apoe/Arhgap24/B4galt1/C5ar1/Ccl2/Cd36/Cd44/Cdc42/Cdh13/Chd7/Clic4/Col4a1/Dcn/Dlc1/Egfr/Elk3/Emcn/Epas1/Fap/Fbxw7/Flt1/Fyn/Hdac9/Heg1/Hspg2/Kras/Lrp6/Mgp/Mtss1/Nedd4/Nf1/Nfib/Nrp1/Pbx1/Pecam1/Pkd2/Prcp/Ptprb/Ptprm/Pxn/Qki/Rbpj/Rhoa/Rhoj/Rock1/Rock2/Rora/Rtn4/Runx1/Sash1/Spred1/Syk/Tcf4/Tek/Tgfbi/Tgfbr3/Thsd7a/Vegfc/Wasf2/Wnk1/Xdh/Zeb1/Zeb2/Zfpm2/Zmiz1,69
GO:0048870,cell motility,108/398,294/1514,0.3673469387755102,1.397395138960107,4.531533584480647,6.7608849578870446e-6,0.002757171009291721,0.002575827944569697,Abi1/Adamts9/Adarb1/Akt3/Ano6/Anxa3/Apbb2/Apoe/Arhgap18/Arhgap24/Auts2/B4galt1/C5ar1/Camk1d/Ccl2/Cd2ap/Cd44/Cd74/Cd9/Cdc42/Cdh13/Cep128/Cep85l/Clasp2/Clic4/Csf3r/Cyrib/Dach1/Dcn/Dlc1/Dock1/Dock10/Dock8/Dpysl3/Dst/Egfr/Elmo1/Eps8/Errfi1/Fap/Fbxw7/Flrt2/Flt1/Fmnl2/Fyn/Gcnt1/Hdac9/Il6st/Insr/Itga1/Itgam/Kcnq1ot1/Kitl/Lama2/Lamc1/Lcp1/Ldb2/Ldlrad4/Lgmn/Limch1/Lrp6/Lyve1/Mctp1/Myo10/Myo5a/Nav1/Nav3/Nedd9/Nf1/Nrp1/Palld/Pde4b/Pdgfd/Pecam1/Plcb1/Prcp/Prkce/Prkg1/Ptprb/Ptprc/Ptprg/Ptprk/Ptprm/Pxn/Rere/Rhoa/Rhoj/Rock1/Rock2/Rtn4/Sash1/Schip1/Spag9/Spred1/Srgap2/Ssh2/St3gal4/Syk/Tek/Tgfbr3/Tiam1/Vcl/Vegfc/Vim/Wasf2/Wnk1/Zeb2/Zmiz1,108
GO:0048646,anatomical structure formation involved in morphogenesis,73/398,181/1514,0.40331491712707185,1.5342180515838864,4.572689100824295,7.5642551695246124e-6,0.002757171009291721,0.002575827944569697,Abi1/Adamts9/Adgrg6/Agfg1/Akap13/Akt3/Anxa3/Arhgap24/B4galt1/C5ar1/Capn2/Ccl2/Cd36/Cd44/Cd9/Cdc42/Cdh13/Cflar/Clasp2/Clic4/Col4a1/Csf3r/Dcn/Dlc1/Dock1/Elk3/Emcn/Epas1/Fap/Fbxw7/Flt1/Fyn/Hdac9/Hspg2/Lats2/Lrp6/Mafb/Mef2a/Nf1/Nfib/Nrp1/Pecam1/Prcp/Ptprb/Ptprm/Pxn/Qki/Rbpj/Rhoa/Rhoj/Rock1/Rock2/Rora/Rtn4/Runx1/Sash1/Sdk1/Sh3pxd2a/Spred1/Sptbn1/Syk/Tanc1/Tcf4/Tek/Tgfbi/Tgfbr3/Thsd7a/Vegfc/Vps13b/Wasf2/Wnk1/Zeb2/Zfpm2,73
GO:0001568,blood vessel development,62/398,148/1514,0.4189189189189189,1.5935759880483498,4.538483228229983,9.875875932037713e-6,0.003085505809052354,0.0028825676968549175,Adamts9/Adgrf5/Akt3/Ankrd17/Anxa3/Apoe/Arhgap24/B4galt1/C5ar1/Ccl2/Cd36/Cdc42/Cdh13/Cflar/Chd7/Clic4/Col4a1/Dcn/Elk3/Emcn/Epas1/Fap/Fbxw7/Flt1/Fyn/Hdac9/Heg1/Hspg2/Il6ra/Nedd4/Nf1/Nrp1/Pdgfd/Pecam1/Pkd2/Prcp/Ptprb/Ptprm/Pxn/Qki/Rbpj/Rhoa/Rhoj/Rock1/Rock2/Rora/Rtn4/Runx1/Sash1/Spred1/Syk/Tcf4/Tek/Tgfbi/Tgfbr3/Thsd7a/Vegfc/Wasf2/Wnk1/Xdh/Zfpm2/Zmiz1,62
GO:0016477,cell migration,103/398,283/1514,0.36395759717314485,1.3845020153772394,4.282444216870064,1.9868032104536806e-5,0.00543142327657775,0.005074190830908677,Abi1/Adamts9/Adarb1/Akt3/Ano6/Anxa3/Apbb2/Apoe/Arhgap24/Auts2/B4galt1/C5ar1/Camk1d/Ccl2/Cd2ap/Cd44/Cd74/Cd9/Cdc42/Cdh13/Cep85l/Clasp2/Clic4/Csf3r/Cyrib/Dach1/Dcn/Dlc1/Dock1/Dock10/Dock8/Dpysl3/Egfr/Eps8/Errfi1/Fap/Fbxw7/Flrt2/Flt1/Fmnl2/Fyn/Gcnt1/Hdac9/Il6st/Insr/Itga1/Itgam/Kcnq1ot1/Kitl/Lama2/Lamc1/Lcp1/Ldb2/Ldlrad4/Lgmn/Limch1/Lrp6/Lyve1/Mctp1/Myo5a/Nav1/Nav3/Nedd9/Nf1/Nrp1/Palld/Pde4b/Pdgfd/Pecam1/Plcb1/Prcp/Prkce/Prkg1/Ptprb/Ptprc/Ptprg/Ptprk/Ptprm/Pxn/Rere/Rhoa/Rhoj/Rock1/Rock2/Rtn4/Sash1/Schip1/Spag9/Spred1/Srgap2/Ssh2/St3gal4/Syk/Tek/Tgfbr3/Tiam1/Vcl/Vegfc/Vim/Wasf2/Wnk1/Zeb2/Zmiz1,103
GO:0035295,tube development,75/398,193/1514,0.38860103626943004,1.4782461530450177,4.246270276972016,2.8016279549198928e-5,0.00680795593045534,0.006360186971344458,Adamts9/Adgrf5/Akt3/Anxa3/Apoe/Arhgap24/Atxn1/B4galt1/C5ar1/Ccl2/Cd36/Cd44/Cdc42/Cdh13/Chd7/Clic4/Col4a1/Dcn/Dlc1/Egfr/Elk3/Emcn/Epas1/Errfi1/Fap/Fbxw7/Flt1/Fyn/Hdac9/Heg1/Hspg2/Il6st/Jmjd1c/Kras/Lrp6/Mgp/Mtss1/Nedd4/Nf1/Nfia/Nfib/Nrp1/Pbx1/Pecam1/Pkd2/Prcp/Ptprb/Ptprm/Pxn/Qki/Rbpj/Rhoa/Rhoj/Rock1/Rock2/Rora/Rtn4/Runx1/Sash1/Spred1/Syk/Tcf4/Tek/Tgfbi/Tgfbr3/Thsd7a/Vegfc/Wasf2/Wnk1/Wwp1/Xdh/Zeb1/Zeb2/Zfpm2/Zmiz1,75
GO:0001944,vasculature development,63/398,156/1514,0.40384615384615385,1.5362388867413992,4.221819113235297,3.4480594534286306e-5,0.007540906024648414,0.007044929893794708,Adamts9/Adgrf5/Akt3/Ankrd17/Anxa3/Apoe/Arhgap24/B4galt1/C5ar1/Ccl2/Cd36/Cdc42/Cdh13/Cflar/Chd7/Clic4/Col4a1/Dcn/Elk3/Emcn/Epas1/Errfi1/Fap/Fbxw7/Flt1/Fyn/Hdac9/Heg1/Hspg2/Il6ra/Nedd4/Nf1/Nrp1/Pdgfd/Pecam1/Pkd2/Prcp/Ptprb/Ptprm/Pxn/Qki/Rbpj/Rhoa/Rhoj/Rock1/Rock2/Rora/Rtn4/Runx1/Sash1/Spred1/Syk/Tcf4/Tek/Tgfbi/Tgfbr3/Thsd7a/Vegfc/Wasf2/Wnk1/Xdh/Zfpm2/Zmiz1,63
