celltype,subset,n_genes,n_terms,top,padj
Cardiomyocyte,shared,1571,1771,regulation of cell adhesion,0.2312373109300674
Cardiomyocyte,aged_only,503,740,response to wounding,1
Cardiomyocyte,young_only,780,1043,cell morphogenesis,0.02838587938748599
Cardiomyocyte,condition_specific,1283,1573,blood vessel endothelial cell migration,0.3370464492990262
Coronary_EC,shared,31,47,regulation of response to stimulus,0.9894311737411927
Coronary_EC,aged_only,46,60,regulation of biosynthetic process,0.9670671529714653
Coronary_EC,young_only,18,6,regulation of cellular process,0.2662440570522979
Coronary_EC,condition_specific,64,107,apoptotic process,0.6147885996693578
Endocardial_EC,shared,54,78,phosphorus metabolic process,0.02153349414035085
Endocardial_EC,aged_only,54,78,gene expression,0.6129468599033816
Endocardial_EC,young_only,39,98,homeostatic process,0.009344781338759132
Endocardial_EC,condition_specific,93,211,negative regulation of cell communication,0.9038210707298275
Fibroblast,shared,376,681,developmental growth,0.8968107620540006
Fibroblast,aged_only,348,684,muscle organ development,0.9134326311217332
Fibroblast,young_only,171,312,negative regulation of protein metabolic process,0.9995933395614661
Fibroblast,condition_specific,519,922,muscle organ development,0.9480162592367274
Lymphatic_EC,condition_specific,11,3,regulation of biological process,0.30434782608695654
Mesothelial,shared,47,93,negative regulation of response to stimulus,0.45203240295674874
Mesothelial,aged_only,18,10,regulation of biological process,0.29850746268656714
Mesothelial,young_only,37,66,intracellular signaling cassette,0.6557377049180327
Mesothelial,condition_specific,55,107,cellular localization,1
Myeloid,shared,102,242,protein-containing complex assembly,0.8074476800476652
Myeloid,aged_only,106,231,organophosphate metabolic process,0.5547413793103448
Myeloid,young_only,42,93,negative regulation of cellular process,0.5222222222222223
Myeloid,condition_specific,148,325,nucleobase-containing compound catabolic process,0.6105846488325929
Pericytes,shared,102,232,regulation of response to stress,0.3593652517423346
Pericytes,aged_only,81,178,transmembrane transport,0.39060104699667925
Pericytes,young_only,53,110,regulation of developmental process,0.8265027322404371
Pericytes,condition_specific,134,309,transmembrane transport,0.19241461226097947
