ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,my_sign
GO:0050789,regulation of biological process,12,0.6014812895565105,1.3653480980766843,0.05970149253731343,0.29850746268656714,0.29850746268656714,5,"tags=42%, list=28%, signal=90%",Mpp7/Rad51b/Atp8a1/Prickle1/Vps13a,BL6-biased
GO:0050794,regulation of cellular process,12,0.6014812895565105,1.3653480980766843,0.05970149253731343,0.29850746268656714,0.29850746268656714,5,"tags=42%, list=28%, signal=90%",Mpp7/Rad51b/Atp8a1/Prickle1/Vps13a,BL6-biased
GO:0008150,biological_process,17,0.8607964025877223,1.2012804213515895,0.13840155945419103,0.34600389863547754,0.34600389863547754,16,"tags=94%, list=89%, signal=188%",Mpp7/Rad51b/Atp8a1/Prickle1/Vps13a/Usp53/Slc4a4/St3gal6/Pan3/Macf1/Slco2a1/Bcam/Stxbp6/Sema5a/Frk/Smap1,BL6-biased
GO:0009987,cellular process,17,0.8607964025877223,1.2012804213515895,0.13840155945419103,0.34600389863547754,0.34600389863547754,16,"tags=94%, list=89%, signal=188%",Mpp7/Rad51b/Atp8a1/Prickle1/Vps13a/Usp53/Slc4a4/St3gal6/Pan3/Macf1/Slco2a1/Bcam/Stxbp6/Sema5a/Frk/Smap1,BL6-biased
GO:0065007,biological regulation,14,0.5411064484316483,1.1785148235970293,0.19102990033222592,0.38205980066445183,0.38205980066445183,7,"tags=50%, list=39%, signal=138%",Mpp7/Rad51b/Atp8a1/Prickle1/Vps13a/Usp53/Slc4a4,BL6-biased
GO:0016043,cellular component organization,10,0.45089906658069223,1.031288045485065,0.45182724252491696,0.6454674893213099,0.6454674893213099,5,"tags=40%, list=28%, signal=65%",Mpp7/Atp8a1/Prickle1/Vps13a,BL6-biased
GO:0071840,cellular component organization or biogenesis,10,0.45089906658069223,1.031288045485065,0.45182724252491696,0.6454674893213099,0.6454674893213099,5,"tags=40%, list=28%, signal=65%",Mpp7/Atp8a1/Prickle1/Vps13a,BL6-biased
GO:0051179,localization,11,0.35552226265140247,0.8088578388314775,0.7516666666666667,0.9368770764119602,0.93687707641196,5,"tags=36%, list=28%, signal=68%",Mpp7/Atp8a1/Prickle1/Vps13a,BL6-biased
GO:0032501,multicellular organismal process,10,0.2913874548444075,0.6664560232164037,0.9368770764119602,0.9368770764119602,0.93687707641196,6,"tags=50%, list=33%, signal=75%",Rad51b/Atp8a1/Prickle1/Vps13a/Usp53,BL6-biased
GO:0051234,establishment of localization,10,-0.2789575593494088,-0.6313494022265872,0.8684863523573201,0.9368770764119602,0.93687707641196,2,"tags=20%, list=11%, signal=40%",Smap1/Pcsk6,CAST-biased
