ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,my_sign
GO:0050794,regulation of cellular process,84,-0.8783068783068781,-1.2085144517871238,0.030969030969030968,0.2683921568627451,0.23746130030959756,27,"tags=37%, list=26%, signal=137%",Wnk1/Wwtr1/Zcchc7/Zhx3/Adamts9/Adgrl2/Bicc1/Clic4/Col4a2/Creb3l2/Cyth3/Dock4/Elmo1/Fyn/Hsp90ab1/Hspb1/Igf1r/Itpr2/Kcnq1ot1/Kitl/Lamc1/Ltbp1/Malat1/Nfia/Nfkb1/Ptprk/Rhoj/Rps2/Sorbs1/Timp3/Zfp521,CAST-biased
GO:0050789,regulation of biological process,86,-0.8732943469785575,-1.2011452527065158,0.04895104895104895,0.2683921568627451,0.23746130030959756,27,"tags=36%, list=26%, signal=148%",Wnk1/Wwtr1/Zcchc7/Zhx3/Adamts9/Adgrl2/Bicc1/Clic4/Col4a2/Creb3l2/Cyth3/Dock4/Elmo1/Fyn/Hsp90ab1/Hspb1/Igf1r/Itpr2/Kcnq1ot1/Kitl/Lamc1/Ltbp1/Malat1/Nfia/Nfkb1/Ptprk/Rhoj/Rps2/Sorbs1/Timp3/Zfp521,CAST-biased
GO:0065007,biological regulation,86,-0.8732943469785575,-1.2011452527065158,0.04895104895104895,0.2683921568627451,0.23746130030959756,27,"tags=36%, list=26%, signal=148%",Wnk1/Wwtr1/Zcchc7/Zhx3/Adamts9/Adgrl2/Bicc1/Clic4/Col4a2/Creb3l2/Cyth3/Dock4/Elmo1/Fyn/Hsp90ab1/Hspb1/Igf1r/Itpr2/Kcnq1ot1/Kitl/Lamc1/Ltbp1/Malat1/Nfia/Nfkb1/Ptprk/Rhoj/Rps2/Sorbs1/Timp3/Zfp521,CAST-biased
GO:0050896,response to stimulus,66,-0.8717948717948718,-1.1941210864599248,0.007547701600333406,0.2683921568627451,0.23746130030959756,31,"tags=38%, list=30%, signal=72%",Adamts9/Adgrl2/Bicc1/Clic4/Col4a2/Creb3l2/Cyth3/Dock4/Elmo1/Fyn/Hsp90ab1/Hspb1/Igf1r/Itpr2/Kitl/Lamc1/Ltbp1/Nfia/Nfkb1/Ptprk/Rhoj/Rps2/Sorbs1/St3gal6/Timp3,CAST-biased
GO:0045934,negative regulation of nucleobase-containing compound metabolic process,13,-0.9347826086956522,-1.1889577134555658,0.02710843373493976,0.2683921568627451,0.23746130030959756,9,"tags=23%, list=9%, signal=24%",Zhx3/Nfkb1/Ptprk,CAST-biased
GO:0019222,regulation of metabolic process,52,-0.8679245283018868,-1.184168338438821,0.007547701600333406,0.2683921568627451,0.23746130030959756,24,"tags=31%, list=23%, signal=47%",Creb3l2/Fyn/Hsp90ab1/Hspb1/Igf1r/Kcnq1ot1/Kitl/Ltbp1/Malat1/Nfia/Nfkb1/Ptprk/Rps2/Sorbs1/Timp3/Zfp521,CAST-biased
GO:0045892,negative regulation of DNA-templated transcription,12,-0.9354838709677419,-1.183494196695903,0.029322548028311426,0.2683921568627451,0.23746130030959756,9,"tags=25%, list=9%, signal=26%",Zhx3/Nfkb1/Ptprk,CAST-biased
GO:0051253,negative regulation of RNA metabolic process,12,-0.9354838709677419,-1.183494196695903,0.029322548028311426,0.2683921568627451,0.23746130030959756,9,"tags=25%, list=9%, signal=26%",Zhx3/Nfkb1/Ptprk,CAST-biased
GO:1902679,negative regulation of RNA biosynthetic process,12,-0.9354838709677419,-1.183494196695903,0.029322548028311426,0.2683921568627451,0.23746130030959756,9,"tags=25%, list=9%, signal=26%",Zhx3/Nfkb1/Ptprk,CAST-biased
GO:0009058,biosynthetic process,56,-0.8571428571428571,-1.1714333194798534,0.020576902603967447,0.2683921568627451,0.23746130030959756,25,"tags=30%, list=24%, signal=50%",Col4a2/Creb3l2/Fyn/Hsp90ab1/Hspb1/Igf1r/Kcnq1ot1/Lamc1/Ltbp1/Malat1/Nfia/Nfkb1/Ptprk/Rps2/Sorbs1/St3gal6/Zfp521,CAST-biased
GO:0060255,regulation of macromolecule metabolic process,49,-0.8571428571428571,-1.1670506183611513,0.012180821574363744,0.2683921568627451,0.23746130030959756,24,"tags=31%, list=23%, signal=44%",Creb3l2/Fyn/Hsp90ab1/Hspb1/Igf1r/Kcnq1ot1/Kitl/Malat1/Nfia/Nfkb1/Ptprk/Rps2/Sorbs1/Timp3/Zfp521,CAST-biased
GO:0051716,cellular response to stimulus,58,-0.8510638297872342,-1.1639616561111041,0.015169946437349868,0.2683921568627451,0.23746130030959756,29,"tags=36%, list=28%, signal=59%",Adgrl2/Bicc1/Clic4/Col4a2/Creb3l2/Cyth3/Dock4/Elmo1/Fyn/Hsp90ab1/Hspb1/Igf1r/Itpr2/Kitl/Lamc1/Ltbp1/Nfia/Nfkb1/Ptprk/Rhoj/Sorbs1,CAST-biased
GO:0033993,response to lipid,11,-0.925531914893617,-1.1624622419730004,0.052899287894201424,0.2683921568627451,0.23746130030959756,9,"tags=18%, list=9%, signal=19%",Smyd3/Nfkb1,CAST-biased
GO:0008283,cell population proliferation,21,-0.8809523809523809,-1.156318656571017,0.021177677563746975,0.2683921568627451,0.23746130030959756,20,"tags=43%, list=19%, signal=43%",Fyn/Igf1r/Kcnq1ot1/Kitl/Lamc1/Malat1/Nfia/Ptprk/Timp3,CAST-biased
GO:0009059,macromolecule biosynthetic process,53,-0.8461538461538461,-1.1545460829908498,0.021478065152361458,0.2683921568627451,0.23746130030959756,25,"tags=30%, list=24%, signal=46%",Col4a2/Creb3l2/Fyn/Hsp90ab1/Hspb1/Igf1r/Kcnq1ot1/Lamc1/Malat1/Nfia/Nfkb1/Ptprk/Rps2/Sorbs1/St3gal6/Zfp521,CAST-biased
GO:0080090,regulation of primary metabolic process,45,-0.85,-1.1537067311992881,0.01188190950465913,0.2683921568627451,0.23746130030959756,24,"tags=31%, list=23%, signal=42%",Creb3l2/Fyn/Hsp90ab1/Hspb1/Igf1r/Kitl/Malat1/Nfia/Nfkb1/Ptprk/Rps2/Sorbs1/Timp3/Zfp521,CAST-biased
GO:0048856,anatomical structure development,56,-0.8367346938775511,-1.1435420499684283,0.04799819339292613,0.2683921568627451,0.23746130030959756,31,"tags=43%, list=30%, signal=65%",Wnk1/Wwtr1/Adamts9/Adgrl2/Bicc1/Clic4/Col4a2/Creb3l2/Dock4/Elmo1/Fyn/Hsp90ab1/Hspb1/Igf1r/Kcnq1ot1/Kitl/Lamc1/Ltbp1/Nfia/Nfkb1/Ptprk/Rhoj/Timp3/Zfp521,CAST-biased
GO:0036211,protein modification process,26,-0.8607594936708861,-1.1428263595685657,0.023580780043680107,0.2683921568627451,0.23746130030959756,20,"tags=31%, list=19%, signal=33%",Fyn/Hsp90ab1/Hspb1/Igf1r/Kitl/Ptprk/Rps2/St3gal6,CAST-biased
GO:0043412,macromolecule modification,26,-0.8607594936708861,-1.1428263595685657,0.023580780043680107,0.2683921568627451,0.23746130030959756,20,"tags=31%, list=19%, signal=33%",Fyn/Hsp90ab1/Hspb1/Igf1r/Kitl/Ptprk/Rps2/St3gal6,CAST-biased
GO:0048584,positive regulation of response to stimulus,20,-0.8705882352941177,-1.1397162702037915,0.04095904095904096,0.2683921568627451,0.23746130030959756,20,"tags=40%, list=19%, signal=40%",Fyn/Hsp90ab1/Hspb1/Igf1r/Kitl/Lamc1/Nfkb1/Sorbs1,CAST-biased
GO:0065009,regulation of molecular function,20,-0.8705882352941177,-1.1397162702037915,0.04095904095904096,0.2683921568627451,0.23746130030959756,18,"tags=30%, list=17%, signal=31%",Hspb1/Igf1r/Kitl/Nfkb1/Rps2/Timp3,CAST-biased
GO:0009893,positive regulation of metabolic process,36,-0.8405797101449275,-1.1327794812150718,0.025383109151498977,0.2683921568627451,0.23746130030959756,24,"tags=33%, list=23%, signal=39%",Creb3l2/Fyn/Hsp90ab1/Hspb1/Igf1r/Kitl/Ltbp1/Nfia/Nfkb1/Rps2/Sorbs1/Zfp521,CAST-biased
GO:0007165,signal transduction,52,-0.8301886792452831,-1.1326827585066983,0.04860193634255701,0.2683921568627451,0.23746130030959756,29,"tags=37%, list=28%, signal=52%",Adgrl2/Bicc1/Col4a2/Cyth3/Dock4/Elmo1/Fyn/Hsp90ab1/Hspb1/Igf1r/Itpr2/Kitl/Lamc1/Ltbp1/Nfia/Nfkb1/Ptprk/Rhoj/Sorbs1,CAST-biased
GO:0042127,regulation of cell population proliferation,16,-0.8764044943820224,-1.1316286512720135,0.059,0.2683921568627451,0.23746130030959756,17,"tags=38%, list=16%, signal=37%",Wwtr1/Igf1r/Kitl/Malat1/Ptprk/Timp3,CAST-biased
