celltype,subset,n_genes,n_terms,top,padj
Cardiomyocyte,aged_only,728,0,NA,NA
Cardiomyocyte,young_only,648,0,NA,NA
Cardiomyocyte,condition_specific,1376,0,NA,NA
Coronary_EC,aged_only,109,0,NA,NA
Coronary_EC,young_only,89,0,NA,NA
Coronary_EC,condition_specific,198,0,NA,NA
Endocardial_EC,aged_only,123,0,NA,NA
Endocardial_EC,young_only,82,0,NA,NA
Endocardial_EC,condition_specific,205,0,NA,NA
Fibroblast,aged_only,331,0,NA,NA
Fibroblast,young_only,262,0,NA,NA
Fibroblast,condition_specific,593,2,regulation of cell migration,0.04834525035376671
Lymphatic_EC,aged_only,18,0,NA,NA
Lymphatic_EC,young_only,14,0,NA,NA
Lymphatic_EC,condition_specific,32,0,NA,NA
M1,aged_only,5,0,NA,NA
M1,condition_specific,6,6,muscle cell development,0.04347549369855116
M2,aged_only,72,0,NA,NA
M2,young_only,62,0,NA,NA
M2,condition_specific,134,0,NA,NA
MacFib,aged_only,114,0,NA,NA
MacFib,young_only,61,0,NA,NA
MacFib,condition_specific,175,0,NA,NA
Mesothelial,aged_only,73,0,NA,NA
Mesothelial,young_only,46,0,NA,NA
Mesothelial,condition_specific,119,0,NA,NA
Myeloid,aged_only,15,0,NA,NA
Myeloid,young_only,18,0,NA,NA
Myeloid,condition_specific,33,0,NA,NA
Pericytes,aged_only,135,0,NA,NA
Pericytes,young_only,129,0,NA,NA
Pericytes,condition_specific,264,0,NA,NA
Smooth_Muscle,aged_only,11,0,NA,NA
Smooth_Muscle,young_only,19,0,NA,NA
Smooth_Muscle,condition_specific,30,0,NA,NA
Unknown_1,aged_only,29,0,NA,NA
Unknown_1,young_only,5,0,NA,NA
Unknown_1,condition_specific,34,0,NA,NA
