ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0040011,locomotion,36/109,238/1528,0.15126050420168066,2.1204224809189727,5.212151219641725,1.8520914010177016e-6,0.003357841710045093,0.0031485553817300928,Aqp1/Arhgap18/Bcl2/Cd9/Dcn/Dlc1/Efna5/Flrt2/Igfbp5/Insr/Itga1/Itga6/Lama2/Ldb2/Ldlrad4/Limch1/Mcc/Mctp1/Nav3/Nf1/Nrp2/Pdgfd/Plcb1/Plxna4/Pparg/Prkg1/Rgcc/Slc8a1/Sulf1/Tpm1/Ttn/Vav3/Vcam1/Vegfc/Vim/Zswim6,36
GO:0030336,negative regulation of cell migration,16/109,76/1528,0.21052631578947367,2.951231289232255,4.834747631056626,4.440368989608954e-5,0.03187034876315725,0.029883945337764662,Bcl2/Dcn/Dlc1/Igfbp5/Ldlrad4/Limch1/Mcc/Mctp1/Nav3/Nf1/Plcb1/Pparg/Prkg1/Rgcc/Sulf1/Tpm1,16
GO:2000146,negative regulation of cell motility,16/109,77/1528,0.2077922077922078,2.912903610151317,4.772504130369719,5.273637412546705e-5,0.03187034876315725,0.029883945337764662,Bcl2/Dcn/Dlc1/Igfbp5/Ldlrad4/Limch1/Mcc/Mctp1/Nav3/Nf1/Plcb1/Pparg/Prkg1/Rgcc/Sulf1/Tpm1,16
GO:0040013,negative regulation of locomotion,16/109,80/1528,0.2,2.8036697247706424,4.591549787834973,8.660750643173636e-5,0.03276667869247087,0.0307244091435193,Bcl2/Dcn/Dlc1/Igfbp5/Ldlrad4/Limch1/Mcc/Mctp1/Nav3/Nf1/Plcb1/Pparg/Prkg1/Rgcc/Sulf1/Tpm1,16
GO:0072359,circulatory system development,34/109,259/1528,0.13127413127413126,1.8402465374942438,4.111188333462512,1.0340632344894323e-4,0.03276667869247087,0.0307244091435193,Aqp1/Cacna1c/Col4a1/Col8a1/Dcn/Dlc1/Eln/Emcn/Errfi1/Flrt2/Insr/Mb/Myh6/Myo1e/Nf1/Nrp2/Nxn/Pdgfd/Plxna4/Pparg/Prkg1/Rgcc/Ryr2/Slc8a1/Smad7/Sulf1/Thsd7a/Tpm1/Ttn/Vav3/Vcam1/Vegfc/Vgll4/Zfpm2,34
GO:0009887,animal organ morphogenesis,25/109,165/1528,0.15151515151515152,2.1239922157353353,4.235443741504429,1.1083252453003295e-4,0.03276667869247087,0.0307244091435193,Aqp1/Bcl2/Col8a1/Dlc1/Eln/Errfi1/Flrt2/Igfbp5/Insr/Itga6/Lama2/Myh6/Myo6/Nf1/Nrp2/Pbx1/Ryr2/Slc8a1/Smad7/Sulf1/Tpm1/Ttn/Vegfc/Wwox/Zfpm2,25
GO:2000145,regulation of cell motility,30/109,218/1528,0.13761467889908258,1.9291305445669558,4.10497868318642,1.2651227294390298e-4,0.03276667869247087,0.0307244091435193,Aqp1/Arhgap18/Bcl2/Cd9/Dcn/Dlc1/Flrt2/Igfbp5/Insr/Itga6/Lama2/Ldb2/Ldlrad4/Limch1/Mcc/Mctp1/Nav3/Nf1/Pdgfd/Plcb1/Plxna4/Pparg/Prkg1/Rgcc/Slc8a1/Sulf1/Tpm1/Vegfc/Vim/Zswim6,30
GO:0060048,cardiac muscle contraction,7/109,19/1528,0.3684210526315789,5.1646547561564455,5.061191327712933,1.9129721232268655e-4,0.04202054522906876,0.03940150407579531,Cacna1c/Myh6/Ryr2/Slc8a1/Smad7/Tpm1/Ttn,7
GO:0030334,regulation of cell migration,29/109,214/1528,0.13551401869158877,1.8996827574380517,3.9322413980582356,2.2707914016305782e-4,0.04202054522906876,0.03940150407579531,Aqp1/Bcl2/Cd9/Dcn/Dlc1/Flrt2/Igfbp5/Insr/Itga6/Lama2/Ldb2/Ldlrad4/Limch1/Mcc/Mctp1/Nav3/Nf1/Pdgfd/Plcb1/Plxna4/Pparg/Prkg1/Rgcc/Slc8a1/Sulf1/Tpm1/Vegfc/Vim/Zswim6,29
GO:0040012,regulation of locomotion,30/109,225/1528,0.13333333333333333,1.8691131498470948,3.911442424342243,2.3177355338703122e-4,0.04202054522906876,0.03940150407579531,Aqp1/Arhgap18/Bcl2/Cd9/Dcn/Dlc1/Flrt2/Igfbp5/Insr/Itga6/Lama2/Ldb2/Ldlrad4/Limch1/Mcc/Mctp1/Nav3/Nf1/Pdgfd/Plcb1/Plxna4/Pparg/Prkg1/Rgcc/Slc8a1/Sulf1/Tpm1/Vegfc/Vim/Zswim6,30
GO:0009888,tissue development,38/109,318/1528,0.11949685534591195,1.675148577693151,3.7485369980543832,2.902486098288844e-4,0.04783824814725158,0.04485660333719123,Aqp1/Bcl2/Col4a1/Col8a1/Creb5/Dlc1/Eln/Errfi1/Flnb/Igfbp5/Insr/Lama2/Ldb2/Ldlrad4/Mgp/Myh6/Myo1e/Myo6/Nf1/Nrp2/Pbx1/Pdgfd/Plcb1/Plxna4/Pparg/Prkg1/Rgcc/Ryr2/Slc8a1/Smad7/Sulf1/Tpm1/Ttn/Vcam1/Vegfc/Vgll4/Vim/Zfpm2,38
