ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0006325,chromatin organization,10,-0.7101133788909761,-1.6748964535474957,0.024286894005497377,0.9931818181818182,0.9931818181818182,2,"tags=40%, list=2%, signal=44%",Pdgfrb/Ctdspl/Mier1/Rian
GO:0141124,intracellular signaling cassette,13,0.49180818454886044,1.5657444389397723,0.04485287421098827,0.9931818181818182,0.9931818181818182,21,"tags=54%, list=24%, signal=48%",Arhgap20/Ctnnal1/Pln/Kank2/Egln1/Ank3/Fgf2
GO:0009968,negative regulation of signal transduction,11,-0.6224351641366611,-1.4778657749390154,0.09706959706959707,0.9931818181818182,0.9931818181818182,5,"tags=27%, list=6%, signal=29%",Appl1/Cyp7b1/Rian
GO:0010648,negative regulation of cell communication,11,-0.6224351641366611,-1.4778657749390154,0.09706959706959707,0.9931818181818182,0.9931818181818182,5,"tags=27%, list=6%, signal=29%",Appl1/Cyp7b1/Rian
GO:0008283,cell population proliferation,11,-0.6208909499097924,-1.4741993025310363,0.1043956043956044,0.9931818181818182,0.9931818181818182,5,"tags=18%, list=6%, signal=20%",Cyp7b1/Rian
GO:0042127,regulation of cell population proliferation,11,-0.6208909499097924,-1.4741993025310363,0.1043956043956044,0.9931818181818182,0.9931818181818182,5,"tags=18%, list=6%, signal=20%",Cyp7b1/Rian
GO:0023057,negative regulation of signaling,12,-0.5877429562161984,-1.4238029529060559,0.13167259786476868,0.9931818181818182,0.9931818181818182,5,"tags=25%, list=6%, signal=27%",Appl1/Cyp7b1/Rian
GO:0048585,negative regulation of response to stimulus,13,-0.5718556710768796,-1.4232726572969805,0.13893653516295026,0.9931818181818182,0.9931818181818182,5,"tags=23%, list=6%, signal=26%",Appl1/Cyp7b1/Rian
GO:0009888,tissue development,16,-0.5327498829240626,-1.3668491302883146,0.15161290322580645,0.9931818181818182,0.9931818181818182,5,"tags=12%, list=6%, signal=14%",Cyp7b1/Rian
GO:1901700,response to oxygen-containing compound,11,0.4213203519234717,1.2818206470964923,0.17543859649122806,0.9931818181818182,0.9931818181818182,21,"tags=55%, list=24%, signal=48%",Mtr/Ldlr/Pln/Kank2/Egln1/Fgf2
GO:0007166,cell surface receptor signaling pathway,15,-0.49859993367951516,-1.2600965041578085,0.26490066225165565,0.9931818181818182,0.9931818181818182,19,"tags=33%, list=21%, signal=32%",Efna5/Col1a2/Nle1/Appl1/Rian
GO:0048513,animal organ development,24,-0.4548433908804357,-1.2467892431327658,0.2198581560283688,0.9931818181818182,0.9931818181818182,17,"tags=25%, list=19%, signal=28%",Col1a2/Mme/Nle1/Adam19/Cyp7b1/Rian
GO:0035556,intracellular signal transduction,17,0.35329285606094873,1.222897852993721,0.20441988950276244,0.9931818181818182,0.9931818181818182,24,"tags=47%, list=27%, signal=42%",Arhgap20/Ctnnal1/Pln/Kank2/Egln1/Ank3/Fgf2/Plcb4
GO:0006915,apoptotic process,10,0.4152649667634718,1.22198239029259,0.21814254859611232,0.9931818181818182,0.9931818181818182,22,"tags=50%, list=25%, signal=42%",Prune2/Kank2/Egln1/Fgf2/St3gal1
GO:0008219,cell death,10,0.4152649667634718,1.22198239029259,0.21814254859611232,0.9931818181818182,0.9931818181818182,22,"tags=50%, list=25%, signal=42%",Prune2/Kank2/Egln1/Fgf2/St3gal1
GO:0012501,programmed cell death,10,0.4152649667634718,1.22198239029259,0.21814254859611232,0.9931818181818182,0.9931818181818182,22,"tags=50%, list=25%, signal=42%",Prune2/Kank2/Egln1/Fgf2/St3gal1
GO:0009966,regulation of signal transduction,18,-0.45651822115145957,-1.1984361285476828,0.29347826086956524,0.9931818181818182,0.9931818181818182,13,"tags=22%, list=15%, signal=24%",Nle1/Appl1/Cyp7b1/Rian
