ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0019538,protein metabolic process,18,-0.5278742113196101,-1.5151322279237194,0.06395561305048941,0.9547826086956521,0.9547826086956521,33,"tags=94%, list=62%, signal=54%",Wwp1/Picalm/Map4k3/St3gal1/Corin/Xdh/Ext1/Prex2/Efna5/Anks1/Gns/Stambpl1/Dse/Slit2/Lgmn/Slc2a13/Fap
GO:0019222,regulation of metabolic process,13,-0.5136250706738608,-1.3947803843303213,0.11693548387096774,0.9547826086956521,0.9547826086956521,9,"tags=31%, list=17%, signal=34%",Slit2/Lgmn/Slc2a13/Fap
GO:0043170,macromolecule metabolic process,22,-0.45161290322580644,-1.3866783491592116,0.08968609865470852,0.9547826086956521,0.9547826086956521,40,"tags=100%, list=75%, signal=42%",Mdfic/Tnfaip8/Nfatc2/Wwp1/Picalm/Map4k3/St3gal1/Corin/Xdh/Ext1/Prex2/Efna5/Anks1/Gns/Fam114a1/Stambpl1/Dse/Slit2/Lgmn/Slc2a13/Fap
GO:0030154,cell differentiation,15,-0.5,-1.3799009976624266,0.09071729957805907,0.9547826086956521,0.9547826086956521,35,"tags=100%, list=66%, signal=47%",Nfatc2/Wwp1/Picalm/St3gal1/Corin/Xdh/Ext1/Prex2/Dock2/Efna5/Anks1/Adgrd1/Alcam/Slit2
GO:0048869,cellular developmental process,15,-0.5,-1.3799009976624266,0.09071729957805907,0.9547826086956521,0.9547826086956521,35,"tags=100%, list=66%, signal=47%",Nfatc2/Wwp1/Picalm/St3gal1/Corin/Xdh/Ext1/Prex2/Dock2/Efna5/Anks1/Adgrd1/Alcam/Slit2
GO:0048468,cell development,12,-0.4634146341463415,-1.2328329493909944,0.23061224489795917,0.9547826086956521,0.9547826086956521,35,"tags=100%, list=66%, signal=44%",Nfatc2/Wwp1/Picalm/St3gal1/Ext1/Prex2/Dock2/Efna5/Anks1/Alcam/Slit2
GO:0008150,biological_process,48,-0.4872418011280651,-1.213504944049972,0.16704805491990846,0.9547826086956521,0.9547826086956521,43,"tags=85%, list=81%, signal=171%",2610035D17Rik/Cuedc1/Lsamp/Cst3/Mdfic/Nisch/Prune2/Tnfaip8/Myl2/Nfatc2/Wwp1/Picalm/Map4k3/St3gal1/Corin/Xdh/Pcdh7/Ext1/Prex2/Dock2/Efna5/Agap1/Anks1/Rnls/Cradd/Adgrd1/Gns/Fam114a1/Stambpl1/Dse/Gm12216/Frmd4a/Suclg2/Alcam/Slit2/Lgmn/Slc2a13/Kcnq5/Rusc2/Fap/Cables1
GO:0051716,cellular response to stimulus,22,0.4154900197352386,1.1882276899487272,0.22262118491921004,0.9547826086956521,0.9547826086956521,7,"tags=18%, list=13%, signal=27%",Or5m3b/Kcnc2/Aox1/Ncald
GO:0016477,cell migration,10,-0.4676672161717458,-1.1797564318888318,0.25609756097560976,0.9547826086956521,0.9547826086956521,9,"tags=30%, list=17%, signal=31%",Slit2/Lgmn/Fap
GO:0048870,cell motility,10,-0.4676672161717458,-1.1797564318888318,0.25609756097560976,0.9547826086956521,0.9547826086956521,9,"tags=30%, list=17%, signal=31%",Slit2/Lgmn/Fap
GO:0009987,cellular process,43,-0.396873426912982,-1.176006851860522,0.22298850574712645,0.9547826086956521,0.9547826086956521,41,"tags=86%, list=77%, signal=103%",Lsamp/Cst3/Mdfic/Nisch/Prune2/Tnfaip8/Myl2/Nfatc2/Wwp1/Picalm/Map4k3/St3gal1/Corin/Xdh/Pcdh7/Ext1/Prex2/Dock2/Efna5/Agap1/Anks1/Rnls/Cradd/Adgrd1/Gns/Fam114a1/Stambpl1/Dse/Frmd4a/Suclg2/Alcam/Slit2/Lgmn/Slc2a13/Kcnq5/Fap/Cables1
GO:0003008,system process,10,0.4951918052538043,1.139673167665305,0.32941176470588235,0.9547826086956521,0.9547826086956521,1,"tags=10%, list=2%, signal=12%",Or5m3b
GO:0048519,negative regulation of biological process,17,-0.3888888888888889,-1.097278667801025,0.3377777777777778,0.9547826086956521,0.9547826086956521,40,"tags=100%, list=75%, signal=36%",Mdfic/Nisch/Myl2/Nfatc2/Wwp1/Picalm/St3gal1/Xdh/Prex2/Efna5/Anks1/Rnls/Frmd4a/Slit2/Lgmn/Fap
GO:0007275,multicellular organism development,18,-0.37895070180844365,-1.0876841656442455,0.3674832962138085,0.9547826086956521,0.9547826086956521,35,"tags=94%, list=66%, signal=49%",Myl2/Nfatc2/Wwp1/Picalm/Corin/Xdh/Ext1/Prex2/Efna5/Anks1/Rnls/Adgrd1/Fam114a1/Alcam/Slit2/Fap/Cables1
GO:0048731,system development,18,-0.37895070180844365,-1.0876841656442455,0.3674832962138085,0.9547826086956521,0.9547826086956521,35,"tags=94%, list=66%, signal=49%",Myl2/Nfatc2/Wwp1/Picalm/Corin/Xdh/Ext1/Prex2/Efna5/Anks1/Rnls/Adgrd1/Fam114a1/Alcam/Slit2/Fap/Cables1
GO:0008152,metabolic process,27,-0.34401066079950937,-1.0777357481603331,0.34032634032634035,0.9547826086956521,0.9547826086956521,40,"tags=93%, list=75%, signal=46%",Cst3/Mdfic/Nisch/Tnfaip8/Nfatc2/Wwp1/Picalm/Map4k3/St3gal1/Corin/Xdh/Ext1/Prex2/Efna5/Anks1/Rnls/Gns/Fam114a1/Stambpl1/Dse/Suclg2/Slit2/Lgmn/Slc2a13/Fap
GO:0032502,developmental process,23,-0.3469673407481639,-1.06664373178011,0.375,0.9547826086956521,0.9547826086956521,35,"tags=87%, list=66%, signal=52%",Myl2/Nfatc2/Wwp1/Picalm/St3gal1/Corin/Xdh/Ext1/Prex2/Dock2/Efna5/Anks1/Rnls/Adgrd1/Fam114a1/Alcam/Slit2/Lgmn/Fap/Cables1
GO:0048523,negative regulation of cellular process,16,-0.3783783783783784,-1.0575077139833633,0.3642241379310345,0.9547826086956521,0.9547826086956521,40,"tags=100%, list=75%, signal=35%",Mdfic/Nisch/Myl2/Nfatc2/Wwp1/Picalm/St3gal1/Xdh/Prex2/Efna5/Anks1/Frmd4a/Slit2/Lgmn/Fap
GO:0007154,cell communication,20,0.3719947600918561,1.0398675466954774,0.43933823529411764,0.9547826086956521,0.9547826086956521,7,"tags=15%, list=13%, signal=21%",Or5m3b/Kcnc2/Ncald
GO:0007165,signal transduction,20,0.3719947600918561,1.0398675466954774,0.43933823529411764,0.9547826086956521,0.9547826086956521,7,"tags=15%, list=13%, signal=21%",Or5m3b/Kcnc2/Ncald
GO:0023052,signaling,20,0.3719947600918561,1.0398675466954774,0.43933823529411764,0.9547826086956521,0.9547826086956521,7,"tags=15%, list=13%, signal=21%",Or5m3b/Kcnc2/Ncald
GO:0009059,macromolecule biosynthetic process,13,-0.375,-1.0183355018820521,0.4435483870967742,0.9547826086956521,0.9547826086956521,39,"tags=100%, list=74%, signal=35%",Tnfaip8/Nfatc2/Wwp1/Picalm/St3gal1/Corin/Xdh/Ext1/Fam114a1/Dse/Slit2/Lgmn
GO:0007399,nervous system development,11,-0.3744307958202464,-0.9790957788340356,0.44510978043912175,0.9547826086956521,0.9547826086956521,10,"tags=73%, list=19%, signal=74%",Ext1/Prex2/Efna5/Anks1/Adgrd1/Alcam/Slit2/Cables1
GO:0048856,anatomical structure development,22,-0.3158077421554909,-0.9696883224900069,0.5067264573991032,0.9547826086956521,0.9547826086956521,35,"tags=86%, list=66%, signal=50%",Myl2/Nfatc2/Wwp1/Picalm/St3gal1/Corin/Xdh/Ext1/Prex2/Dock2/Efna5/Anks1/Rnls/Adgrd1/Fam114a1/Alcam/Slit2/Fap/Cables1
GO:0048518,positive regulation of biological process,16,-0.3425693281813127,-0.9574270831182822,0.4978448275862069,0.9547826086956521,0.9547826086956521,9,"tags=31%, list=17%, signal=37%",Frmd4a/Slit2/Lgmn/Slc2a13/Fap
GO:0048522,positive regulation of cellular process,16,-0.3425693281813127,-0.9574270831182822,0.4978448275862069,0.9547826086956521,0.9547826086956521,9,"tags=31%, list=17%, signal=37%",Frmd4a/Slit2/Lgmn/Slc2a13/Fap
