ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,my_sign
GO:0051094,positive regulation of developmental process,10,-0.6436993818275027,-1.7808845504608282,0.013542168114099678,0.9789655172413793,0.9789655172413793,29,"tags=80%, list=35%, signal=59%",Lpl/Ctsh/Rtn4/Slit2/Malt1/Smap1/Axl/Phldb2,CAST-biased
GO:0008150,biological_process,78,0.663251364694338,1.687260920086321,0.00632199839527874,0.9789655172413793,0.9789655172413793,59,"tags=76%, list=72%, signal=435%",Ubash3b/Pla2g4a/Phf20/Epha7/Intu/Zfp512/Gata6os/Jarid2/Septin11/Zkscan3/P4ha1/Nipsnap2/Dop1a/Rasgef1b/Acss1/Nt5c2/Xdh/Egln1/Hmbox1/Agtpbp1/Adcy9/Rilpl1/Cd2ap/Usp13/Kcnj3/Tle1/Sobp/Igf2r/Gpbp1/Tshz2/Znrf1/Pecam1/Mhrt/Rdx/Ryr2/Ehd4/Zfpm2/Lncpint/Vim/Atp2c1/Zbtb38/Dnm2/Ckmt2/Prrc2c/Rngtt/Ywhaq/Tspan9/Bdp1/Tnni3k/Hmcn1/Mob2/Fsd1l/Usp25/Atrnl1/Lpl/Mctp1/Ctsh/Rtn4/Frmd4a,BL6-biased
GO:0006325,chromatin organization,10,0.4923767891311779,1.525200614342942,0.06635071090047394,0.9789655172413793,0.9789655172413793,8,"tags=40%, list=10%, signal=41%",Ubash3b/Phf20/Epha7/Jarid2,BL6-biased
GO:0006952,defense response,12,-0.4971220267356474,-1.4446145822092302,0.10806174957118353,0.9789655172413793,0.9789655172413793,29,"tags=67%, list=35%, signal=50%",Lpl/Rtn4/Cd55/Malt1/Ext1/Alpk1/Axl/Nt5e,CAST-biased
GO:0016477,cell migration,11,-0.5016181237461711,-1.427963906983572,0.12953367875647667,0.9789655172413793,0.9789655172413793,28,"tags=64%, list=34%, signal=48%",Mctp1/Ctsh/Rtn4/Slit2/Ext1/Axl/Phldb2,CAST-biased
GO:0048870,cell motility,11,-0.5016181237461711,-1.427963906983572,0.12953367875647667,0.9789655172413793,0.9789655172413793,28,"tags=64%, list=34%, signal=48%",Mctp1/Ctsh/Rtn4/Slit2/Ext1/Axl/Phldb2,CAST-biased
GO:0016043,cellular component organization,42,0.3141136004548892,1.3584919984375123,0.07932011331444759,0.9789655172413793,0.9789655172413793,12,"tags=24%, list=15%, signal=42%",Ubash3b/Pla2g4a/Phf20/Epha7/Intu/Jarid2/Septin11/Zkscan3/P4ha1/Nipsnap2,BL6-biased
GO:0071840,cellular component organization or biogenesis,42,0.3141136004548892,1.3584919984375123,0.07932011331444759,0.9789655172413793,0.9789655172413793,12,"tags=24%, list=15%, signal=42%",Ubash3b/Pla2g4a/Phf20/Epha7/Intu/Jarid2/Septin11/Zkscan3/P4ha1/Nipsnap2,BL6-biased
GO:0042127,regulation of cell population proliferation,11,0.4130707769171928,1.3329565607368947,0.15602836879432624,0.9789655172413793,0.9789655172413793,20,"tags=45%, list=24%, signal=40%",Pla2g4a/Intu/Jarid2/Xdh/Agtpbp1,BL6-biased
GO:0048878,chemical homeostasis,10,0.4234134503640885,1.3115777771651267,0.16350710900473933,0.9789655172413793,0.9789655172413793,2,"tags=20%, list=2%, signal=22%",Ubash3b/Pla2g4a,BL6-biased
