ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,my_sign
GO:0007155,cell adhesion,11,-0.7199287922575313,-1.5888383716480952,0.019901933603386712,0.70605504587155965,0.70605504587155965,14,"tags=64%, list=21%, signal=60%",Vav3/Malt1/Magi1/Efna5/Fmn1/Lama2/Prkg1,CAST-biased
GO:0009653,anatomical structure morphogenesis,22,-0.6257199338813789,-1.5557826892315358,0.027158995578761586,0.70605504587155965,0.70605504587155965,14,"tags=36%, list=21%, signal=43%",Vav3/Magi1/Efna5/Fmn1/Clic4/Lama2/Prkg1/Thsd7a,CAST-biased
GO:0048513,animal organ development,19,-0.6208490918837755,-1.4986546218180308,0.03609519840761164,0.70605504587155965,0.70605504587155965,10,"tags=26%, list=15%, signal=31%",Fmn1/Pdlim3/Clic4/Lama2/Prkg1,CAST-biased
GO:0009888,tissue development,15,-0.6366424316278708,-1.4977329043938734,0.06352635131407557,0.70605504587155965,0.70605504587155965,12,"tags=33%, list=18%, signal=35%",Magi1/Fmn1/Clic4/Lama2/Prkg1,CAST-biased
GO:0007275,multicellular organism development,31,-0.5661838228322824,-1.4963478125459433,0.03611837964579845,0.70605504587155965,0.70605504587155965,14,"tags=29%, list=21%, signal=43%",Vav3/Malt1/Efna5/Fmn1/Pdlim3/Clic4/Lama2/Prkg1/Thsd7a,CAST-biased
GO:0048731,system development,28,-0.5668662456997156,-1.4877101500774732,0.045920343335935976,0.70605504587155965,0.70605504587155965,11,"tags=29%, list=17%, signal=41%",Vav3/Efna5/Fmn1/Pdlim3/Clic4/Lama2/Prkg1/Thsd7a,CAST-biased
GO:0072359,circulatory system development,15,-0.6316259718551642,-1.4859314339107648,0.05113636363636364,0.70605504587155965,0.70605504587155965,9,"tags=33%, list=14%, signal=37%",Vav3/Pdlim3/Clic4/Prkg1/Thsd7a,CAST-biased
GO:0007010,cytoskeleton organization,11,-0.6732256277620471,-1.4857673726467464,0.06154479540152642,0.70605504587155965,0.70605504587155965,11,"tags=36%, list=17%, signal=36%",Efna5/Fmn1/Pdlim3/Thsd7a,CAST-biased
GO:0030036,actin cytoskeleton organization,10,-0.6915710276739253,-1.4855854277388112,0.05298167944588514,0.70605504587155965,0.70605504587155965,11,"tags=40%, list=17%, signal=39%",Efna5/Fmn1/Pdlim3/Thsd7a,CAST-biased
GO:0061061,muscle structure development,11,-0.652561186901513,-1.4401622281922313,0.06788990825688074,0.70605504587155965,0.70605504587155965,9,"tags=27%, list=14%, signal=28%",Pdlim3/Lama2/Prkg1,CAST-biased
GO:0009967,positive regulation of signal transduction,10,0.8020611752623737,1.4794496748082349,0.21475054229934923,0.8107142857142857,0.8107142857142857,1,"tags=10%, list=2%, signal=12%",Grm1,BL6-biased
