ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,my_sign
GO:0006357,regulation of transcription by RNA polymerase II,14,-0.476121962096298,-1.5535507082172655,0.06896551724137931,0.9409667194928685,0.9409667194928685,23,"tags=79%, list=50%, signal=56%",Smyd3/Zfpm2/Phip/Fnip2/Nrip1/Nr3c2/Tcf12/Zfp609/Cdon/Pkia/Elp4,CAST-biased
GO:0006366,transcription by RNA polymerase II,14,-0.476121962096298,-1.5535507082172655,0.06896551724137931,0.9409667194928685,0.9409667194928685,23,"tags=79%, list=50%, signal=56%",Smyd3/Zfpm2/Phip/Fnip2/Nrip1/Nr3c2/Tcf12/Zfp609/Cdon/Pkia/Elp4,CAST-biased
GO:0016070,RNA metabolic process,18,-0.43005195818686365,-1.4918123811977175,0.06613344093866905,0.9409667194928685,0.9409667194928685,17,"tags=56%, list=37%, signal=58%",Fnip2/Slc38a2/Nrip1/Nr3c2/Tcf12/Trim24/Zfp609/Cdon/Pkia/Elp4,CAST-biased
GO:0032774,RNA biosynthetic process,18,-0.43005195818686365,-1.4918123811977175,0.06613344093866905,0.9409667194928685,0.9409667194928685,17,"tags=56%, list=37%, signal=58%",Fnip2/Slc38a2/Nrip1/Nr3c2/Tcf12/Trim24/Zfp609/Cdon/Pkia/Elp4,CAST-biased
GO:0090304,nucleic acid metabolic process,18,-0.43005195818686365,-1.4918123811977175,0.06613344093866905,0.9409667194928685,0.9409667194928685,17,"tags=56%, list=37%, signal=58%",Fnip2/Slc38a2/Nrip1/Nr3c2/Tcf12/Trim24/Zfp609/Cdon/Pkia/Elp4,CAST-biased
GO:0141187,nucleic acid biosynthetic process,18,-0.43005195818686365,-1.4918123811977175,0.06613344093866905,0.9409667194928685,0.9409667194928685,17,"tags=56%, list=37%, signal=58%",Fnip2/Slc38a2/Nrip1/Nr3c2/Tcf12/Trim24/Zfp609/Cdon/Pkia/Elp4,CAST-biased
GO:0006351,DNA-templated transcription,17,-0.38775909977988754,-1.3461051619072282,0.16272189349112426,0.9409667194928685,0.9409667194928685,17,"tags=53%, list=37%, signal=53%",Fnip2/Nrip1/Nr3c2/Tcf12/Trim24/Zfp609/Cdon/Pkia/Elp4,CAST-biased
GO:0006355,regulation of DNA-templated transcription,17,-0.38775909977988754,-1.3461051619072282,0.16272189349112426,0.9409667194928685,0.9409667194928685,17,"tags=53%, list=37%, signal=53%",Fnip2/Nrip1/Nr3c2/Tcf12/Trim24/Zfp609/Cdon/Pkia/Elp4,CAST-biased
GO:0019219,regulation of nucleobase-containing compound metabolic process,17,-0.38775909977988754,-1.3461051619072282,0.16272189349112426,0.9409667194928685,0.9409667194928685,17,"tags=53%, list=37%, signal=53%",Fnip2/Nrip1/Nr3c2/Tcf12/Trim24/Zfp609/Cdon/Pkia/Elp4,CAST-biased
GO:0051252,regulation of RNA metabolic process,17,-0.38775909977988754,-1.3461051619072282,0.16272189349112426,0.9409667194928685,0.9409667194928685,17,"tags=53%, list=37%, signal=53%",Fnip2/Nrip1/Nr3c2/Tcf12/Trim24/Zfp609/Cdon/Pkia/Elp4,CAST-biased
GO:2001141,regulation of RNA biosynthetic process,17,-0.38775909977988754,-1.3461051619072282,0.16272189349112426,0.9409667194928685,0.9409667194928685,17,"tags=53%, list=37%, signal=53%",Fnip2/Nrip1/Nr3c2/Tcf12/Trim24/Zfp609/Cdon/Pkia/Elp4,CAST-biased
