ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,my_sign
GO:0055085,transmembrane transport,11,0.7038212543371442,1.8540299941904883,0.002194387904475726,0.39060104699667925,0.39060104699667925,15,"tags=55%, list=19%, signal=51%",Kcnab1/Rap1a/Atp2b1/Slc24a3/Cd2ap/Slmap,BL6-biased
GO:0009607,response to biotic stimulus,10,-0.607057015112072,-1.6729166360984007,0.030768998694274814,0.8667072428484479,0.866707242848448,12,"tags=40%, list=15%, signal=39%",Pde4b/Sash1/Colec12/Tlr4,CAST-biased
GO:0048513,animal organ development,23,0.4788050481071674,1.5304591290010021,0.04220779220779221,0.8667072428484479,0.866707242848448,13,"tags=30%, list=16%, signal=36%",Atp2b1/Man2a1/Slc24a3/Gab1/Adamts2/Cd2ap/Gpcpd1,BL6-biased
GO:0051049,regulation of transport,13,0.5397605105642576,1.5079582062683523,0.05821917808219178,0.8667072428484479,0.866707242848448,15,"tags=46%, list=19%, signal=45%",Kcnab1/Rap1a/Atp2b1/Oxct1/Cd2ap/Slmap,BL6-biased
GO:0009605,response to external stimulus,13,-0.4567056672680668,-1.3821151667189153,0.11244019138755981,0.8667072428484479,0.866707242848448,12,"tags=31%, list=15%, signal=31%",Pde4b/Sash1/Colec12/Tlr4,CAST-biased
GO:0006810,transport,26,0.4170607527813114,1.3756661121182543,0.09508716323296355,0.8667072428484479,0.866707242848448,12,"tags=27%, list=15%, signal=34%",Kcnab1/Rap1a/Atp2b1/Oxct1/Pitpna/Slc24a3/Cd2ap,BL6-biased
GO:0051234,establishment of localization,26,0.4170607527813114,1.3756661121182543,0.09508716323296355,0.8667072428484479,0.866707242848448,12,"tags=27%, list=15%, signal=34%",Kcnab1/Rap1a/Atp2b1/Oxct1/Pitpna/Slc24a3/Cd2ap,BL6-biased
GO:0007267,cell-cell signaling,10,0.531313748120283,1.3692320982651613,0.13087248322147652,0.8667072428484479,0.866707242848448,12,"tags=30%, list=15%, signal=29%",Rap1a/Oxct1/Cd2ap,BL6-biased
GO:0032879,regulation of localization,16,0.45863660851756477,1.365424815541514,0.11258278145695365,0.8667072428484479,0.866707242848448,15,"tags=38%, list=19%, signal=38%",Kcnab1/Rap1a/Atp2b1/Oxct1/Cd2ap/Slmap,BL6-biased
GO:0035295,tube development,13,0.48765871381533954,1.3623985915297276,0.1232876712328767,0.8667072428484479,0.866707242848448,11,"tags=31%, list=14%, signal=32%",Rap1a/Man2a1/Gab1/Adamts2,BL6-biased
