ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
GO:0022412,cellular process involved in reproduction in multicellular organism,58,-0.9448764766140164,-1.8125284915573687,3.203186589239047e-4,0.0754227242281594,0.07218192937532202,11,"tags=7%, list=0%, signal=7%",Rps6/Kcnq1ot1/Airn/Prkg1
GO:0007281,germ cell development,53,-0.9494530988053413,-1.795938687941837,3.0702733827598754e-4,0.0754227242281594,0.07218192937532202,11,"tags=8%, list=0%, signal=8%",Rps6/Kcnq1ot1/Airn/Prkg1
GO:0007276,gamete generation,122,-0.8831788916653727,-1.75404044623899,1.7088330934899305e-4,0.0754227242281594,0.07218192937532202,35,"tags=6%, list=1%, signal=6%",Rps6/Nek1/Setx/Scaper/Kcnq1ot1/Airn/Prkg1
GO:0048515,spermatid differentiation,28,-0.9809313085997035,-1.7426101366583981,6.758357226959447e-5,0.0754227242281594,0.07218192937532202,2,"tags=7%, list=0%, signal=7%",Eif4g3/Prkg1
GO:0007286,spermatid development,26,-0.9812029858079327,-1.7268245140619018,2.40783040401596e-4,0.0754227242281594,0.07218192937532202,2,"tags=8%, list=0%, signal=8%",Eif4g3/Prkg1
GO:0019953,sexual reproduction,156,-0.8556887400223407,-1.7156183906892588,2.3221305673487848e-4,0.0754227242281594,0.07218192937532202,35,"tags=5%, list=1%, signal=5%",Rps6/Nek1/Setx/Scaper/Clic4/Kcnq1ot1/Airn/Prkg1
GO:0048609,multicellular organismal reproductive process,155,-0.85245051263849,-1.7120223500036567,2.710656500426963e-4,0.0754227242281594,0.07218192937532202,113,"tags=5%, list=4%, signal=5%",Rps6/Nek1/Setx/Slit3/Scaper/Kcnq1ot1/Airn/Prkg1
GO:0032890,regulation of organic acid transport,19,-0.9853024109532603,-1.6956178018094787,2.0604823110545632e-4,0.0754227242281594,0.07218192937532202,2,"tags=11%, list=0%, signal=11%",Dpysl2/Prkg1
GO:0046903,secretion,219,-0.8150362282700403,-1.6893928917048842,1.4258994302571932e-4,0.0754227242281594,0.07218192937532202,68,"tags=3%, list=2%, signal=3%",Tlr4/Lrp5/Stx17/Pfkfb2/Efna5/Nrxn1/Prkg1
GO:0042311,vasodilation,15,-0.9940955076410096,-1.6589157178329872,5.629809569288425e-5,0.0754227242281594,0.07218192937532202,2,"tags=13%, list=0%, signal=13%",Ppard/Prkg1
GO:0060074,synapse maturation,15,-0.9895675659222406,-1.6513596292791597,2.842617841352831e-4,0.0754227242281594,0.07218192937532202,3,"tags=13%, list=0%, signal=13%",Rock1/Nrxn1
GO:0051952,regulation of amine transport,14,-0.9900679855469183,-1.6331684186161324,2.5141750089383567e-4,0.0754227242281594,0.07218192937532202,2,"tags=14%, list=0%, signal=14%",Dpysl2/Prkg1
GO:0070527,platelet aggregation,12,-0.9887891542713124,-1.6070815548312904,2.758441363738176e-4,0.0754227242281594,0.07218192937532202,2,"tags=17%, list=0%, signal=17%",Lyn/Prkg1
GO:0140352,export from cell,218,-0.810742644314243,-1.6793851342638682,4.023292309556392e-4,0.0879664125682294,0.08418663531951458,76,"tags=4%, list=3%, signal=4%",Kcnip2/Atp1b1/Tlr4/Lrp5/Stx17/Pfkfb2/Efna5/Nrxn1/Prkg1
GO:1904752,regulation of vascular associated smooth muscle cell migration,20,-0.9760164943736666,-1.679617267531571,5.302999007168538e-4,0.09548517624084056,0.09138232964055754,2,"tags=10%, list=0%, signal=10%",Ddr2/Prkg1
GO:0044091,membrane biogenesis,14,-0.9870506389271412,-1.6281911490958823,4.962134905917676e-4,0.09548517624084056,0.09138232964055754,3,"tags=14%, list=0%, signal=14%",Cdh2/Nrxn1
GO:0061045,negative regulation of wound healing,14,-0.987026503653509,-1.6281513367120397,5.053180721669464e-4,0.09548517624084056,0.09138232964055754,2,"tags=14%, list=0%, signal=14%",Phldb2/Prkg1
GO:0032940,secretion by cell,198,-0.8248270371192158,-1.7068879391641374,7.355117123860226e-4,0.11618337887101585,0.11119116332744276,68,"tags=4%, list=2%, signal=4%",Tlr4/Lrp5/Stx17/Pfkfb2/Efna5/Nrxn1/Prkg1
GO:0032101,regulation of response to external stimulus,207,-0.8084527257351326,-1.6851033921757153,7.783001526668777e-4,0.11618337887101585,0.11119116332744276,68,"tags=3%, list=2%, signal=3%",Tlr4/Slit2/Ctla2a/Adamts12/Nrxn1/Prkg1
GO:0015837,amine transport,16,-0.9900679855469183,-1.65693875562616,6.943399415259633e-4,0.11618337887101585,0.11119116332744276,2,"tags=12%, list=0%, signal=13%",Dpysl2/Prkg1
GO:0050818,regulation of coagulation,15,-0.9852610067708415,-1.6441729770801303,8.729884724055422e-4,0.11618337887101585,0.11119116332744276,2,"tags=13%, list=0%, signal=13%",Cd9/Prkg1
GO:0090128,regulation of synapse maturation,10,-0.9931324478260928,-1.5542223331413527,8.633570322045087e-4,0.11618337887101585,0.11119116332744276,3,"tags=20%, list=0%, signal=20%",Rock1/Nrxn1
GO:0009605,response to external stimulus,435,-0.6886941792332362,-1.5207944725077618,8.193100651705686e-4,0.11618337887101585,0.11119116332744276,88,"tags=4%, list=3%, signal=5%",Malt1/Fau/Resf1/Tlr4/Srr/Slit3/Slit2/Ctla2a/Trim54/Adamts12/Grin2a/Pde4b/Cradd/Serinc3/Efna5/Fam20a/Nrxn1/Prkg1
GO:1903531,negative regulation of secretion by cell,31,-0.9645439030296391,-1.733845457093878,0.0012047781186936685,0.11896212326842964,0.11385050948470218,2,"tags=6%, list=0%, signal=7%",Kalrn/Prkg1
GO:0034109,homotypic cell-cell adhesion,22,-0.9753519812071973,-1.6955064809430709,9.986006730857433e-4,0.11896212326842964,0.11385050948470218,2,"tags=9%, list=0%, signal=9%",Dsc2/Prkg1
GO:1903035,negative regulation of response to wounding,18,-0.9784183622968402,-1.6781030938990433,0.0011012989283673705,0.11896212326842964,0.11385050948470218,2,"tags=11%, list=0%, signal=11%",Phldb2/Prkg1
GO:0043113,receptor clustering,14,-0.9823625008983187,-1.6204578226147146,0.0011620197549323606,0.11896212326842964,0.11385050948470218,3,"tags=14%, list=0%, signal=14%",Agrn/Nrxn1
GO:0051955,regulation of amino acid transport,11,-0.9900881610125789,-1.5704303259528025,0.0010847010802906957,0.11896212326842964,0.11385050948470218,2,"tags=18%, list=0%, signal=18%",Dpysl2/Prkg1
GO:0034110,regulation of homotypic cell-cell adhesion,11,-0.9898152896686939,-1.5699975105224249,0.0011601567068901992,0.11896212326842964,0.11385050948470218,2,"tags=18%, list=0%, signal=18%",Lyn/Prkg1
GO:0021545,cranial nerve development,13,0.9954478234139051,1.5484329559228056,0.0011938521805922885,0.11896212326842964,0.11385050948470218,2,"tags=8%, list=0%, signal=8%",Kcnc2
GO:0071731,response to nitric oxide,10,0.9961354478048962,1.5206171154754669,0.0010196788896583897,0.11896212326842964,0.11385050948470218,2,"tags=10%, list=0%, signal=10%",Kcnc2
GO:0051480,regulation of cytosolic calcium ion concentration,18,0.9920906008308574,1.6181391964192535,0.0012906463112403927,0.11971722299111642,0.1145731637697612,1,"tags=6%, list=0%, signal=6%",Grm1
GO:1902930,regulation of alcohol biosynthetic process,10,-0.9915270734140931,-1.5517099705963113,0.0012898363922680923,0.11971722299111642,0.1145731637697612,2,"tags=20%, list=0%, signal=20%",Apoe/Prkg1
GO:0007283,spermatogenesis,82,-0.9035429484292614,-1.767392856296565,0.001789647524109941,0.12846593127401698,0.12294595393166642,35,"tags=5%, list=1%, signal=5%",Nek1/Setx/Scaper/Prkg1
