ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,my_sign
GO:0060419,heart growth,44,-0.9466706692354248,-1.7721781606335667,2.9862506280717424e-4,0.3028058136864747,0.3028058136864747,3,"tags=5%, list=0%, signal=5%",Slc25a4/Prkg1,CAST-biased
GO:0055017,cardiac muscle tissue growth,40,-0.9498785988024827,-1.7658059728439306,2.0496468529329864e-4,0.3028058136864747,0.3028058136864747,3,"tags=5%, list=0%, signal=5%",Slc25a4/Prkg1,CAST-biased
GO:0034109,homotypic cell-cell adhesion,22,-0.9741732772800605,-1.695355729010656,2.3073646349427667e-4,0.3028058136864747,0.3028058136864747,3,"tags=9%, list=0%, signal=9%",Jak1/Prkg1,CAST-biased
GO:0070527,platelet aggregation,15,-0.9886093931567267,-1.6265517018915956,4.982536309291859e-4,0.37892188632164586,0.37892188632164586,3,"tags=13%, list=0%, signal=13%",Tspan9/Prkg1,CAST-biased
GO:0003298,physiological muscle hypertrophy,19,-0.9772543090875675,-1.6587230378164795,0.0010570545188568184,0.45936569233749164,0.4593656923374917,3,"tags=11%, list=0%, signal=11%",Slc25a4/Prkg1,CAST-biased
GO:0003301,physiological cardiac muscle hypertrophy,19,-0.9772543090875675,-1.6587230378164795,0.0010570545188568184,0.45936569233749164,0.4593656923374917,3,"tags=11%, list=0%, signal=11%",Slc25a4/Prkg1,CAST-biased
GO:0061049,cell growth involved in cardiac muscle cell development,19,-0.9772543090875675,-1.6587230378164795,0.0010570545188568184,0.45936569233749164,0.4593656923374917,3,"tags=11%, list=0%, signal=11%",Slc25a4/Prkg1,CAST-biased
GO:0045912,negative regulation of carbohydrate metabolic process,18,-0.9741057947937377,-1.6531913803700273,0.001408097065853077,0.5354289092906325,0.5354289092906325,3,"tags=11%, list=0%, signal=11%",Usp7/Prkg1,CAST-biased
GO:0014912,negative regulation of smooth muscle cell migration,21,-0.9732130017752296,-1.6887775542821843,0.0017125946068997733,0.5788569771321234,0.5788569771321234,13,"tags=10%, list=0%, signal=10%",Slit2/Prkg1,CAST-biased
GO:0014910,regulation of smooth muscle cell migration,44,-0.9196061156967288,-1.7215130114245898,0.004618839088322498,0.6645099802400289,0.6645099802400288,13,"tags=7%, list=0%, signal=7%",Tlr4/Slit2/Prkg1,CAST-biased
GO:0021549,cerebellum development,34,-0.938448007803521,-1.716070609179637,0.002283482495758699,0.6645099802400289,0.6645099802400288,3,"tags=6%, list=0%, signal=6%",Arcn1/Prkg1,CAST-biased
GO:0035265,organ growth,64,-0.8934420793432815,-1.7072114400109515,0.004805792099040314,0.6645099802400289,0.6645099802400288,3,"tags=3%, list=0%, signal=3%",Ext1/Prkg1,CAST-biased
GO:0007200,phospholipase C-activating G protein-coupled receptor signaling pathway,30,0.9700861588650007,1.6671848145694546,0.003946394382622727,0.6645099802400289,0.6645099802400288,1,"tags=3%, list=0%, signal=3%",Grm1,BL6-biased
GO:1904738,vascular associated smooth muscle cell migration,22,-0.9460622000824351,-1.6464339643850452,0.0033024848388600405,0.6645099802400289,0.6645099802400288,3,"tags=9%, list=0%, signal=9%",Igfbp5/Prkg1,CAST-biased
GO:0007286,spermatid development,22,-0.9389484942740518,-1.6340539677478845,0.0046082937936003,0.6645099802400289,0.6645099802400288,48,"tags=14%, list=2%, signal=14%",Cep128/Selenof/Prkg1,CAST-biased
GO:0060078,regulation of postsynaptic membrane potential,22,0.9624697324533584,1.6117221959443875,0.004235421485584133,0.6645099802400289,0.6645099802400288,24,"tags=14%, list=1%, signal=14%",Grm1/App/Kcnd2,BL6-biased
GO:0051966,"regulation of synaptic transmission, glutamatergic",18,0.9804634583066391,1.6081164776002128,0.0040965360739766,0.6645099802400289,0.6645099802400288,1,"tags=6%, list=0%, signal=6%",Grm1,BL6-biased
GO:0051938,L-glutamate import,15,0.9855243779167918,1.584499879313961,0.0040170618291551835,0.6645099802400289,0.6645099802400288,1,"tags=7%, list=0%, signal=7%",Grm1,BL6-biased
GO:0034110,regulation of homotypic cell-cell adhesion,12,-0.9799099492644496,-1.5590234101462952,0.0034702046470047833,0.6645099802400289,0.6645099802400288,3,"tags=17%, list=0%, signal=17%",Jak1/Prkg1,CAST-biased
GO:0051602,response to electrical stimulus,13,0.9858130355770023,1.5327306728373127,0.004133709722560779,0.6645099802400289,0.6645099802400288,1,"tags=8%, list=0%, signal=8%",Grm1,BL6-biased
GO:1904753,negative regulation of vascular associated smooth muscle cell migration,10,-0.989785155518985,-1.5312118540345705,0.003163962667645605,0.6645099802400289,0.6645099802400288,3,"tags=20%, list=0%, signal=20%",Myh9/Prkg1,CAST-biased
GO:0090075,relaxation of muscle,11,-0.9705565381274104,-1.530213058528301,0.003962916916940561,0.6645099802400289,0.6645099802400288,3,"tags=18%, list=0%, signal=18%",Ttn/Prkg1,CAST-biased
GO:1904706,negative regulation of vascular associated smooth muscle cell proliferation,14,-0.962302792246087,-1.5692875531156594,0.0050391018963074985,0.6664759986333657,0.6664759986333657,3,"tags=14%, list=0%, signal=14%",Pdcd4/Prkg1,CAST-biased
GO:1903825,organic acid transmembrane transport,27,0.9645159675056791,1.638923460503659,0.005333331026687616,0.6759997076326553,0.6759997076326553,1,"tags=4%, list=0%, signal=4%",Grm1,BL6-biased
GO:0042752,regulation of circadian rhythm,33,-0.9334946695103399,-1.7064417768330065,0.006575962421085373,0.717148394380582,0.717148394380582,3,"tags=6%, list=0%, signal=6%",Usp7/Prkg1,CAST-biased
GO:0051952,regulation of amine transport,20,-0.9522057745003757,-1.636041236926807,0.006392489884749539,0.717148394380582,0.717148394380582,3,"tags=10%, list=0%, signal=10%",Prkcb/Prkg1,CAST-biased
