ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,my_sign
GO:0043087,regulation of GTPase activity,27,-0.8955814184400875,-1.7168886303396358,0.005505239030555262,0.44627261168847204,0.43778342014991284,2,"tags=7%, list=0%, signal=8%",Rap1gds1/Prkg1,CAST-biased
GO:0032102,negative regulation of response to external stimulus,17,-0.932783928458734,-1.686675434257284,0.003466567346449724,0.44627261168847204,0.43778342014991284,2,"tags=12%, list=0%, signal=12%",Ash1l/Prkg1,CAST-biased
GO:0040013,negative regulation of locomotion,39,-0.8352350935571945,-1.6807534998512292,0.01200840353560276,0.44627261168847204,0.43778342014991284,15,"tags=8%, list=2%, signal=8%",Mctp1/Clic4/Prkg1,CAST-biased
GO:0007283,spermatogenesis,21,-0.9105585983561247,-1.6793801380004727,0.005217895939647575,0.44627261168847204,0.43778342014991284,2,"tags=10%, list=0%, signal=10%",Atp2b4/Prkg1,CAST-biased
GO:0048232,male gamete generation,21,-0.9105585983561247,-1.6793801380004727,0.005217895939647575,0.44627261168847204,0.43778342014991284,2,"tags=10%, list=0%, signal=10%",Atp2b4/Prkg1,CAST-biased
GO:0009611,response to wounding,39,-0.8342313397385883,-1.6787336341192636,0.012167452928183454,0.44627261168847204,0.43778342014991284,2,"tags=21%, list=0%, signal=22%",Pten/Braf/Elk3/Pvt1/Gnaq/Tspan9/Lyn/Prkg1,CAST-biased
GO:0042060,wound healing,30,-0.8647225432311898,-1.6742119002057128,0.006408421977236064,0.44627261168847204,0.43778342014991284,2,"tags=13%, list=0%, signal=14%",Gnaq/Tspan9/Lyn/Prkg1,CAST-biased
GO:0003018,vascular process in circulatory system,19,-0.9186184840531805,-1.6719246370245824,0.008413919761597066,0.44627261168847204,0.43778342014991284,2,"tags=11%, list=0%, signal=11%",Rap1gds1/Prkg1,CAST-biased
GO:0007409,axonogenesis,51,-0.805218237033363,-1.6562744728927699,0.012296003887688856,0.44627261168847204,0.43778342014991284,48,"tags=14%, list=7%, signal=14%",Sema6a/Apc/Raph1/Ifrd1/Flrt2/Lama2/Prkg1,CAST-biased
GO:0061564,axon development,51,-0.805218237033363,-1.6562744728927699,0.012296003887688856,0.44627261168847204,0.43778342014991284,48,"tags=14%, list=7%, signal=14%",Sema6a/Apc/Raph1/Ifrd1/Flrt2/Lama2/Prkg1,CAST-biased
GO:0048659,smooth muscle cell proliferation,21,-0.8972393446000976,-1.654814898320959,0.007885650593935829,0.44627261168847204,0.43778342014991284,2,"tags=19%, list=0%, signal=20%",Pdgfd/Gnaq/Timp3/Prkg1,CAST-biased
GO:0048660,regulation of smooth muscle cell proliferation,21,-0.8972393446000976,-1.654814898320959,0.007885650593935829,0.44627261168847204,0.43778342014991284,2,"tags=19%, list=0%, signal=20%",Pdgfd/Gnaq/Timp3/Prkg1,CAST-biased
GO:0048515,spermatid differentiation,12,-0.9701850213059974,-1.6451703478540864,0.0020452531837812427,0.44627261168847204,0.43778342014991284,2,"tags=17%, list=0%, signal=17%",Ube2b/Prkg1,CAST-biased
GO:0032101,regulation of response to external stimulus,61,-0.7878167315814626,-1.6409963794560678,0.007497155105309104,0.44627261168847204,0.43778342014991284,39,"tags=10%, list=5%, signal=10%",Ube2k/Lyn/Cd47/Mcu/Mtus1/Prkg1,CAST-biased
GO:0035150,regulation of tube size,16,-0.9187016556316405,-1.6364620346787346,0.011340486203164978,0.44627261168847204,0.43778342014991284,2,"tags=12%, list=0%, signal=13%",Rap1gds1/Prkg1,CAST-biased
GO:0035296,regulation of tube diameter,16,-0.9187016556316405,-1.6364620346787346,0.011340486203164978,0.44627261168847204,0.43778342014991284,2,"tags=12%, list=0%, signal=13%",Rap1gds1/Prkg1,CAST-biased
GO:0097746,blood vessel diameter maintenance,16,-0.9187016556316405,-1.6364620346787346,0.011340486203164978,0.44627261168847204,0.43778342014991284,2,"tags=12%, list=0%, signal=13%",Rap1gds1/Prkg1,CAST-biased
GO:1903034,regulation of response to wounding,13,-0.9529944330206174,-1.6337610171999204,0.006616217561849783,0.44627261168847204,0.43778342014991284,2,"tags=23%, list=0%, signal=23%",Pten/Braf/Prkg1,CAST-biased
GO:0007286,spermatid development,11,-0.9762514230389256,-1.6271049121495955,0.0024709350937844004,0.44627261168847204,0.43778342014991284,2,"tags=18%, list=0%, signal=18%",Ube2b/Prkg1,CAST-biased
GO:0009605,response to external stimulus,110,-0.7296716351522418,-1.6114664950054423,8.680448663870308e-4,0.44627261168847204,0.43778342014991284,92,"tags=20%, list=13%, signal=21%",Pten/Pde4b/Braf/Efna5/Cdc42/Cradd/Ash1l/Pdgfd/Ryr2/Ankhd1/Adam10/Per3/Ube2k/Lyn/Cd47/Serinc3/Flrt2/Meis2/Hmcn1/Mcu/Mtus1/Prkg1,CAST-biased
GO:0010629,negative regulation of gene expression,69,0.793712556121394,1.6026024308321847,0.0014411533997191865,0.44627261168847204,0.43778342014991284,53,"tags=12%, list=7%, signal=12%",Airn/Kcnq1ot1/Dyrk1a/Xdh/Hdac9/Picalm/Errfi1/Rbm20,BL6-biased
GO:0014812,muscle cell migration,12,-0.9450247791044286,-1.602505409202356,0.010465153360950717,0.44627261168847204,0.43778342014991284,2,"tags=17%, list=0%, signal=17%",Pdgfd/Prkg1,CAST-biased
GO:0015711,organic anion transport,12,-0.9435609336570172,-1.600023124822537,0.011566728682948871,0.44627261168847204,0.43778342014991284,33,"tags=25%, list=5%, signal=24%",Lyn/Cd47/Prkg1,CAST-biased
GO:0061041,regulation of wound healing,10,-0.9687820963047654,-1.5958237307674141,0.004760613668097947,0.44627261168847204,0.43778342014991284,2,"tags=20%, list=0%, signal=20%",Pten/Prkg1,CAST-biased
GO:0045814,"negative regulation of gene expression, epigenetic",13,0.9537485370550628,1.5932751481988348,0.0025602204747281446,0.44627261168847204,0.43778342014991284,24,"tags=31%, list=3%, signal=30%",Airn/Kcnq1ot1/Dyrk1a/Hdac9,BL6-biased
GO:0015849,organic acid transport,10,-0.9578680843086427,-1.5778456535426946,0.009116211029407266,0.44627261168847204,0.43778342014991284,2,"tags=20%, list=0%, signal=20%",Lyn/Prkg1,CAST-biased
GO:0046942,carboxylic acid transport,10,-0.9578680843086427,-1.5778456535426946,0.009116211029407266,0.44627261168847204,0.43778342014991284,2,"tags=20%, list=0%, signal=20%",Lyn/Prkg1,CAST-biased
GO:0040029,epigenetic regulation of gene expression,17,0.9279259293875272,1.5720043577713474,0.003630578907603891,0.44627261168847204,0.43778342014991284,24,"tags=24%, list=3%, signal=23%",Airn/Kcnq1ot1/Dyrk1a/Hdac9,BL6-biased
GO:0040011,locomotion,127,-0.6820882455075624,-1.5450268113188423,0.005219451059311407,0.44627261168847204,0.43778342014991284,98,"tags=20%, list=14%, signal=21%",Atp2b4/Mcc/Pten/Pde4b/Flt4/Zswim6/Braf/Efna5/Cdc42/Dlc1/Pdgfd/Ppp2r3a/Adam10/Sema6a/Apc/Lyn/Cd47/Flrt2/Mctp1/Clic4/Lyve1/Lama2/Mcu/Mtus1/Prkg1,CAST-biased
GO:0031507,heterochromatin formation,10,0.9637606093286997,1.5353861692927575,0.005066832105533472,0.44627261168847204,0.43778342014991284,12,"tags=20%, list=2%, signal=20%",Airn/Dyrk1a,BL6-biased
GO:0030334,regulation of cell migration,117,-0.685530482281157,-1.5313741422521026,0.008954058661910992,0.44627261168847204,0.43778342014991284,98,"tags=20%, list=14%, signal=20%",Atp2b4/Mcc/Pten/Flt4/Zswim6/Braf/Cdc42/Dlc1/Pdgfd/Ppp2r3a/Adam10/Sema6a/Apc/Lyn/Cd47/Flrt2/Mctp1/Clic4/Lyve1/Lama2/Mcu/Mtus1/Prkg1,CAST-biased
GO:2000145,regulation of cell motility,117,-0.685530482281157,-1.5313741422521026,0.008954058661910992,0.44627261168847204,0.43778342014991284,98,"tags=20%, list=14%, signal=20%",Atp2b4/Mcc/Pten/Flt4/Zswim6/Braf/Cdc42/Dlc1/Pdgfd/Ppp2r3a/Adam10/Sema6a/Apc/Lyn/Cd47/Flrt2/Mctp1/Clic4/Lyve1/Lama2/Mcu/Mtus1/Prkg1,CAST-biased
GO:0040012,regulation of locomotion,118,-0.6830580621439288,-1.5275277286526887,0.008421304902993598,0.44627261168847204,0.43778342014991284,98,"tags=19%, list=14%, signal=20%",Atp2b4/Mcc/Pten/Flt4/Zswim6/Braf/Cdc42/Dlc1/Pdgfd/Ppp2r3a/Adam10/Sema6a/Apc/Lyn/Cd47/Flrt2/Mctp1/Clic4/Lyve1/Lama2/Mcu/Mtus1/Prkg1,CAST-biased
GO:0010558,negative regulation of macromolecule biosynthetic process,125,0.6736147793081583,1.4690494716025253,0.007772229317037312,0.44627261168847204,0.43778342014991284,53,"tags=11%, list=7%, signal=13%",Airn/Kcnq1ot1/Zeb1/Dyrk1a/Dlg1/Xdh/Hdac9/Nedd4/Atxn1/Rere/Mdfic/Picalm/Errfi1/Rbm20,BL6-biased
GO:0014909,smooth muscle cell migration,11,-0.9450247791044286,-1.5750598912290568,0.01632943348477716,0.5504772903166121,0.5400058721010866,2,"tags=18%, list=0%, signal=18%",Pdgfd/Prkg1,CAST-biased
GO:0014910,regulation of smooth muscle cell migration,11,-0.9450247791044286,-1.5750598912290568,0.01632943348477716,0.5504772903166121,0.5400058721010866,2,"tags=18%, list=0%, signal=18%",Pdgfd/Prkg1,CAST-biased
GO:0016051,carbohydrate biosynthetic process,11,-0.9434905491036226,-1.5725028110427786,0.01695148868073846,0.5504772903166121,0.5400058721010866,2,"tags=18%, list=0%, signal=18%",Csgalnact1/Prkg1,CAST-biased
GO:0006950,response to stress,181,-0.5946207848019947,-1.4007090477695157,0.016530609291174257,0.5504772903166121,0.5400058721010866,86,"tags=14%, list=12%, signal=17%",Braf/Cdc42/Cradd/Ash1l/Elk3/Pvt1/Pdgfd/Ryr2/Ankhd1/Gnaq/Tspan9/Nlk/Rap1gds1/Apc/Ube2k/Wac/Lyn/Smad1/Cd47/Susd6/Serinc3/Zbtb38/Mctp1/Ambra1/Mcu/Prkg1,CAST-biased
GO:0019216,regulation of lipid metabolic process,17,-0.89160761065832,-1.61221973064982,0.01791084247432213,0.5525494903328377,0.5420386538281696,18,"tags=12%, list=3%, signal=12%",Sik2/Prkg1,CAST-biased
GO:0048666,neuron development,110,-0.6628601261316175,-1.4639144961600625,0.017498014916885157,0.5525494903328377,0.5420386538281696,57,"tags=12%, list=8%, signal=13%",Gnaq/Nckap1/Adam10/Sema6a/Apc/Raph1/Atxn2/Lyn/Ifrd1/Flrt2/Lama2/Dnm3/Prkg1,CAST-biased
GO:0030336,negative regulation of cell migration,38,-0.837050719057743,-1.675008566855901,0.02089406787076504,0.6138876131553347,0.6022099762250576,15,"tags=8%, list=2%, signal=8%",Mctp1/Clic4/Prkg1,CAST-biased
GO:2000146,negative regulation of cell motility,38,-0.837050719057743,-1.675008566855901,0.02089406787076504,0.6138876131553347,0.6022099762250576,15,"tags=8%, list=2%, signal=8%",Mctp1/Clic4/Prkg1,CAST-biased
GO:0032940,secretion by cell,50,-0.7920231200580581,-1.6221305601550458,0.02153696226678858,0.6180607310980724,0.6063037113049417,45,"tags=14%, list=6%, signal=14%",Gnaq/Rap1gds1/Lyn/Fbn1/Mctp1/Mcu/Prkg1,CAST-biased
