ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,my_sign
GO:0030155,regulation of cell adhesion,253,-0.8885787921662067,-1.623333185454541,3.5592555126388096e-5,0.14254818328118432,0.14254818328118432,214,"tags=7%, list=3%, signal=7%",Dysf/Tesc/Dock8/Kank1/Actg1/Cd59a/Tnfsf13b/Adam19/Cd28/Gcnt1/Sema5a/Malt1/Magi1/Lama2/Efna5/Prkg1/Fmn1,CAST-biased
GO:0035239,tube morphogenesis,351,-0.8070361941155036,-1.523999589749317,9.753796589270757e-4,0.8951426835489625,0.8951426835489625,321,"tags=6%, list=5%, signal=6%",Cdc42/Vegfa/Tead1/Ptprm/Plcd3/Rgma/Cd47/Dysf/Pik3cd/Arhgap24/Actg1/Cd59a/Sparc/Ryr2/Ccn2/Ccbe1/Mtss1/Sema5a/Ephb1/Clic4/Thsd7a/Fmn1,CAST-biased
GO:0031589,cell-substrate adhesion,132,-0.9009167974944449,-1.5017682751500976,0.0015645440161904465,0.8951426835489625,0.8951426835489625,163,"tags=9%, list=3%, signal=9%",Plekha2/Cdc42/Vegfa/Ntn4/Ptprk/Kank1/Actg1/Ccn2/Itga1/Ephb1/Efna5/Fmn1,CAST-biased
GO:0035295,tube development,432,-0.7762300324018047,-1.49120464061266,0.0014082263777305132,0.8951426835489625,0.8951426835489625,326,"tags=6%, list=5%, signal=6%",Mib1/Invs/Cdc42/Plxna4/Vegfa/Tead1/Tbc1d20/Ptprm/Plcd3/Rgma/Cd47/Dysf/Pik3cd/Arhgap24/Actg1/Cd59a/Tns3/Sparc/Ryr2/Ccn2/Ccbe1/Mtss1/Sema5a/Ephb1/Clic4/Thsd7a/Fmn1,CAST-biased
GO:1901888,regulation of cell junction assembly,89,-0.9305645856951871,-1.4888383250254345,8.94499481992537e-4,0.8951426835489625,0.8951426835489625,184,"tags=8%, list=3%, signal=8%",Colq/Actg1/Ptpn13/Lrtm1/Ephb1/Efna5/Fmn1,CAST-biased
GO:1901890,positive regulation of cell junction assembly,39,-0.9700779063295382,-1.4373076294329117,0.0012144930792604034,0.8951426835489625,0.8951426835489625,90,"tags=10%, list=1%, signal=10%",Lrtm1/Ephb1/Efna5/Fmn1,CAST-biased
GO:0035137,hindlimb morphogenesis,14,-0.994066629976575,-1.3966908801575655,0.0014308968024003713,0.8951426835489625,0.8951426835489625,2,"tags=14%, list=0%, signal=14%",Zbtb16/Fmn1,CAST-biased
GO:0045785,positive regulation of cell adhesion,158,-0.8905990924244204,-1.5237850646087139,0.002528765489596378,0.9674241842348441,0.9674241842348442,260,"tags=8%, list=4%, signal=8%",Dusp10/Cd47/Dysf/Dock8/Cd59a/Tnfsf13b/Adam19/Cd28/Gcnt1/Malt1/Magi1/Lama2/Fmn1,CAST-biased
GO:0022407,regulation of cell-cell adhesion,136,-0.8871705091574497,-1.4834664306726373,0.0039056294547486193,0.9674241842348441,0.9674241842348442,193,"tags=9%, list=3%, signal=9%",Dusp10/Cd47/Dock8/Cd59a/Tnfsf13b/Adam19/Cd28/Gcnt1/Malt1/Magi1/Efna5/Prkg1,CAST-biased
GO:0010810,regulation of cell-substrate adhesion,87,-0.9198655022952735,-1.4672784909056538,0.005026218129619705,0.9674241842348441,0.9674241842348442,163,"tags=5%, list=3%, signal=5%",Kank1/Actg1/Efna5/Fmn1,CAST-biased
GO:0048514,blood vessel morphogenesis,249,-0.8056921876679554,-1.4668673120316944,0.01253418129475467,0.9674241842348441,0.9674241842348442,321,"tags=7%, list=5%, signal=7%",Cdc42/Vegfa/Ptprm/Plcd3/Cd47/Dysf/Pik3cd/Arhgap24/Actg1/Cd59a/Sparc/Ccn2/Ccbe1/Sema5a/Ephb1/Clic4/Thsd7a,CAST-biased
GO:0001944,vasculature development,310,-0.7844276755754255,-1.465855925589781,0.009362595111283139,0.9674241842348441,0.9674241842348442,338,"tags=7%, list=5%, signal=7%",Mib1/Cdc42/Col5a1/Vegfa/Ptprm/Plcd3/Cd47/Slc4a7/Dysf/Pik3cd/Arhgap24/Flvcr1/Actg1/Cd59a/Sparc/Ccn2/Ccbe1/Sema5a/Ephb1/Clic4/Thsd7a,CAST-biased
