ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,my_sign
GO:0008610,lipid biosynthetic process,31,-0.947917512641726,-1.725162076430352,8.301231986321507e-4,0.1784764877059124,0.17083061613956363,3,"tags=10%, list=0%, signal=10%",Htr2b/St6galnac3/Prkg1,CAST-biased
GO:0006629,lipid metabolic process,58,-0.885968417721277,-1.6953784572385955,8.13858236896676e-4,0.1784764877059124,0.17083061613956363,3,"tags=5%, list=0%, signal=6%",Htr2b/St6galnac3/Prkg1,CAST-biased
GO:0032102,negative regulation of response to external stimulus,20,-0.9696090457861695,-1.6559664094084308,7.975636808219003e-4,0.1784764877059124,0.17083061613956363,2,"tags=10%, list=0%, signal=10%",Rora/Prkg1,CAST-biased
GO:0051049,regulation of transport,117,-0.8097059172015741,-1.6256395187245702,6.244485708770532e-4,0.1784764877059124,0.17083061613956363,59,"tags=14%, list=8%, signal=15%",Cblb/Dysf/Mcu/Map4k4/Chd7/Ccl21a/Prkcq/Myo6/Ubr5/Akt3/Chrm3/Dapk1/Atp2b1/Ano6/Dnm3/Prkg1,CAST-biased
GO:0006109,regulation of carbohydrate metabolic process,12,-0.9851382643609025,-1.584236645364834,5.432334788056146e-4,0.1784764877059124,0.17083061613956363,2,"tags=25%, list=0%, signal=25%",Tcf7l2/Rora/Prkg1,CAST-biased
GO:0019218,regulation of steroid metabolic process,12,-0.9839249015137773,-1.5822853924736606,5.929943982494059e-4,0.1784764877059124,0.17083061613956363,2,"tags=17%, list=0%, signal=17%",Dab2/Prkg1,CAST-biased
GO:0048588,developmental cell growth,36,-0.9312929076214662,-1.7227184947166414,0.001446443404046491,0.18284951762663254,0.17501630695719295,2,"tags=6%, list=0%, signal=6%",Nrp2/Prkg1,CAST-biased
GO:0005975,carbohydrate metabolic process,26,-0.9486346149173746,-1.6638635261349988,0.0018426695574776924,0.18284951762663254,0.17501630695719295,3,"tags=12%, list=0%, signal=12%",Dysf/St6galnac3/Prkg1,CAST-biased
GO:0009605,response to external stimulus,121,-0.7921841259863935,-1.590486326125983,0.0017862571130938011,0.18284951762663254,0.17501630695719295,56,"tags=12%, list=8%, signal=13%",Dysf/Cradd/Mcu/Chd7/Ccl21a/Prkcq/Cflar/Dapk1/Serinc3/Plscr4/Ano6/Flrt2/Fam20a/Prkg1,CAST-biased
GO:0055007,cardiac muscle cell differentiation,12,-0.9783557188867232,-1.5733293874927434,0.0012751898934121497,0.18284951762663254,0.17501630695719295,2,"tags=17%, list=0%, signal=17%",Pdlim5/Prkg1,CAST-biased
GO:0055013,cardiac muscle cell development,12,-0.9783557188867232,-1.5733293874927434,0.0012751898934121497,0.18284951762663254,0.17501630695719295,2,"tags=17%, list=0%, signal=17%",Pdlim5/Prkg1,CAST-biased
GO:0006694,steroid biosynthetic process,11,-0.9897751957144352,-1.5652239266339254,0.0015111183839014249,0.18284951762663254,0.17501630695719295,2,"tags=18%, list=0%, signal=18%",Dab2/Prkg1,CAST-biased
GO:0016051,carbohydrate biosynthetic process,11,-0.9890984688027247,-1.5641537551863152,0.0016461890707207142,0.18284951762663254,0.17501630695719295,2,"tags=18%, list=0%, signal=18%",Tcf7l2/Prkg1,CAST-biased
GO:0048511,rhythmic process,25,-0.9537203188342175,-1.6705822870038245,0.0027979946429984273,0.24062753929786476,0.23031913798155476,2,"tags=8%, list=0%, signal=8%",Fbxw7/Prkg1,CAST-biased
GO:0007623,circadian rhythm,19,-0.9629110008009858,-1.633948890947121,0.0027670778914356013,0.24062753929786476,0.23031913798155476,2,"tags=11%, list=0%, signal=11%",Fbxw7/Prkg1,CAST-biased
GO:0060560,developmental growth involved in morphogenesis,29,-0.9429507611266991,-1.6972640940017596,0.0031855277623818326,0.2518354087983517,0.2410468661937712,2,"tags=7%, list=0%, signal=7%",Nrp2/Prkg1,CAST-biased
GO:0046890,regulation of lipid biosynthetic process,13,-0.9761291887266189,-1.5842763887530227,0.0033187612012185886,0.2518354087983517,0.2410468661937712,2,"tags=15%, list=0%, signal=16%",Htr2b/Prkg1,CAST-biased
GO:0050810,regulation of steroid biosynthetic process,10,-0.9900189861922587,-1.5408151065849582,0.0035386447180874095,0.25360287146293103,0.24273861136353986,2,"tags=20%, list=0%, signal=20%",Dab2/Prkg1,CAST-biased
GO:0098609,cell-cell adhesion,51,-0.8801208102139104,-1.6789263190737795,0.004530899762793887,0.3076242470528481,0.29444572973724265,42,"tags=10%, list=6%, signal=10%",Dock8/Ccl21a/Prkcq/Adam19/Prkg1,CAST-biased
GO:0035051,cardiocyte differentiation,16,-0.9669412046730306,-1.609888944546711,0.005385213666205247,0.31970322118418903,0.3060072447564698,2,"tags=12%, list=0%, signal=13%",Tgfbr3/Prkg1,CAST-biased
GO:0007283,spermatogenesis,16,-0.9663433946861477,-1.6088936330591344,0.005700134951346006,0.31970322118418903,0.3060072447564698,2,"tags=12%, list=0%, signal=13%",Scaper/Prkg1,CAST-biased
GO:0048232,male gamete generation,16,-0.9663433946861477,-1.6088936330591344,0.005700134951346006,0.31970322118418903,0.3060072447564698,2,"tags=12%, list=0%, signal=13%",Scaper/Prkg1,CAST-biased
GO:0090407,organophosphate biosynthetic process,15,-0.9694129748322692,-1.6043817080634108,0.005612345636314089,0.31970322118418903,0.3060072447564698,2,"tags=13%, list=0%, signal=14%",Htr2b/Prkg1,CAST-biased
GO:0030900,forebrain development,39,-0.8996377590346275,-1.6836173971012025,0.010331995147913777,0.3262473929477359,0.3122710664444669,2,"tags=5%, list=0%, signal=5%",Chd7/Prkg1,CAST-biased
GO:0051051,negative regulation of transport,35,-0.9112914438405104,-1.6789407476327765,0.010425705112144568,0.3262473929477359,0.3122710664444669,2,"tags=9%, list=0%, signal=9%",Dysf/Map4k4/Prkg1,CAST-biased
GO:0016358,dendrite development,45,-0.8786920341623673,-1.6411948098131408,0.009464186812264058,0.3262473929477359,0.3122710664444669,10,"tags=9%, list=1%, signal=9%",Myo6/Tanc2/Dnm3/Prkg1,CAST-biased
GO:0140352,export from cell,64,-0.8489636148052877,-1.630902884720434,0.006792470963087767,0.3262473929477359,0.3122710664444669,51,"tags=14%, list=7%, signal=14%",Mcu/Map4k4/Chd7/Prkcq/Myo6/Chrm3/Atp2b1/Ano6/Prkg1,CAST-biased
