ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,my_sign
GO:0007204,positive regulation of cytosolic calcium ion concentration,13,-0.9758827297330468,-1.4649854980767456,0.016755040428058296,1,1,6,"tags=15%, list=1%, signal=16%",Bcl2/Chrna9,CAST-biased
GO:0009913,epidermal cell differentiation,18,-0.9639220125406206,-1.4646999206257372,0.024325244811286853,1,1,25,"tags=11%, list=3%, signal=11%",Gli2/Gsdma3,CAST-biased
GO:0006091,generation of precursor metabolites and energy,14,-0.9610061863267558,-1.4500957605645834,0.03504522508624573,1,1,2,"tags=14%, list=0%, signal=14%",App/Suclg2,CAST-biased
GO:0043409,negative regulation of MAPK cascade,14,-0.9594191860177166,-1.4477010804335961,0.03718535113277477,1,1,31,"tags=14%, list=4%, signal=14%",Apc/Chrna9,CAST-biased
GO:0048511,rhythmic process,24,0.9873840358088828,1.4306477833735367,0.004639337293490101,1,1,2,"tags=4%, list=0%, signal=4%",Kcnd2,BL6-biased
GO:0070372,regulation of ERK1 and ERK2 cascade,24,-0.9321108699046268,-1.4275633595321562,0.06947284672327583,1,1,33,"tags=8%, list=4%, signal=8%",App/Chrna9,CAST-biased
GO:0042303,molting cycle,14,-0.9437266090589606,-1.4240220036035036,0.05338078291814947,1,1,31,"tags=21%, list=4%, signal=21%",Apc/Gli2/Gsdma3,CAST-biased
GO:0042633,hair cycle,14,-0.9437266090589606,-1.4240220036035036,0.05338078291814947,1,1,31,"tags=21%, list=4%, signal=21%",Apc/Gli2/Gsdma3,CAST-biased
GO:0001666,response to hypoxia,26,0.9848230543515896,1.4238855521196323,0.0038883475129578445,1,1,2,"tags=4%, list=0%, signal=4%",Kcnd2,BL6-biased
GO:0036293,response to decreased oxygen levels,26,0.9848230543515896,1.4238855521196323,0.0038883475129578445,1,1,2,"tags=4%, list=0%, signal=4%",Kcnd2,BL6-biased
GO:0055086,nucleobase-containing small molecule metabolic process,14,-0.9432540618146865,-1.423308960581161,0.05693950177935943,1,1,2,"tags=14%, list=0%, signal=14%",Adk/Suclg2,CAST-biased
